identity	component_recipe	concrete_default_de	surface_count	surfaces_with_counts	house_model_surface	house_model_count	alternate_surface_marks	orders	renderer_rule
PROC003	AR	QUELLE	3	char:2,dar:1,sar:1	char	2	2	WH01,WH02,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC004	T+Y	BEARBEITEN · POSTEN	2	chety:1,chty:1	chety	1	1	WH01,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC008	OK+Y	ANSETZEN · POSTEN	3	choky:4,oky:1,qoky:7	qoky	7	5	WH01,WH02,WH03,WH04,WH05	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC009	AIIN	EIN KLEINER SCHOEPFBECHER	4	aiin:4,chaiin:2,daiin:10,saiin:4	daiin	10	10	WH01,WH02,WH03,WH04,WH05,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC013	OL	WEITER	6	cheol:1,chol:1,ol:8,qol:3,sol:3,tol:1	ol	8	9	WH01,WH03,WH04,WH05,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC014	CTH+Y	BEREITEN · POSTEN	3	checthy:2,cthy:1,shcthy:2	checthy	2	3	WH01,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC016	OR	ANSATZ	2	or:3,sor:1	or	3	1	WH03,WH04,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC019	Y	POSTEN	4	chey:7,dy:1,sy:1,y:2	chey	7	4	WH01,WH02,WH03,WH04,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	1	otchor:2	otchor	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC031	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	2	cheey:2,shey:2	cheey	2	2	WH02,WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC034	RESUME_CARD	DAVON	1	schol:2	schol	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	2	okaiin:1,qokaiin:9	qokaiin	9	1	WH01,WH02,WH03,WH04,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC039	Y+K+AIN	POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL	1	ykain:2	ykain	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC040	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE	1	ykan:2	ykan	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC041	O+DY	ARBEITSGANG · SCHLUSS	1	ody:2	ody	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC042	CHD+Y	UMSETZEN · POSTEN	2	chdy:1,chedy:11	chedy	11	1	WH01,WH03,WH04,WH05,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC043	TALAM	BEISEITESTELLEN	1	talam:2	talam	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC044	Y+K+AIIN	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER	1	ykaiin:2	ykaiin	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC045	CH+E+O+AR	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE	1	cheoar:2	cheoar	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC046	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	1	cheeky:3	cheeky	3	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC047	OL+DY	WEITER · SCHLUSS	1	oldy:3	oldy	3	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC048	OK+AL	ANSETZEN · ZIELSTELLE	2	okal:3,qokal:4	qokal	4	3	WH01,WH02,WH03,WH04,WH06	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC049	OL+T+Y	WEITER · BEARBEITEN · POSTEN	1	oltchy:2	oltchy	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC050	OR+AIN	ANSATZ · EIN ABGEGRENZTER TEIL	1	orain:2	orain	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC051	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	1	chochor:2	chochor	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC052	HO	ZUTAT	2	cho:2,sho:2	cho	2	2	WH02,WH05	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN	1	chodaly:2	chodaly	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC054	K+OL	ZUGEBEN · WEITER	1	kchol:2	kchol	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC055	AL	ZIELSTELLE	6	al:1,chal:1,cheal:1,dal:6,sal:1,tal:1	dal	6	5	WH01,WH02,WH03,WH04,WH05	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
