core_rank	joint_tuple_id	surface_family	occurrence_count	apprentice_headword_de	composition	slots	learning_mode	cumulative_events	cumulative_middle_coverage
1	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	Sollmaß	AIIN_TARGET_MEASURE	QUANTITY	PRODUCTIVE_RULE	20	0.068493
2	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	fortsetzen	OL_CONTINUE	ORDER|OPERATION	PRODUCTIVE_RULE	39	0.133562
3	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	dieser Posten	Y_CURRENT_ITEM_CARD	OWNER_ITEM	PRODUCTIVE_RULE	57	0.195205
4	6f7ff8287eddf4da9fdb	chdy|chedy	11	umsetzen	CHD~CHED_TRANSFER+Y_ITEM	OWNER_ITEM|OPERATION	PRODUCTIVE_RULE	68	0.232877
5	276a7c2d74d1143446f4	choky|oky|qoky	10	Posten ansetzen	OK_SET+Y_OPEN	OWNER_ITEM|OPERATION	PRODUCTIVE_RULE	78	0.267123
6	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	dorthin	AL_TO	TARGET	PRODUCTIVE_RULE	88	0.301370
7	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	QUANTITY|OPERATION	PRODUCTIVE_RULE	97	0.332192
8	0275fbf14e07935b0a45	okeey|qokeey	7	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	OWNER_ITEM|OPERATION|STATE_GRADE	PRODUCTIVE_RULE	104	0.356164
9	1645e612504fcef59ced	okain|qokain	7	eine Portion zugeben	OK+AIN_PORTION	QUANTITY|OPERATION	PRODUCTIVE_RULE	111	0.380137
10	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	Ansatz	OR_BATCH	PREPARATION	PRODUCTIVE_RULE	118	0.404110
11	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	bereit	CTH_READY+Y_CURRENT	STATE_GRADE	PRODUCTIVE_RULE	125	0.428082
12	308e8ea2d5d190c498e8	okal|qokal	6	dort ansetzen	OK_SET+AL_TO	TARGET|OPERATION	PRODUCTIVE_RULE	131	0.448630
13	4d4559019a961b834aa1	char|dar|sar	5	daraus	AR_FROM	SOURCE	PRODUCTIVE_RULE	136	0.465753
14	2cc054357a929df85f64	cho|sho	4	Zutat	HO_INGREDIENT	OWNER_ITEM	PRODUCTIVE_RULE	140	0.479452
15	2cc8bb3c2af19607888f	chckhy|shckhy	4	durchleiten	CKH_THROUGH+Y_ITEM	OWNER_ITEM|OPERATION|FLOW_TRANSFER	PRODUCTIVE_RULE	144	0.493151
16	b5df9126607030b95175	cheey|shey	4	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	PREPARATION|STATE_GRADE	WHOLE_WORD	148	0.506849
