statement_id	record_unit_id	page	loci	event_count	template_id	template_name_de	coverage_class	open_event_count	core16_open_events	productive_open_events	local_word_events	headword_sequence_de	slot_tagged_sequence_de	context_expansions_de	fluent_workshop_sentence_de	physical_line_note
H1-S001	H1	f10r	f10r.2	10	P08_FULL_REGISTER	Vollständige Werkstattphrase	LOCAL_GLOSSARY_NEEDED	10	3	5	4	Wurzel → Ansatz bereit → daraus → zerkleinern → Gefäß → Wasserzulauf → auffangen → Posten ansetzen → Sollmaß → Rest	[OWNER_ITEM] Wurzel | [OPERATION] Ansatz bereit | [SOURCE] daraus | [OPERATION] zerkleinern | [OPERATION] Gefäß | [MEDIUM+FLOW_TRANSFER] Wasserzulauf | [FLOW_TRANSFER] auffangen | [OWNER_ITEM+OPERATION] Posten ansetzen | [QUANTITY] Sollmaß | [OWNER_ITEM] Rest	Rest→Wurzelrest	Nimm die Wurzel der abgebildeten Pflanze aus dem bereitgestellten Ansatz, zerkleinere sie, gib sie in das Gefäß, lass Wasser zulaufen und sammle den Auszug; setze ihn nach Sollmaß an und verwahre den Wurzelrest	LOCAL_SEQUENCE
H1-S002	H1	f10r	f10r.5	4	P07_MATERIAL_PROCESS	Materialvorgang	LOCAL_GLOSSARY_NEEDED	4	2	3	1	Posten ansetzen → anwärmen → fortsetzen → bereit	[OWNER_ITEM+OPERATION] Posten ansetzen | [OPERATION] anwärmen | [ORDER+OPERATION] fortsetzen | [STATE_GRADE] bereit	NONE	Setze den bemessenen Wurzelauszug an, wärme ihn an, führe ihn weiter und halte ihn bereit	LOCAL_SEQUENCE
H2-S001	H2	f10r	f10r.6	9	P08_FULL_REGISTER	Vollständige Werkstattphrase	LOCAL_GLOSSARY_NEEDED	9	6	8	1	Auszugsansatz → bereit → Ansatz → Fertigmaß → pressen → dieser Posten → dieser Posten → Sollmaß → dieser Posten	[OWNER_ITEM] Auszugsansatz | [STATE_GRADE] bereit | [PREPARATION] Ansatz | [OPERATION] Fertigmaß | [OPERATION] pressen | [OWNER_ITEM] dieser Posten | [OWNER_ITEM] dieser Posten | [QUANTITY] Sollmaß | [OWNER_ITEM] dieser Posten	NONE	Bereite aus der abgebildeten Pflanze einen Auszugsansatz, bring ihn auf Fertigmaß, presse ihn aus und teile den gewonnenen Posten nach Sollmaß	LOCAL_SEQUENCE
H2-S002	H2	f10r	f10r.8	8	P08_FULL_REGISTER	Vollständige Werkstattphrase	PRODUCTIVE_EXTENDED	8	5	8	0	Folgeansatz → Ansatz → danach fortsetzen → fortsetzen → Fortsetzungsansatz → fortsetzen → Sollmaß → daraus	[PREPARATION] Folgeansatz | [PREPARATION] Ansatz | [ORDER+OPERATION] danach fortsetzen | [ORDER+OPERATION] fortsetzen | [PREPARATION] Fortsetzungsansatz | [ORDER+OPERATION] fortsetzen | [QUANTITY] Sollmaß | [SOURCE] daraus	NONE	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	LOCAL_SEQUENCE
H2-S003	H2	f10r	f10r.9	7	P08_FULL_REGISTER	Vollständige Werkstattphrase	LOCAL_GLOSSARY_NEEDED	7	4	6	1	Topf → Ansatz → Ansatz → dieser Posten → Weichstufe → dieser Posten → Zutatenmaß	[OPERATION] Topf | [PREPARATION] Ansatz | [PREPARATION] Ansatz | [OWNER_ITEM] dieser Posten | [QUANTITY+STATE_GRADE] Weichstufe | [OWNER_ITEM] dieser Posten | [OPERATION] Zutatenmaß	NONE	Gib den weitergeführten Folgeansatz in den Topf, bearbeite ihn bis zur Weichstufe und entnimm das Zutatenmaß	LOCAL_SEQUENCE
H3-S001	H3	f11r	f11r.1	7	P08_FULL_REGISTER	Vollständige Werkstattphrase	LOCAL_GLOSSARY_NEEDED	6	1	1	4	Kraut → Sud → auswringen → Standmaß → nachseihen → Klarlauf → abkühlen [SCHLUSS]	[OWNER_ITEM] Kraut | [MEDIUM+PREPARATION] Sud | [OPERATION] auswringen | [QUANTITY+STATE_GRADE] Standmaß | [OPERATION] nachseihen | [PREPARATION+STATE_GRADE] Klarlauf | [PROGRAM] abkühlen [SCHLUSS]	Kraut→Blütenkraut | Sud→Weinsud | Klarlauf→Klarflüssigkeit	Bereite aus dem Blütenkraut einen Weinsud, wringe ihn aus, lass ihn bis zum Standmaß stehen, seih nach, nimm die Klarflüssigkeit und kühle sie ab	LOCAL_SEQUENCE
H3-S002	H3	f11r	f11r.1	1	P01_ARGUMENT	Argument vor Programm	LOCAL_GLOSSARY_NEEDED	1	0	0	1	Reserve	[OWNER_ITEM] Reserve	Reserve→Blütenreserve	Lege eine Blütenreserve zurück	LOCAL_SEQUENCE
H3-S003	H3	f11r	f11r.4	5	P08_FULL_REGISTER	Vollständige Werkstattphrase	LOCAL_GLOSSARY_NEEDED	5	3	3	1	Voriges → dieser Posten → Trank → dieser Posten → Sollmaß	[OWNER_ITEM+ORDER+SOURCE] Voriges | [OWNER_ITEM] dieser Posten | [PREPARATION] Trank | [OWNER_ITEM] dieser Posten | [QUANTITY] Sollmaß	Voriges→Vorposten	Bereite aus der Blütenreserve einen Trank nach Sollmaß	LOCAL_SEQUENCE
H3-S004	H3	f11r	f11r.7	4	P07_MATERIAL_PROCESS	Materialvorgang	PRODUCTIVE_EXTENDED	4	2	4	0	Folgeposten → Fortsetzung einsetzen → bereit → dieser Posten	[OWNER_ITEM] Folgeposten | [ORDER+OPERATION] Fortsetzung einsetzen | [STATE_GRADE] bereit | [OWNER_ITEM] dieser Posten	NONE	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	LOCAL_SEQUENCE
H4-S001	H4	f55v	f55v.5	5	P07_MATERIAL_PROCESS	Materialvorgang	PRODUCTIVE_EXTENDED	4	2	4	0	auf Sollmaß einstellen → Sollmaß → Postenportion → dieser Anteil → kühlen [SCHLUSS]	[QUANTITY+OPERATION] auf Sollmaß einstellen | [QUANTITY] Sollmaß | [OWNER_ITEM+QUANTITY] Postenportion | [OWNER_ITEM+QUANTITY] dieser Anteil | [PROGRAM] kühlen [SCHLUSS]	kühlen→kühl; Schluss	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	LOCAL_SEQUENCE
