lexical_drawer	exact_card_types	occurrences	distinct_headwords	headwords_de	surface_families	apprentice_rule_de
ACTION	22	23	20	Spülung|abkühlen|abseihen|anwenden|anwärmen|auffangen|auflegen|aufstreichen|ausgießen|auswringen|einreiben|füllen|gleichen|nachseihen|pressen|teilen|verwahren|waschen|zerreiben|zerkleinern	cheeety|chary|ral|kchal|sotodan|oltchy|qotchol|otytchol|kchol|shecthedchy|skar|cfhy|dsheol|ytey|octheol|cphy|qoctholy|ches|talam|choy|kchey|chety|chty	Gelernte lokale Handlung in den Operationsslot einsetzen.
ADDITIVE	1	2	1	Zusatz	dl	Zusatz zum aktuell aktiven Ansatz ergänzen.
FLOW_FITTING	8	8	5	Ablauf|Arm|Düse|Hahn|Überlauf	lar|lo|sheey|raly|ls|teol|sheckhy|qockhey	Lokales Anschluss- oder Ablaufteil aus dem Bildbesitzer wählen.
LOCATION	2	2	1	Stelle	lcheey|qolky	Vom Bild bezeichnete Arbeitsstelle einsetzen.
MEDIUM_PREPARATION	5	5	5	Spülung|Sud|Trank|Warmwasser|Frischwasser	tshey|schoal|kchy|rsheal|dshedy	Gelernte Flüssigkeit oder Zubereitung einsetzen.
PLANT_MATERIAL	3	3	3	Kraut|Stängel|Wurzel	tshol|sh|dchey	Vom Pflanzenbild gelieferten Teil benennen.
PRODUCT_STATE	1	4	1	Klarlauf	cheey|shey	Gelernte Produkt- oder Zustandskarte einsetzen.
PROGRAM_ACTION	7	7	7	abkühlen|auftragen|befestigen|kühlen|nachwaschen|schwenken|waschen	tchody|cheeckhody|qokylddy|ody|lkedy|sshkchdy|rshedy	Ganze Spezialkarte ausführen und die Zelle schließen.
QUANTITY_TIME	3	3	3	Gabe|Maß|Zeit	keol|sheckhal|chckhal	Gelernte Maß-, Gabe- oder Zeitkarte einsetzen.
REFERENCE_MATERIAL	3	4	3	Reserve|Rest|Voriges	shoyty|etyd|dchol|schol	Auf den bereits aktiven oder zurückgelegten Stoff verweisen.
STATE	5	5	3	klar|roh|warm	chealror|qekey|rol|lol|shecthy	Gelernte Zustandskarte auf den aktiven Posten beziehen.
TOOL	2	3	1	Tuch	solkaiin|dain	Lokales Werkzeug aus Bild oder Exemplar einsetzen.
VESSEL	6	6	5	Becken|Gefäß|Schale|Topf|Wanne	cheedar|qolchey|os|ly|oykchor|qotedaiin	Lokales Gefäß aus Bild oder Exemplar einsetzen.
