module_no	page	records	visible_owner_id	visible_owner_de	events	event_ids	statement_ids	closed_cells_touching	open_cells_touching	dominant_primitives	relation_to_other_modules
1	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	66	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125|E126|E127|E128|E129|E130|E131|E132|E133|E134|E135|E136|E137|E138|E139|E140|E141|E142|E143|E144|E145|E146|E147|E148|E149|E150|E151|E152|E153|E154|E155|E156|E157|E158|E159|E160|E161|E162|E163|E164|E165|E166	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S008|B1-S009|B1-S010|B1-S011|B1-S012|B1-S013|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020|B1-S021	17	4	HOLD_STATE|CLOSE|MOVE_PASS|CONTINUE_USE	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
2	f82r	B2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	22	E167|E168|E169|E170|E171|E172|E173|E174|E175|E176|E177|E178|E179|E180|E181|E182|E183|E184|E185|E186|E187|E188	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006	5	1	MOVE_PASS|ACTIVATE_CHARGE|CLOSE|HOLD_STATE	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
3	f82r	B2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	9	E189|E190|E191|E192|E193|E194|E195|E196|E197	B2-S007|B2-S008|B2-S009|B2-S010	3	1	HOLD_STATE|CLOSE|METER_CHECK|SOURCE_DRAW	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
4	f82r	B2	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	5	E198|E199|E200|E201|E202	B2-S011|B2-S012	2	0	ACTIVATE_CHARGE|HOLD_STATE|CLOSE|SOURCE_DRAW	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
5	f82r	B2	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	9	E203|E204|E205|E206|E207|E208|E209|E210|E211	B2-S012|B2-S013|B2-S014	2	1	HOLD_STATE|SOURCE_DRAW|CLOSE|METER_CHECK	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
6	f82r	B2	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	17	E212|E213|E214|E215|E216|E217|E218|E219|E220|E221|E222|E223|E224|E225|E226|E227|E228	B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	8	0	HOLD_STATE|CLOSE|TARGET_HANDOFF|METER_CHECK	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
7	f83r	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	10	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238	B3-S001|B3-S002|B3-S003|B3-S004	3	1	CLOSE|HOLD_STATE|TARGET_HANDOFF|CONTINUE_USE	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
8	f83r	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	9	E239|E240|E241|E242|E243|E244|E245|E246|E247	B3-S005|B3-S006|B3-S007|B3-S008|B3-S009	4	1	MOVE_PASS|CLOSE|TARGET_HANDOFF|METER_CHECK	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
9	f83r	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	untere Randfigur im korbartigen Gefäß	16	E248|E249|E250|E251|E252|E253|E254|E255|E256|E257|E258|E259|E260|E261|E262|E263	B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016	6	1	HOLD_STATE|CLOSE|ACTIVATE_CHARGE|MOVE_PASS	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
10	f83r	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	unverbundener Zwischenbereich zwischen Rand und Hauptpaar	27	E264|E265|E266|E267|E268|E269|E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280|E281|E282|E283|E284|E285|E286|E287|E288|E289|E290	B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026	11	0	CLOSE|HOLD_STATE|MOVE_PASS|ACTIVATE_CHARGE	LOCAL_VISIBLE_OWNER_NO_GLOBAL_NETWORK
