card_no	component_parse	invariant_card_reading_de	occurrences	page_units	records	surfaces	event_ids	recurs_on_two_or_more_bio_pages	recurs_on_all_three_bio_pages	shared_with_herbal
PROC067	OK+E+DY	ansetzen · kurz · Schluss	8	F81|F83	B1|B3|B4	qokedy	E101|E137|E138|E259|E294|E297|E318|E335	YES	NO	NO
PROC038	OK+AIIN	ansetzen · Maß	8	F81|F82|F83	B1|B2|B3	okaiin|qokaiin	E102|E180|E181|E219|E236|E243|E256|E270	YES	YES	YES
PROC048	OK+AL	ansetzen · Zielstelle	5	F81|F82|F83	B1|B2|B3	okal|qokal	E104|E152|E172|E186|E241	YES	YES	YES
PROC003	AR	von dort	3	F81|F82|F83	B1|B2|B3	sar|char|dar	E105|E199|E238	YES	YES	YES
PROC013	OL	fortsetzen	16	F81|F83	B1|B3|B4|B5|B6	ol|qol|sol|tol|cheol	E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	YES	NO	YES
PROC069	K+AIN	zuführen · Portion	3	F81|F83	B1|B3|B4	kain|chkain	E107|E257|E354	YES	NO	NO
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	2	F81|F83	B1|B4	olkain|qolkain	E108|E358	YES	NO	NO
PROC055	AL	Zielstelle	9	F81|F82|F83	B1|B2|B3|B4|B5	al|sal|chal|cheal|dal|tal	E109|E156|E166|E214|E268|E272|E278|E359|E365	YES	YES	YES
PROC009	AIIN	Maß	11	F81|F82|F83	B1|B2|B3|B4|B5|B6	daiin|aiin|saiin	E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	YES	YES	YES
PROC075	CKH+Y	Durchlass · dies	4	F81|F82	B1|B2	chckhy|shckhy	E119|E128|E139|E179	YES	NO	NO
PROC076	CHD+DY	umsetzen · Schluss	4	F81|F82|F83	B1|B2|B3	schedy|dchedy|tchedy	E120|E167|E239|E283	YES	YES	NO
PROC042	CHD+Y	umsetzen · dies	10	F81|F83	B1|B3|B4|B5	chedy|chdy	E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	YES	NO	YES
PROC078	SHED+DY	absetzen · Schluss	12	F81|F82|F83	B1|B2|B3|B4	shedy|cheedy|tedy	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	YES	YES	NO
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	3	F81|F82|F83	B1|B2|B3	qolchedy|olchedy	E126|E168|E242	YES	YES	NO
PROC080	OK+AIN	ansetzen · Portion	7	F81|F82|F83	B1|B2|B3|B4	qokain|okain	E127|E169|E198|E200|E288|E341|E352	YES	YES	NO
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	3	F81|F83	B1|B3|B5	qokchdy	E131|E284|E363	YES	NO	NO
PROC019	Y	dies	9	F81|F82|F83	B1|B2|B3|B4|B6	chey|dy|sy	E132|E170|E208|E232|E234|E273|E277|E349|E380	YES	YES	YES
PROC083	CHK+E+Y	wärmen · kurz · dies	3	F81|F83	B1|B4	cheky	E134|E164|E339	YES	NO	NO
PROC008	OK+Y	ansetzen · dies	7	F81|F82|F83	B1|B2|B3|B4	qoky	E140|E188|E195|E247|E251|E298|E323	YES	YES	YES
PROC085	OK+E+Y	ansetzen · kurz · dies	2	F81|F82	B1|B2	qokey|okey	E142|E220	YES	NO	NO
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	2	F81|F83	B1|B3	okchedy|qokchedy	E151|E264	YES	NO	NO
PROC092	OK+EE+Y	ansetzen · länger · dies	7	F81|F82|F83	B1|B2|B3|B4	okeey|qokeey	E153|E175|E194|E205|E293|E317|E322	YES	YES	NO
PROC097	O+IIN	Arbeitsgang · Sollstufe	2	F81|F83	B1|B3	oiiin|soiiin	E161|E309	YES	NO	NO
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	3	F81|F83	B1|B3	olkeedy|solkeedy	E162|E229|E291	YES	NO	NO
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	3	F81|F83	B1|B4	shckhedy	E165|E330|E331	YES	NO	NO
PROC100	OK+EE+DY	ansetzen · länger · Schluss	10	F82|F83	B2|B3|B4	qokeedy	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	YES	NO	NO
PROC108	L+DY	führen · Schluss	2	F82|F83	B2|B3	ldy	E184|E308	YES	NO	NO
PROC112	OT+AIIN	danach · Maß	3	F82|F83	B2|B3	sotaiin|otaiin	E190|E306|E312	YES	NO	NO
PROC031	WHOLE[cheey|shey]	Empfangsbestand	3	F82|F83	B2|B4	cheey|shey	E197|E203|E353	YES	NO	YES
PROC117	CTH+E+Y	bereit · kurz · dies	2	F82|F83	B2|B3	qcthey|shcthey	E204|E258	YES	NO	NO
PROC120	L+CHD+DY	führen · umsetzen · Schluss	8	F82|F83	B2|B3|B4	lchedy	E210|E235|E246|E262|E269|E282|E345|E357	YES	NO	NO
PROC129	OT+EE+DY	danach · länger · Schluss	2	F82|F83	B2|B3	qoteedy	E226|E292	YES	NO	NO
