card_no	component_parse	invariant_card_reading_de	occurrences	page_units	records	surfaces	event_ids	recurs_on_two_or_more_bio_pages	recurs_on_all_three_bio_pages	shared_with_herbal
PROC038	OK+AIIN	ansetzen · Maß	8	F81|F82|F83	B1|B2|B3	okaiin|qokaiin	E102|E180|E181|E219|E236|E243|E256|E270	YES	YES	YES
PROC048	OK+AL	ansetzen · Zielstelle	5	F81|F82|F83	B1|B2|B3	okal|qokal	E104|E152|E172|E186|E241	YES	YES	YES
PROC003	AR	von dort	3	F81|F82|F83	B1|B2|B3	sar|char|dar	E105|E199|E238	YES	YES	YES
PROC013	OL	fortsetzen	16	F81|F83	B1|B3|B4|B5|B6	ol|qol|sol|tol|cheol	E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	YES	NO	YES
PROC055	AL	Zielstelle	9	F81|F82|F83	B1|B2|B3|B4|B5	al|sal|chal|cheal|dal|tal	E109|E156|E166|E214|E268|E272|E278|E359|E365	YES	YES	YES
PROC022	OL+OR	fortsetzen · Ansatz	1	F81	B1	olor	E113	NO	NO	YES
PROC009	AIIN	Maß	11	F81|F82|F83	B1|B2|B3|B4|B5|B6	daiin|aiin|saiin	E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	YES	YES	YES
PROC042	CHD+Y	umsetzen · dies	10	F81|F83	B1|B3|B4|B5	chedy|chdy	E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	YES	NO	YES
PROC019	Y	dies	9	F81|F82|F83	B1|B2|B3|B4|B6	chey|dy|sy	E132|E170|E208|E232|E234|E273|E277|E349|E380	YES	YES	YES
PROC008	OK+Y	ansetzen · dies	7	F81|F82|F83	B1|B2|B3|B4	qoky	E140|E188|E195|E247|E251|E298|E323	YES	YES	YES
PROC031	WHOLE[cheey|shey]	Empfangsbestand	3	F82|F83	B2|B4	cheey|shey	E197|E203|E353	YES	NO	YES
PROC016	OR	Ansatz	2	F83	B3|B4	sor|or	E254|E348	NO	NO	YES
PROC014	CTH+Y	bereit · dies	4	F83	B3	shcthy|checthy	E271|E279|E289|E310	NO	NO	YES
PROC004	T+Y	eintragen · dies	1	F83	B3	chety	E311	NO	NO	YES
PROC065	OT+Y	danach · dies	1	F83	B4	otchey	E321	NO	NO	YES
PROC046	CHK+EE+Y	wärmen · länger · dies	1	F83	B4	cheeky	E333	NO	NO	YES
PROC047	OL+DY	fortsetzen · Schluss	1	F83	B4	oldy	E337	NO	NO	YES
