statement_id	page	record	visible_owner_ids	visible_owner_de	loci	event_ids	surfaces	card_literal_de	complete_workshop_reading_de	terminal	crosses_visible_owner_boundary	global_network_claim
B1-S001	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.2	E101	qokedy	ansetzen · kurz · Schluss	Einen kurzen Einsatz ansetzen und schließen.	YES	NO	NONE
B1-S002	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.2|f81v.7	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ansetzen · Maß; zuführen · Lauf; ansetzen · Zielstelle; von dort; fortsetzen; zuführen · Portion; fortsetzen · zuführen · Portion; Zielstelle; fortsetzen; abkühlen · fortsetzen; führen; fortsetzen · Ansatz; fortsetzen; halten · kurz · Durchlass · Zielstelle; Maß; ansetzen · länger · Zielstelle; Maß; Durchlass · dies; umsetzen · Schluss	Nach Maß den Lauf speisen und die Zielstelle ansetzen; von dort Portionen weiterführen, abkühlen lassen, den Ansatz fortsetzen, am Durchlass halten, weitere Maße und Ziel setzen, umsetzen und schließen.	YES	NO	NONE
B1-S003	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.7|f81v.17	E121|E122	qol sshkchdy	fortsetzen; halten · zuführen · umsetzen · Schluss	Fortsetzen, durch Halten zuführen, umsetzen und schließen.	YES	NO	NONE
B1-S004	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.17	E123|E124|E125	chedy ol shedy	umsetzen · dies; fortsetzen; absetzen · Schluss	Den Posten umsetzen, fortsetzen, absetzen und schließen.	YES	NO	NONE
B1-S005	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.17	E126	qolchedy	fortsetzen · umsetzen · Schluss	Weiter umsetzen und schließen.	YES	NO	NONE
B1-S006	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.17	E127|E128|E129|E130	qokain shckhy dl ral	ansetzen · Portion; Durchlass · dies; führen; abkühlen · Zielstelle	Eine Portion ansetzen, durch den Durchlass führen, weiterleiten und abgekühlt an der Zielstelle halten.	NO	NO	NONE
B1-S007	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.18	E131	qokchdy	ansetzen · umsetzen · Schluss	Den Posten ansetzen, umsetzen und schließen.	YES	NO	NONE
B1-S008	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.18	E132|E133|E134|E135|E136	chey ol cheky ol shedy	dies; fortsetzen; wärmen · kurz · dies; fortsetzen; absetzen · Schluss	Den Posten fortsetzen, kurz wärmen, weiterführen, absetzen und schließen.	YES	NO	NONE
B1-S009	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.18	E137	qokedy	ansetzen · kurz · Schluss	Einen kurzen Einsatz ansetzen und schließen.	YES	NO	NONE
B1-S010	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	f81v.18	E138	qokedy	ansetzen · kurz · Schluss	Einen weiteren kurzen Einsatz ansetzen und schließen.	YES	NO	NONE
