card_no	component_parse	invariant_card_reading_de	occurrences	page_units	records	surfaces	event_ids	recurs_on_two_or_more_bio_pages	recurs_on_all_three_bio_pages	shared_with_herbal
PROC067	OK+E+DY	ansetzen · kurz · Schluss	8	F81|F83	B1|B3|B4	qokedy	E101|E137|E138|E259|E294|E297|E318|E335	YES	NO	NO
PROC038	OK+AIIN	ansetzen · Maß	8	F81|F82|F83	B1|B2|B3	okaiin|qokaiin	E102|E180|E181|E219|E236|E243|E256|E270	YES	YES	YES
PROC068	K+AIR	zuführen · Lauf	1	F81	B1	kair	E103	NO	NO	NO
PROC048	OK+AL	ansetzen · Zielstelle	5	F81|F82|F83	B1|B2|B3	okal|qokal	E104|E152|E172|E186|E241	YES	YES	YES
PROC003	AR	von dort	3	F81|F82|F83	B1|B2|B3	sar|char|dar	E105|E199|E238	YES	YES	YES
PROC013	OL	fortsetzen	16	F81|F83	B1|B3|B4|B5|B6	ol|qol|sol|tol|cheol	E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	YES	NO	YES
PROC069	K+AIN	zuführen · Portion	3	F81|F83	B1|B3|B4	kain|chkain	E107|E257|E354	YES	NO	NO
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	2	F81|F83	B1|B4	olkain|qolkain	E108|E358	YES	NO	NO
PROC055	AL	Zielstelle	9	F81|F82|F83	B1|B2|B3|B4|B5	al|sal|chal|cheal|dal|tal	E109|E156|E166|E214|E268|E272|E278|E359|E365	YES	YES	YES
PROC071	R+OL	abkühlen · fortsetzen	1	F81	B1	rol	E111	NO	NO	NO
PROC072	L	führen	2	F81	B1	dl	E112|E129	NO	NO	NO
PROC022	OL+OR	fortsetzen · Ansatz	1	F81	B1	olor	E113	NO	NO	YES
PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · Zielstelle	1	F81	B1	sheckhal	E115	NO	NO	NO
PROC009	AIIN	Maß	11	F81|F82|F83	B1|B2|B3|B4|B5|B6	daiin|aiin|saiin	E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	YES	YES	YES
PROC074	OK+EE+AL	ansetzen · länger · Zielstelle	1	F81	B1	qokeedal	E117	NO	NO	NO
PROC075	CKH+Y	Durchlass · dies	4	F81|F82	B1|B2	chckhy|shckhy	E119|E128|E139|E179	YES	NO	NO
PROC076	CHD+DY	umsetzen · Schluss	4	F81|F82|F83	B1|B2|B3	schedy|dchedy|tchedy	E120|E167|E239|E283	YES	YES	NO
PROC077	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	1	F81	B1	sshkchdy	E122	NO	NO	NO
PROC042	CHD+Y	umsetzen · dies	10	F81|F83	B1|B3|B4|B5	chedy|chdy	E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	YES	NO	YES
PROC078	SHED+DY	absetzen · Schluss	12	F81|F82|F83	B1|B2|B3|B4	shedy|cheedy|tedy	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	YES	YES	NO
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	3	F81|F82|F83	B1|B2|B3	qolchedy|olchedy	E126|E168|E242	YES	YES	NO
PROC080	OK+AIN	ansetzen · Portion	7	F81|F82|F83	B1|B2|B3|B4	qokain|okain	E127|E169|E198|E200|E288|E341|E352	YES	YES	NO
PROC081	R+AL	abkühlen · Zielstelle	1	F81	B1	ral	E130	NO	NO	NO
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	3	F81|F83	B1|B3|B5	qokchdy	E131|E284|E363	YES	NO	NO
PROC019	Y	dies	9	F81|F82|F83	B1|B2|B3|B4|B6	chey|dy|sy	E132|E170|E208|E232|E234|E273|E277|E349|E380	YES	YES	YES
PROC083	CHK+E+Y	wärmen · kurz · dies	3	F81|F83	B1|B4	cheky	E134|E164|E339	YES	NO	NO
PROC008	OK+Y	ansetzen · dies	7	F81|F82|F83	B1|B2|B3|B4	qoky	E140|E188|E195|E247|E251|E298|E323	YES	YES	YES
PROC084	LSH+O	Waschgang · Arbeitsgang	1	F81	B1	lsho	E141	NO	NO	NO
PROC085	OK+E+Y	ansetzen · kurz · dies	2	F81|F82	B1|B2	qokey|okey	E142|E220	YES	NO	NO
PROC086	LSH+E+DY	Waschgang · kurz · Schluss	2	F81	B1	lshedy	E143|E144	NO	NO	NO
PROC087	SOLK+Y	auffangen · dies	1	F81	B1	qolky	E146	NO	NO	NO
PROC088	L+CHD+AL	führen · umsetzen · Zielstelle	1	F81	B1	lchedal	E147	NO	NO	NO
PROC089	OT+AR	danach · von dort	1	F81	B1	otar	E149	NO	NO	NO
PROC090	T+E+Y	eintragen · kurz · dies	1	F81	B1	ytey	E150	NO	NO	NO
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	2	F81|F83	B1|B3	okchedy|qokchedy	E151|E264	YES	NO	NO
PROC092	OK+EE+Y	ansetzen · länger · dies	7	F81|F82|F83	B1|B2|B3|B4	okeey|qokeey	E153|E175|E194|E205|E293|E317|E322	YES	YES	NO
PROC093	E+OL	kurz · fortsetzen	1	F81	B1	teol	E157	NO	NO	NO
PROC094	CHD+DY	umsetzen · Schluss	1	F81	B1	dchdy	E158	NO	NO	NO
PROC095	L+Y	führen · dies	1	F81	B1	ly	E159	NO	NO	NO
PROC096	SH+E+OL	halten · kurz · fortsetzen	1	F81	B1	dsheol	E160	NO	NO	NO
PROC097	O+IIN	Arbeitsgang · Sollstufe	2	F81|F83	B1|B3	oiiin|soiiin	E161|E309	YES	NO	NO
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	3	F81|F83	B1|B3	olkeedy|solkeedy	E162|E229|E291	YES	NO	NO
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	3	F81|F83	B1|B4	shckhedy	E165|E330|E331	YES	NO	NO
PROC100	OK+EE+DY	ansetzen · länger · Schluss	10	F82|F83	B2|B3|B4	qokeedy	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	YES	NO	NO
PROC101	L+CKH+Y	führen · Durchlass · dies	1	F82	B2	lcheckhy	E173	NO	NO	NO
PROC102	L+CHD	führen · umsetzen	1	F82	B2	lched	E174	NO	NO	NO
PROC103	L+CKHE+DY	führen · Durchlass · kurz · Schluss	1	F82	B2	lcheckhedy	E176	NO	NO	NO
PROC104	OK+AL+Y	ansetzen · Zielstelle · dies	1	F82	B2	qokaly	E177	NO	NO	NO
PROC105	SOLK+AIIN	auffangen · Maß	1	F82	B2	solkaiin	E178	NO	NO	NO
PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	1	F82	B2	octheol	E182	NO	NO	NO
PROC107	CHK+EE+Y	wärmen · länger · dies	1	F82	B2	chkeey	E183	NO	NO	NO
PROC108	L+DY	führen · Schluss	2	F82|F83	B2|B3	ldy	E184|E308	YES	NO	NO
PROC109	OT+EE+Y	danach · länger · dies	2	F82	B2	oteey	E185|E218	NO	NO	NO
PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dies	1	F82	B2	sheckhy	E187	NO	NO	NO
PROC111	SH+E+DY	halten · kurz · Schluss	1	F82	B2	dshedy	E189	NO	NO	NO
PROC112	OT+AIIN	danach · Maß	3	F82|F83	B2|B3	sotaiin|otaiin	E190|E306|E312	YES	NO	NO
PROC113	OK+AR	ansetzen · von dort	1	F82	B2	qokar	E191	NO	NO	NO
PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	1	F82	B2	solshedy	E193	NO	NO	NO
PROC115	LS	fortsetzen	1	F82	B2	ls	E196	NO	NO	NO
PROC031	WHOLE[cheey|shey]	Empfangsbestand	3	F82|F83	B2|B4	cheey|shey	E197|E203|E353	YES	NO	YES
PROC116	L+CH+Y	führen · abziehen · dies	1	F82	B2	lchy	E202	NO	NO	NO
PROC117	CTH+E+Y	bereit · kurz · dies	2	F82|F83	B2|B3	qcthey|shcthey	E204|E258	YES	NO	NO
PROC118	L+EE+Y	führen · länger · dies	1	F82	B2	lcheey	E206	NO	NO	NO
PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	1	F82	B2	qokeeedy	E209	NO	NO	NO
PROC120	L+CHD+DY	führen · umsetzen · Schluss	8	F82|F83	B2|B3|B4	lchedy	E210|E235|E246|E262|E269|E282|E345|E357	YES	NO	NO
PROC121	L+AR	führen · von dort	1	F82	B2	lar	E211	NO	NO	NO
PROC122	SH+E+Y	halten · kurz · dies	1	F82	B2	tshey	E212	NO	NO	NO
PROC123	L+CHD+AR	führen · umsetzen · von dort	1	F82	B2	lchedar	E215	NO	NO	NO
PROC124	WHOLE[ches]	teilen	1	F82	B2	ches	E216	NO	NO	NO
PROC125	P+CHD+DY	hinein · umsetzen · Schluss	1	F82	B2	pchedy	E221	NO	NO	NO
PROC126	R+SH+E+AL	abkühlen · halten · kurz · Zielstelle	1	F82	B2	rsheal	E222	NO	NO	NO
PROC127	AL+DY	Zielstelle · Schluss	1	F82	B2	daldy	E223	NO	NO	NO
PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	1	F82	B2	rshedy	E225	NO	NO	NO
PROC129	OT+EE+DY	danach · länger · Schluss	2	F82|F83	B2|B3	qoteedy	E226|E292	YES	NO	NO
PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	1	F82	B2	lochedy	E228	NO	NO	NO
PROC131	OT+AL	danach · Zielstelle	3	F83	B3|B4	qotal|otal	E230|E237|E320	NO	NO	NO
PROC132	CHK+EE+DY	wärmen · länger · Schluss	1	F83	B3	chkeedy	E231	NO	NO	NO
PROC133	CHD+Y	umsetzen · dies	1	F83	B3	chedchy	E240	NO	NO	NO
PROC134	P+CHD+AL	hinein · umsetzen · Zielstelle	1	F83	B3	pchedal	E248	NO	NO	NO
PROC135	OT+E+DY	danach · kurz · Schluss	2	F83	B3	otedy	E249|E307	NO	NO	NO
PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dies	1	F83	B3	shecthedchy	E250	NO	NO	NO
PROC137	AR+Y	von dort · dies	1	F83	B3	chary	E253	NO	NO	NO
PROC016	OR	Ansatz	2	F83	B3|B4	sor|or	E254|E348	NO	NO	YES
PROC138	OK+AIR	ansetzen · Lauf	1	F83	B3	okair	E260	NO	NO	NO
PROC139	SH+EE+DY	halten · länger · Schluss	1	F83	B3	sheedy	E261	NO	NO	NO
PROC140	L+O	führen · Arbeitsgang	1	F83	B3	lo	E263	NO	NO	NO
PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	1	F83	B3	qokshedy	E267	NO	NO	NO
PROC014	CTH+Y	bereit · dies	4	F83	B3	shcthy|checthy	E271|E279|E289|E310	NO	NO	YES
PROC142	SHED+AL	absetzen · Zielstelle	2	F83	B3|B5	shedal	E275|E364	NO	NO	NO
PROC143	SH+E+CTH+Y	halten · kurz · bereit · dies	1	F83	B3	shecthy	E276	NO	NO	NO
PROC144	AL+CHD+DY	Zielstelle · umsetzen · Schluss	1	F83	B3	dalchdy	E280	NO	NO	NO
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	2	F83	B3	qotchedy|otchedy	E281|E301	NO	NO	NO
PROC146	EE+AR	länger · von dort	1	F83	B3	cheedar	E285	NO	NO	NO
PROC147	L+AIIN	führen · Maß	1	F83	B3	chldaiin	E286	NO	NO	NO
PROC148	AL+R+OR	Zielstelle · abkühlen · Ansatz	1	F83	B3	chealror	E290	NO	NO	NO
PROC149	EEE+T+Y	vollständig · eintragen · dies	1	F83	B3	cheeety	E296	NO	NO	NO
PROC150	CHD+AIR	umsetzen · Lauf	1	F83	B3	schedair	E300	NO	NO	NO
PROC151	CHD+AIN	umsetzen · Portion	1	F83	B3	chedain	E303	NO	NO	NO
PROC152	OT+E+AIIN	danach · kurz · Maß	1	F83	B3	qotedaiin	E305	NO	NO	NO
PROC004	T+Y	eintragen · dies	1	F83	B3	chety	E311	NO	NO	YES
PROC153	OL+AL+Y	fortsetzen · Zielstelle · dies	1	F83	B3	olsaly	E313	NO	NO	NO
PROC154	OL+Y	fortsetzen · dies	1	F83	B4	qolchey	E316	NO	NO	NO
PROC065	OT+Y	danach · dies	1	F83	B4	otchey	E321	NO	NO	YES
PROC155	OK+Y+LDDY	ansetzen · dies · befestigen; Schluss	1	F83	B4	qokylddy	E326	NO	NO	NO
PROC156	AIN	Portion	2	F83	B4|B6	dain	E327|E379	NO	NO	NO
PROC046	CHK+EE+Y	wärmen · länger · dies	1	F83	B4	cheeky	E333	NO	NO	YES
PROC157	SH+EE+Y	halten · länger · dies	1	F83	B4	sheey	E334	NO	NO	NO
PROC047	OL+DY	fortsetzen · Schluss	1	F83	B4	oldy	E337	NO	NO	YES
PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	1	F83	B4	okeeol	E340	NO	NO	NO
PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	1	F83	B4	lkedy	E344	NO	NO	NO
PROC160	OK+OL	ansetzen · fortsetzen	1	F83	B4	qokol	E346	NO	NO	NO
PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dies	1	F83	B4	qockhey	E350	NO	NO	NO
PROC162	AIR+Y+DY	Lauf · dies · Schluss	1	F83	B4	dairydy	E351	NO	NO	NO
PROC163	CH+CKH+AL	abziehen · Durchlass · Zielstelle	1	F83	B4	chckhal	E355	NO	NO	NO
PROC164	SOLK+E+Y	auffangen · kurz · dies	1	F83	B4	solkey	E356	NO	NO	NO
PROC165	K+AR	zuführen · von dort	1	F83	B4	skar	E360	NO	NO	NO
PROC166	OT+CHD+DY	danach · umsetzen · Schluss	1	F83	B5	otchdy	E362	NO	NO	NO
PROC167	L+OL	führen · fortsetzen	1	F83	B5	lol	E367	NO	NO	NO
PROC168	CHD+AL	umsetzen · Zielstelle	1	F83	B5	chdal	E368	NO	NO	NO
PROC169	WHOLE[daiiin]	Sollstufe · zweite	1	F83	B5	daiiin	E371	NO	NO	NO
PROC170	SOLK+EE+Y	auffangen · länger · dies	1	F83	B6	solkeey	E373	NO	NO	NO
PROC171	E+K+E+Y	kurz · zuführen · kurz · dies	1	F83	B6	qekey	E374	NO	NO	NO
PROC172	R+AL+Y	abkühlen · Zielstelle · dies	1	F83	B6	raly	E375	NO	NO	NO
PROC173	L+AL+OR	führen · Zielstelle · Ansatz	1	F83	B6	ldalor	E381	NO	NO	NO
