statement_id	events	event_ids	owner_zones	card_sequence_de	continuous_reading_de	cross_line_carry
B2-S001	1	E167	B2_ZONE_A_UPPER_STATIONS	überführen; Schluss	Überführen und schließen.	NONE
B2-S002	1	E168	B2_ZONE_A_UPPER_STATIONS	weiterführen; Schluss	Weiterführen und schließen.	NONE
B2-S003	3	E169|E170|E171	B2_ZONE_A_UPPER_STATIONS	eine Portion zugeben > dies > länger ansetzen; Schluss	Eine Portion zugeben, dies nehmen, länger ansetzen und schließen.	NONE
B2-S004	5	E172|E173|E174|E175|E176	B2_ZONE_A_UPPER_STATIONS	an die Stelle setzen > dies zum Durchlass führen > hinausführen > länger ansetzen > hinaus seihen; Schluss	An die Stelle setzen, dies zum Durchlass führen, hinausführen, länger ansetzen, hinaus seihen und schließen.	NONE
B2-S005	8	E177|E178|E179|E180|E181|E182|E183|E184	B2_ZONE_A_UPPER_STATIONS	dies an die Stelle setzen > Seihtuch > durchführen > bemessen > bemessen > gleiche Einstellung > dies länger wärmen > abziehen; Ende	Dies an die Stelle setzen, durch Seihtuch und Durchlass führen, bemessen, dieselbe Einstellung halten, dies länger wärmen, abziehen und schließen.	E180_E181_READ_ONCE
B2-S006	4	E185|E186|E187|E188	B2_ZONE_A_UPPER_STATIONS	nächsten Posten länger halten > an die Stelle setzen > dies kurz durchführen > verwende dies	Den nächsten Posten länger halten, an die Stelle setzen, kurz durchführen und verwenden.	NONE
B2-S007	1	E189	B2_ZONE_B_SIDE_POOL	Frischwasser; Schluss	Frischwasser zugeben und schließen.	NONE
B2-S008	3	E190|E191|E192	B2_ZONE_B_SIDE_POOL	Folgemaß > daraus in den Arbeitsgang nehmen > kurz absetzen; Schluss	Das Folgemaß nehmen, von dort einsetzen, kurz absetzen und schließen.	NONE
B2-S009	1	E193	B2_ZONE_B_SIDE_POOL	mit Vorigem absetzen; Schluss	Mit dem Vorigen kurz absetzen und schließen.	NONE
B2-S010	4	E194|E195|E196|E197	B2_ZONE_B_SIDE_POOL	länger ansetzen > verwende dies > erste Öffnung > Klarauszug	Länger ansetzen, dies verwenden, die erste Öffnung wählen und den Klarauszug nehmen.	NONE
B2-S011	4	E198|E199|E200|E201	B2_ZONE_C_CENTRAL_VESSEL	eine Portion zugeben > dasselbe > eine Portion zugeben > länger ansetzen; Schluss	Eine Portion, dasselbe, noch eine Portion, länger ansetzen und schließen.	NONE
B2-S012	8	E202|E203|E204|E205|E206|E207|E208|E209	B2_ZONE_C_CENTRAL_VESSEL|B2_ZONE_D_LOWER_STATIONS	dies abziehen > Klarauszug > dies kurz bereithalten > länger ansetzen > dies länger abziehen > Mass > dies > vollständig ansetzen; Schluss	Dies abziehen, den Klarauszug kurz bereithalten, länger ansetzen, dies länger abziehen, auf Maß bringen, dies vollständig ansetzen und schließen.	NONE
B2-S013	1	E210	B2_ZONE_D_LOWER_STATIONS	hinausführen; Schluss	Hinausführen und schließen.	NONE
B2-S014	1	E211	B2_ZONE_D_LOWER_STATIONS	von dort abführen	Von dort abführen.	NONE
B2-S015	2	E212|E213	B2_ZONE_E_TERMINAL_CELL_ROW	Spülwasser > länger ansetzen; Schluss	Spülwasser länger ansetzen und schließen.	NONE
B2-S016	8	E214|E215|E216|E217|E218|E219|E220|E221	B2_ZONE_E_TERMINAL_CELL_ROW	Stelle > von dort hinausführen > gleiche Anteile > Mass > nächsten Posten länger halten > bemessen > kurz ansetzen > hineinführen; Schluss	An der Stelle von dort hinausführen, gleiche Anteile und Maß setzen, den nächsten Posten länger halten, bemessen, kurz ansetzen, hineinführen und schließen.	NONE
B2-S017	2	E222|E223	B2_ZONE_E_TERMINAL_CELL_ROW	Waschflüssigkeit an die Stelle > zweite Öffnung; Ende	Waschflüssigkeit an die Stelle und zur zweiten Öffnung führen; schließen.	NONE
B2-S018	1	E224	B2_ZONE_E_TERMINAL_CELL_ROW	länger ansetzen; Schluss	Länger ansetzen und schließen.	NONE
B2-S019	1	E225	B2_ZONE_E_TERMINAL_CELL_ROW	Waschung; Schluss	Als Waschung verwenden und schließen.	NONE
B2-S020	1	E226	B2_ZONE_E_TERMINAL_CELL_ROW	nächsten Schritt länger halten; Schluss	Den nächsten Schritt länger halten und schließen.	NONE
B2-S021	1	E227	B2_ZONE_E_TERMINAL_CELL_ROW	länger ansetzen; Schluss	Länger ansetzen und schließen.	NONE
B2-S022	1	E228	B2_ZONE_E_TERMINAL_CELL_ROW	hinausführen; Schluss	Hinausführen und schließen.	NONE
