track_no	track	position	surface	joint_tuple_id	strict_composition	strict_component_backread_de	short_card_reading_de	existing_registered_card	new_surface_invented
1	KURZ	1	dy	b921a237be883a820352	D+Y	ENTRY_D + DIESPOSTEN	Diesposten	YES	NO
1	KURZ	2	daiin	2f1c5e56e8f0ff459065	D+AIIN	ENTRY_D + SOLLMASS	Sollmaß	YES	NO
1	KURZ	3	okey	08bd5ca0c2ad137a056d	OK+E+Y	ANSETZEN + KURZ + OFFEN	kurz ansetzen; offen	YES	NO
1	KURZ	4	qokedy	7db18b2f0fb7ed0fcfd3	OK+E+DY	ANSETZEN + KURZ + SCHLUSS	kurz ansetzen; Schluss	YES	NO
2	LÄNGER	1	dy	b921a237be883a820352	D+Y	ENTRY_D + DIESPOSTEN	Diesposten	YES	NO
2	LÄNGER	2	daiin	2f1c5e56e8f0ff459065	D+AIIN	ENTRY_D + SOLLMASS	Sollmaß	YES	NO
2	LÄNGER	3	okeey	0275fbf14e07935b0a45	OK+EE+Y	ANSETZEN + LÄNGER + OFFEN	länger halten; offen	YES	NO
2	LÄNGER	4	qokeedy	7d25241b0e56c836372a	OK+EE+DY	ANSETZEN + LÄNGER + SCHLUSS	länger halten; Schluss	YES	NO
3	VOLLSTÄNDIG	1	dy	b921a237be883a820352	D+Y	ENTRY_D + DIESPOSTEN	Diesposten	YES	NO
3	VOLLSTÄNDIG	2	daiin	2f1c5e56e8f0ff459065	D+AIIN	ENTRY_D + SOLLMASS	Sollmaß	YES	NO
3	VOLLSTÄNDIG	3	qokeeedy	d25110e0d8488927278f	OK+EEE+DY	ANSETZEN + VOLLSTÄNDIG + SCHLUSS	vollständig in Kontakt; Schluss	YES	NO
