frequency_rank	exact_card_id	surfaces	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	events	page_specific_noun	decision
11	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	kurz ansetzen und schliessen	8	NONE	PORTABLE_SECOND_TIER_CARD
12	PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · POSTEN	den Posten bereiten	7	NONE	PORTABLE_SECOND_TIER_CARD
13	PROC016	chor|or|shor|sor	OR	ANSATZ	der aktuelle Ansatz	7	NONE	PORTABLE_SECOND_TIER_CARD
14	PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	eine Portion ansetzen	7	NONE	PORTABLE_SECOND_TIER_CARD
15	PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · POSTEN	den Posten laenger ansetzen	7	NONE	PORTABLE_SECOND_TIER_CARD
16	PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	an der Zielstelle ansetzen	6	NONE	PORTABLE_SECOND_TIER_CARD
17	PROC003	char|dar|sar	AR	QUELLE	aus der Quelle	5	NONE	PORTABLE_SECOND_TIER_CARD
18	PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · POSTEN	Durchlass fuer den Posten	4	NONE	PORTABLE_SECOND_TIER_CARD
19	PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · POSTEN	den Posten laenger halten	4	NONE	PORTABLE_SECOND_TIER_CARD
20	PROC052	cho|sho	HO	ZUTAT	die Zutat	4	NONE	PORTABLE_SECOND_TIER_CARD
