statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	full_working_reading_de	owner_noun_not_used_in_portable_sequence
H1-S001	f10r	H1	1	char	aus der Quelle	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	YES
H1-S002	f10r	H1	1	cthy	den Posten bereiten	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	YES
H2-S001	f10r	H2	2	cthy | chor	den Posten bereiten | der aktuelle Ansatz	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.	YES
H2-S002	f10r	H2	2	chor | dar	der aktuelle Ansatz | aus der Quelle	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	YES
H2-S003	f10r	H2	2	shor | chor	der aktuelle Ansatz | der aktuelle Ansatz	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	YES
H3-S001	f11r	H3	1	shey	den Posten laenger halten	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	YES
H3-S004	f11r	H3	1	cthy	den Posten bereiten	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	YES
H4-S004	f55v	H4	2	okal | or	an der Zielstelle ansetzen | der aktuelle Ansatz	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.	YES
H5-S001	f56r	H5	2	cho | sho	die Zutat | die Zutat	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	YES
H5-S003	f56r	H5	1	cho	die Zutat	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	YES
H5-S005	f56r	H5	1	sho	die Zutat	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	YES
B1-S001	f81v	B1	1	qokedy	kurz ansetzen und schliessen	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	YES
