surface	entry	kind	working_meaning_de	composition	context_rule	status	occurrences	acceptance_mode
al	al@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I	AL_CLASS_I	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 204 audited occurrences; 167 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_01	204	NEW_EXACT_WHOLE
dal	dal@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	abgemessene Rohstoffmenge I	D_MEASURE+AL_CLASS_I	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 191 audited occurrences; 147 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_02	191	NEW_EXACT_WHOLE
chdal	chdal@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	trockene abgemessene Rohstoffmenge I am Gradanfang	CH_DRY_START+DAL_MEASURED_MATERIAL_I	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 19 audited occurrences; 13 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_03	19	NEW_EXACT_WHOLE
shedal	shedal@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	feuchte abgemessene Rohstoffmenge I in der Gradmitte	SHE_MOIST_MIDDLE+DAL_MEASURED_MATERIAL_I	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 11 audited occurrences; 7 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_04	11	NEW_EXACT_WHOLE
ail	ail@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse II	AL_CLASS_II	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 5 audited occurrences; 3 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_05	5	NEW_EXACT_WHOLE
aiil	aiil@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse III	AL_CLASS_III	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 1 audited occurrences; 1 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_06	1	NEW_EXACT_WHOLE
dail	dail@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	abgemessene Rohstoffmenge II	D_MEASURE+AL_CLASS_II	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 2 audited occurrences; 2 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_07	2	NEW_EXACT_WHOLE
daiil	daiil@GDT655_PREDICTED_WHOLE	PREDICTED_ZL3B_WHOLE_READER_UNSTABLE	abgemessene Rohstoffmenge III	D_MEASURE+AL_CLASS_III	predicted complete ZL3B surface only; mode=READER_UNSTABLE_COMPOSITIONAL_WHOLE; 1 audited occurrences; 0 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_08	1	READER_UNSTABLE_COMPOSITIONAL_WHOLE
aly	aly@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, Grundform	AL_CLASS_I+Y_BASE	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 18 audited occurrences; 12 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_09	18	NEW_EXACT_WHOLE
aldy	aldy@GDT655_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, abgeschlossen	AL_CLASS_I+DY_COMPLETE	exact complete ZL3B surface only; mode=NEW_EXACT_WHOLE; 10 audited occurrences; 5 all-reader exact; supersedes current glossary card without deleting material history	NEW_V32_ACCEPTED_ROUND_10	10	NEW_EXACT_WHOLE
