surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v32_de	working_reading_de	syntax_note
al	1	f2r	f2r.5	ALL_THREE_EXACT	otochor al shodaiin chol dan ytchaiin dan	[otochor:?] | Rohstoffklasse I | [shodaiin:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad I | [ytchaiin:?] | Grad-/Maßwert I	[otochor:?]; Rohstoffklasse I; [shodaiin:?]; trocken; nominal trockenes Gut/Material; Qualitätsgrad I; [ytchaiin:?]; Grad-/Maßwert I	TOKEN_ORDER_BASELINE
al	2	f80v	f80v.28	ALL_THREE_EXACT	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly	[olcheol:?] | heiß, Grad II | Drogenportion | Rohstoffklasse I | trocken, Grad II | heiß, Grad II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III | heißer Ansatz am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | rohes Drogenholz	[olcheol:?]; heiß, Grad II; Drogenportion; Rohstoffklasse I; trocken, Grad II; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad III; heißer Ansatz am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; rohes Drogenholz	TOKEN_ORDER_BASELINE
al	3	f83v	f83v.16	ALL_THREE_EXACT	daiin qokal sheckhey qokeey chal qokeey qokaiin chedy sar al	Grad-/Maßwert III | heiße Substanz | feuchtes Arzneikompositum in der Gradmitte | heiß am Ende des Grades | [chal:?] | heiß am Ende des Grades | heiß, Grad III | trocken in der Mitte des Grades, abgeschlossen | Samenfraktion I | Rohstoffklasse I	Grad-/Maßwert III; heiße Substanz; feuchtes Arzneikompositum in der Gradmitte; heiß am Ende des Grades; [chal:?]; heiß am Ende des Grades; heiß, Grad III; trocken in der Mitte des Grades, abgeschlossen; Samenfraktion I; Rohstoffklasse I	TOKEN_ORDER_BASELINE
dal	1	f2r	f2r.11	ALL_THREE_EXACT	ychain dal chy dalor shan dan olsaiin sheey ckhor	[ychain:?] | abgemessene Rohstoffmenge I | trocken am Anfang des Grades | [dalor:?] | feucht, Grad I | Grad-/Maßwert I | [olsaiin:?] | feucht am Ende des Grades | [ckhor:?]	[ychain:?]; abgemessene Rohstoffmenge I; trocken am Anfang des Grades; [dalor:?]; feucht, Grad I; Grad-/Maßwert I; [olsaiin:?]; feucht am Ende des Grades; [ckhor:?]	TOKEN_ORDER_BASELINE
dal	2	f75r	f75r.40	ALL_THREE_EXACT	dar shedy qokain shedy dal keedy rshedy	abgemessene Fraktion I | feucht in der Mitte des Grades, abgeschlossen | heiß, Grad II | feucht in der Mitte des Grades, abgeschlossen | abgemessene Rohstoffmenge I | heiß am Ende des Grades, abgeschlossen | eingeweichte Wurzel	Abgemessene Fraktion I; in der Gradmitte feucht abgeschlossen; heiß, Grad II; erneut in der Gradmitte feucht abgeschlossen; abgemessene Rohstoffmenge I; am Gradende heiß abgeschlossen; eingeweichte Wurzel.	MANUAL_SEQUENCE_READING
dal	3	f83r	f83r.14	ALL_THREE_EXACT	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	heiß und trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß und feucht in der Mitte des Grades, abgeschlossen | abgemessene Rohstoffmenge I | getrocknetes Drogenholz | heiß, Grad III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | abgemessene Rohstoffmenge I | Saatgut in Grundform	In der Gradmitte heiß-trocken abgeschlossen; am Gradende heiß abgeschlossen; in der Gradmitte feucht abgeschlossen; in der Gradmitte heiß-feucht abgeschlossen; abgemessene Rohstoffmenge I; getrocknetes Drogenholz; heiß, Grad III; feuchtes Blatt-/Krautgut; erneut abgemessene Rohstoffmenge I; Saatgut, Grundform.	MANUAL_SEQUENCE_READING
chdal	1	f83r	f83r.48	ALL_THREE_EXACT	dal cheol lol chdal aiin	abgemessene Rohstoffmenge I | trockener Drogenstoff | Holzstoff | trockene abgemessene Rohstoffmenge I am Gradanfang | Menge III	Abgemessene Rohstoffmenge I; trockener Drogenstoff; Holzstoff; trockene abgemessene Rohstoffmenge I am Gradanfang; Menge III.	MANUAL_SEQUENCE_READING
shedal	1	f83r	f83r.47	ALL_THREE_EXACT	otchdy qokchdy shedal	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | feuchte abgemessene Rohstoffmenge I in der Gradmitte	Kalt-trockener Ansatz am Gradanfang abgeschlossen; heiß-trockener Ansatz am Gradanfang abgeschlossen; feuchte abgemessene Rohstoffmenge I in der Gradmitte.	MANUAL_SEQUENCE_READING
ail	1	f106v	f106v.7	ALL_THREE_EXACT	soy shealsho dy chain shol kain shokaiin qotaiin chodar ail dal dar loror	[soy:?] | [shealsho:?] | [dy:?] | trocken, Grad II | feucht; nominal feuchtes Gut/Material | heiß, Grad II | feucht-heißer Ansatz, Grad III | kalt, Grad III | [chodar:?] | Rohstoffklasse II | abgemessene Rohstoffmenge I | abgemessene Fraktion I | [loror:?]	[soy:?]; [shealsho:?]; [dy:?]; trocken, Grad II; feucht; nominal feuchtes Gut/Material; heiß, Grad II; feucht-heißer Ansatz, Grad III; kalt, Grad III; [chodar:?]; Rohstoffklasse II; abgemessene Rohstoffmenge I; abgemessene Fraktion I; [loror:?]	TOKEN_ORDER_BASELINE
aiil	1	f105v	f105v.28	ALL_THREE_EXACT	oeoar ar al odor aiil otaiin	[oeoar:?] | Drogenfraktion I | Rohstoffklasse I | [odor:?] | Rohstoffklasse III | kalt im Zubereitungsrahmen, Grad III	[oeoar:?]; Drogenfraktion I; Rohstoffklasse I; [odor:?]; Rohstoffklasse III; kalt im Zubereitungsrahmen, Grad III	TOKEN_ORDER_BASELINE
