page	locus	target_surfaces	zl3b_line	v31_tokenwise_de	v32_tokenwise_de	complete_v32
f100r	f100r.26	al	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | [cholody:?] | [chos:?] | [olchor:?] | [qokeol:?] | [okeeol:?] | [cheols:?] | [al:?]	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | [cholody:?] | [chos:?] | [olchor:?] | [qokeol:?] | [okeeol:?] | [cheols:?] | Rohstoffklasse I	False
f102r1	f102r1.10	dal	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	trockener Drogenstoff dieser Droge | [sholdy:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [ykeeol:?] | Materialmaß | [doleodaiin:?] | [dal:?] | [cthedy:?]	trockener Drogenstoff dieser Droge | [sholdy:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [ykeeol:?] | Materialmaß | [doleodaiin:?] | abgemessene Rohstoffmenge I | [cthedy:?]	False
f102v2	f102v2.33	al	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | [o:?] | [s:?] | [al:?] | [chos:?] | Menge-/Klassenwert IV | [o:?] | heiß am Anfang des Grades | [okaraiin:?]	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | [o:?] | [s:?] | Rohstoffklasse I | [chos:?] | Menge-/Klassenwert IV | [o:?] | heiß am Anfang des Grades | [okaraiin:?]	False
f103r	f103r.1	daldy	pchedal shdy ytechypchy otey lshey qoteey qotal shedy yshdal dain okal daldy	[pchedal:?] | feucht am Anfang des Grades, abgeschlossen | [ytechypchy:?] | kalter Ansatz in der Mitte des Grades | eingeweichtes Drogenholz, Form I | kalt am Ende des Grades | [qotal:?] | feucht in der Mitte des Grades, abgeschlossen | [yshdal:?] | Grad-/Maßwert II | Ansatz aus heißem Rohstoff, Form I | [daldy:?]	[pchedal:?] | feucht am Anfang des Grades, abgeschlossen | [ytechypchy:?] | kalter Ansatz in der Mitte des Grades | eingeweichtes Drogenholz, Form I | kalt am Ende des Grades | [qotal:?] | feucht in der Mitte des Grades, abgeschlossen | [yshdal:?] | Grad-/Maßwert II | Ansatz aus heißem Rohstoff, Form I | abgemessene Rohstoffmenge I, abgeschlossen	False
f103r	f103r.13	dal	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	[podar:?] | feuchter Drogenteil | kalt in der Mitte des Grades, abgeschlossen | heißer Ansatz am Ende des Grades | heiße Drogenfraktion I | trockenes Arzneikompositum am Gradanfang | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Pulver, getrocknete Kurz-/Kompaktform | kalt und feucht am Anfang des Grades, abgeschlossen | [dal:?] | [kasol:?]	[podar:?] | feuchter Drogenteil | kalt in der Mitte des Grades, abgeschlossen | heißer Ansatz am Ende des Grades | heiße Drogenfraktion I | trockenes Arzneikompositum am Gradanfang | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Pulver, getrocknete Kurz-/Kompaktform | kalt und feucht am Anfang des Grades, abgeschlossen | abgemessene Rohstoffmenge I | [kasol:?]	False
f103r	f103r.22	shdal	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy	[dalshy:?] | heiß im Zubereitungsrahmen, Grad II | [shckhody:?] | [shdal:?] | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockenes Pulver | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [opchy:?]	[dalshy:?] | heiß im Zubereitungsrahmen, Grad II | [shckhody:?] | feuchte abgemessene Rohstoffmenge I am Gradanfang | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockenes Pulver | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [opchy:?]	False
f103r	f103r.25	chedal	dar shey qokain chckhey chey kain chedal okeeey qoodain okain oteey ol	abgemessene Fraktion I | feucht in der Mitte des Grades | heiß, Grad II | Arzneikompositum: trocken, Gradmitte | trocken in der Mitte des Grades | heiß, Grad II | [chedal:?] | [okeeey:?] | [qoodain:?] | heiß im Zubereitungsrahmen, Grad II | kalter Ansatz am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	abgemessene Fraktion I | feucht in der Mitte des Grades | heiß, Grad II | Arzneikompositum: trocken, Gradmitte | trocken in der Mitte des Grades | heiß, Grad II | trockene abgemessene Rohstoffmenge I in der Gradmitte | [okeeey:?] | [qoodain:?] | heiß im Zubereitungsrahmen, Grad II | kalter Ansatz am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	False
f103r	f103r.30	chdaly	pcholkchdy sheckhy qokey okaiin shedy chpchy opchedy oteeykshy chdaly	[pcholkchdy:?] | feuchtes Arzneikompositum am Gradanfang | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | trockener Rohdrogenposten, Grundform	[pcholkchdy:?] | feuchtes Arzneikompositum am Gradanfang | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	False
f103r	f103r.41	dal	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	trockener Drogenstoff | [sheeey:?] | kalt in der Mitte des Grades | [oteeal:?] | kalter Ansatz am Ende des Grades, abgeschlossen | [shet:?] | feuchter Ansatz | [keeo:?] | [s:?] | feucht in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiße Substanz | [dal:?]	trockener Drogenstoff | [sheeey:?] | kalt in der Mitte des Grades | [oteeal:?] | kalter Ansatz am Ende des Grades, abgeschlossen | [shet:?] | feuchter Ansatz | [keeo:?] | [s:?] | feucht in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiße Substanz | abgemessene Rohstoffmenge I	False
f103v	f103v.1	dal	pol dar olfchey qoky dy qokeey qokeey daiin okeedaky qoteiir shedy dal	Pulverstoff | abgemessene Fraktion I | [olfchey:?] | heiß am Anfang des Grades | [dy:?] | heiß am Ende des Grades | heiß am Ende des Grades | Grad-/Maßwert III | [okeedaky:?] | [qoteiir:?] | feucht in der Mitte des Grades, abgeschlossen | [dal:?]	Pulverstoff | abgemessene Fraktion I | [olfchey:?] | heiß am Anfang des Grades | [dy:?] | heiß am Ende des Grades | heiß am Ende des Grades | Grad-/Maßwert III | [okeedaky:?] | [qoteiir:?] | feucht in der Mitte des Grades, abgeschlossen | abgemessene Rohstoffmenge I	False
