surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
al	f104r	f104r.40	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin	olkeeos olkaiin oair qcthy oiinolal ly oeear chcthy olched qotaiiin	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f105r	f105r.11	pdar o shedy otcheos oiiin al tchedarchy fchos aiin polaiin polkeeey dyaiin	pdar oshedy otcheos oiiin al tchedar chy fchosaiin polaiin polkeeey dyaiin	pdaroshedy otcheos oiiinal tchedarchy fchosaiin polaiin polkeeey dyaiin	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f105r	f105r.19	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiir al	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiiral	dsechey oteol daiindy raiin che y laiin okeeody okeeyteedy odaiin aiir al	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f105v	f105v.15	ycheey kar ykeey otaiin ot al dar chdor kalchedy opchdy daiin oraiin r	ycheey kar ykeey otaiin otal dar chdos kalchedy opchdy daiin oraiin r	ycheey kar ykeey otaiin otal dar chdos kalchedy opchdy daiin oraiin r	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f106r	f106r.30	ycheeo lkaiin cho ror sheo l kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho ror sheol kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho r r eolkain shor sar aiiry sheoal kairam	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f106r	f106r.45	y sheedal okain okain otar kaiin chdalkair olkai al keedy okal	ysheedal okain okain otar kaiin chdalkair olkair alkeedy okal	ysheedal okain akain otar kaiin ch alkair olkair alkeedy okal	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f106v	f106v.3	yshedaiin shckhy cheokchy sar al cho lchedy ytain otar al chdy daly lody	yshedaiin shckhy cheokchy sar al cholchedy ytain otar ol chdy daly lody	yshedaiin shckhy cheokchy sar al cholchedy ytain oteir al chdy daly lody	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f107r	f107r.15	ychol oiin chey qockhal al otaraiin sheky okeeey raiin airal	ychol oiin chey qockhal shal otaraiin sheky okeeey raiin airal	ychal iin chey qockhal al otar aiin sheky okeeey raiin airal	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f107v	f107v.26	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	oraiin sheor qokain cheody qokain otal okaiin olkeeor ar al oldy	oraiin sheor qokain cheo y qokain otal okaiin olkeeoraral oldy	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f108r	f108r.25	y cheeor aiin okeey cheol chedy opchsd opchedy alkedy al lkeam ol rain al	ycheeor aiin okeey cheol chedy opchsd opchedy alkedy allkeam ol rain al	ycheeor aiin keey cheol chedy apchsd opchedy alke y al lkeam ol rain al	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f108r	f108r.37	tchedy qokey okeey lkeey chedy cheokeey qokeey chedl al lkair alkeedy ram	tchedy qokey okeey lkeey chedy cheokeey qokeey chedl al lkair alkeedy ram	tchedy qokey okeey lkeey chedy cheokeey qokeey chedlal lkair alkeedy ram	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f108v	f108v.48	dair al checthy qol eeedy chckhey olchey sheey qokeeey qokeedar al keedy	dair al checthy qol eeedy chckhey olchey sheey qokeeey qokeedar alkeedy	air al checthy qol eeedy chckhey olchey sheey qokeeey qokeed ar al kee y	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f111r	f111r.21	daiin okar ain teey oteey ox o r shey chey ky deedy cheo dain sheet ar al l cheotydy	daiin okar ain teey oteey oxor shey chey kydeedy cheo dain sheet ar al l cheotydy	daiin okar ain teey oteey oxor ey cheyk dee y cheo deiin sheet ar all cheotydy	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f111r	f111r.34	teo olkeeo al lkeeey olain ar akeom qokain al qokeeod lkedlkey teedar	teo olkeeo ol lkeeey olain ar okeom qokain al qokeeod lkedlkey teed s	teo olkeeo ol lkeeey olain ar akeam qokain al qokeeod lkedlkey tee y r	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f112r	f112r.21	sol keedy raiin chcthey okeedy qoteedy qeey rair al sy	solkeedy raiin chcthey okeedy qoteedy qeey rair ol sy	solkeedy raiin chcthey okeedy qotee y qeey rair al sy	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f112r	f112r.29	sar aiin olshedy chokeey sal okaiin oteey qokeey olor al chealy	sar aiin olshedy chokeey sal okaiin oteey qokeey olor al chealy	sar aiin olshe y chokeey sal okaiin oteey qokeey oloral chealy	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f112v	f112v.43	ooeeor oeeal olkeol al chol chl olchedy ykeedy chtal kar opchy famam	ooeeor oeeal olkeol ol chol chl alchedy ykeedy chtal kar opchy famom	ooeeor oeeal olkeol ol chol chl alchedy ykeedy chtal kar opchy fagam	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f113r	f113r.4	kcheeos olkeedy shoaiin cheeody qokchedy chckhody qokedy qotaly lkar ar al om	kcheeos olkeedy shoaiin cheeody qokchedy chckhody qokedy qotaly lkar ar alog	kcheeos olkeedy shoaiin cheeody qokche y chckhody qokedy qotaly lkar ar al og	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f113v	f113v.5	dcheos otaiin otedy otodaiin qokeey rcheey qoeear oteedy qokeedy otedar ar ot otees al	dcheos otaiin otedy otodaiin qokeey rchchy qeeeear oteedy qokeedy otedar ar t oteesal	dcheos otaiin ote y otodaiin qokeey rcheey qoeear otee y qokee y oted r ar ot otees al	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f114r	f114r.38	qoeedy qokchedy cheey raiin ar ain aiin al chol	qoeedy qokchedy cheey raiin arain aiin al chol	qoeedy qokched cheey aiin arain aiin l chol	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
al	f114v	f114v.36	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	tshey oedal op shoko otchey qopchol qopaiin qotar alkol ram	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	READER_VARIANT	Rohstoffklasse I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
