candidate_id	candidate_order	surface	mode	v31_meaning_de	v32_meaning_de	composition	rival_de	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	reader_variant_occurrences	decision	decision_basis	strongest_counterargument
G655-C01	1	al	NEW_EXACT_WHOLE	OPEN	Rohstoffklasse I	AL_CLASS_I	Rohstoffform I	204	63	167	167	37	ACCEPT_V32_EXACT_WHOLE	204 occurrences, 167 all-reader exact; AL coexists with DAL and with P/S/R/L material-head sisters	AL is never line-initial and may be a bound classifier rather than an independent noun
G655-C02	2	dal	NEW_EXACT_WHOLE	OPEN	abgemessene Rohstoffmenge I	D_MEASURE+AL_CLASS_I	Rohdrogenposten	191	87	147	147	44	ACCEPT_V32_EXACT_WHOLE	191 occurrences, 147 exact; D+AR is already measured fraction and the exact DAIN/DAIL/DAIR row aligns value, material amount and fraction	no reader directly splits D from AL, so DAL may still be a learned whole meaning raw-drug lot
G655-C03	3	chdal	NEW_EXACT_WHOLE	OPEN	trockene abgemessene Rohstoffmenge I am Gradanfang	CH_DRY_START+DAL_MEASURED_MATERIAL_I	trockener Rohdrogenposten	19	15	13	13	6	ACCEPT_V32_EXACT_WHOLE	19 occurrences, 13 exact, with DAL and CHDAL coexisting on two lines; CH/SH quality wholes use the same zero-E start versus E-middle contrast	CHDAL lacks a direct CH|DAL split and CH may mark dry quality without fixing a subdegree
G655-C04	4	shedal	NEW_EXACT_WHOLE	OPEN	feuchte abgemessene Rohstoffmenge I in der Gradmitte	SHE_MOIST_MIDDLE+DAL_MEASURED_MATERIAL_I	feuchter Rohdrogenposten	11	7	7	7	4	ACCEPT_V32_EXACT_WHOLE	11 occurrences, seven exact, in the populated CH/CHED/SH/SHED plus DAL sister field and the recurrent zero-E/E quality-position contrast	the fluent lot reading is strong and E may remain an attributive binder rather than a middle-position marker
G655-C05	5	ail	NEW_EXACT_WHOLE	OPEN	Rohstoffklasse II	AL_CLASS_II	Rohstoffform II	5	4	3	3	2	ACCEPT_V32_EXACT_WHOLE	five occurrences, three exact, extend the observed AL/AIL/AIIL minim ladder	low support leaves form or charge class II equally possible
G655-C06	6	aiil	NEW_EXACT_WHOLE	OPEN	Rohstoffklasse III	AL_CLASS_III	Rohstoffform III	1	1	1	1	0	ACCEPT_V32_EXACT_WHOLE	one all-reader exact occurrence occupies the third observed AL minim level	the singleton cannot independently distinguish class from form or amount
G655-C07	7	dail	NEW_EXACT_WHOLE	OPEN	abgemessene Rohstoffmenge II	D_MEASURE+AL_CLASS_II	Rohdrogenposten II	2	2	2	2	0	ACCEPT_V32_EXACT_WHOLE	two all-reader exact occurrences; f45v.4 places DAIN, DAIL and DAIR together in all readers	there is no direct D|AIL split and the two tokens can be a learned whole
G655-C08	8	daiil	READER_UNSTABLE_COMPOSITIONAL_WHOLE	OPEN	abgemessene Rohstoffmenge III	D_MEASURE+AL_CLASS_III	Rohdrogenposten III	1	1	0	0	1	ACCEPT_V32_READER_UNSTABLE_PREDICTED_WHOLE	one ZL3b/IT2a DAIIL occurrence is predicted by DAL/DAIL and paired with RF1b AIIL; the same D omission recurs coordinately in DAR/DAL	zero all-reader exact and normalized anchors make this a visibly reader-unstable compositional card
G655-C09	9	aly	NEW_EXACT_WHOLE	OPEN	Rohstoffklasse I, Grundform	AL_CLASS_I+Y_BASE	Rohstoffform I, Grundform	18	16	12	12	6	ACCEPT_V32_EXACT_WHOLE	18 occurrences, 12 exact, extend AL with the recurrent family-bound Y ground-form tail	class plus ground form may be redundant and the form reading remains viable
G655-C10	10	aldy	NEW_EXACT_WHOLE	OPEN	Rohstoffklasse I, abgeschlossen	AL_CLASS_I+DY_COMPLETE	Rohstoffform I, abgeschlossen	10	10	5	5	5	ACCEPT_V32_EXACT_WHOLE	ten occurrences, five exact, occupy the completed AL tail cell and close the DAIIL source line	reader support is only half exact and DY may encode a form rather than completion
