audit_id	round	surface	mode	page	locus	section	language	hand	token_ordinal	line_position	previous	following	zl3b_line	it2a_line	rf1b_line	reader_support	reader_exact	split_normalized	before_gloss_de	after_gloss_de	known_other_tokens	v31_line_de	v32_line_de	hard_collision	verdict
G655-A01-0001	1	al	NEW_EXACT_WHOLE	f100r	f100r.26	P	A	1	10	FINAL	cheols	<EOS>	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	y aiin chekeey chol cholody chos olchor qoteol okeeol cheols al	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	1	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | [cholody:?] | [chos:?] | [olchor:?] | [qokeol:?] | [okeeol:?] | [cheols:?] | [al:?]	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | [cholody:?] | [chos:?] | [olchor:?] | [qokeol:?] | [okeeol:?] | [cheols:?] | Rohstoffklasse I	0	SHORT_OR_OPAQUE_CONTEXT
G655-A01-0002	1	al	NEW_EXACT_WHOLE	f102v2	f102v2.33	P	A	1	7	MEDIAL	s	chos	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	qokeor sho keeeos cheor os al chos aiiin oky okar aiin	qokeor sho keeeos cheor o s al chos aiiin oky okar aiin	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	3	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | [o:?] | [s:?] | [al:?] | [chos:?] | Menge-/Klassenwert IV | [o:?] | heiß am Anfang des Grades | [okaraiin:?]	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | [o:?] | [s:?] | Rohstoffklasse I | [chos:?] | Menge-/Klassenwert IV | [o:?] | heiß am Anfang des Grades | [okaraiin:?]	0	CONCRETE_CONTEXT_COMPATIBLE
G655-A01-0003	1	al	NEW_EXACT_WHOLE	f103v	f103v.41	S	B	3	8	MEDIAL	shas	otar	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	daiin shey lshey lshey qoar shar al otar shedy ithy lchdy ras	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	7	Grad-/Maßwert III | feucht in der Mitte des Grades | [l:?] | feucht in der Mitte des Grades | eingeweichtes Drogenholz, Form I | Drogenfraktion I | [shas:?] | [al:?] | kalte Drogenfraktion I im Ansatz | feucht in der Mitte des Grades, abgeschlossen | [y:?] | Drogenholz, getrocknete Kurz-/Kompaktform | Wurzelfraktion I	Grad-/Maßwert III | feucht in der Mitte des Grades | [l:?] | feucht in der Mitte des Grades | eingeweichtes Drogenholz, Form I | Drogenfraktion I | [shas:?] | Rohstoffklasse I | kalte Drogenfraktion I im Ansatz | feucht in der Mitte des Grades, abgeschlossen | [y:?] | Drogenholz, getrocknete Kurz-/Kompaktform | Wurzelfraktion I	0	CONCRETE_CONTEXT_COMPATIBLE
G655-A01-0004	1	al	NEW_EXACT_WHOLE	f104r	f104r.12	S	B	3	7	MEDIAL	sar	octhy	tshdol qotchedy qokoeey qoteode lo sar al octhy qotor opchey qotam	tshdol qotchedy qokoeey qoteode lo sar al octhy qotor opchey qotam	tshdol qotchedy qokoeey qoteode lo sar al octhy qot r opchey qotam	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	3	[tshdol:?] | kalt und trocken in der Mitte des Grades, abgeschlossen | [qokoeey:?] | [qoteode:?] | [lo:?] | Samenfraktion I | [al:?] | CTH-Zubereitung/Ansatz, Grundform | kalte Drogenportion | [opchey:?] | [qotam:?]	[tshdol:?] | kalt und trocken in der Mitte des Grades, abgeschlossen | [qokoeey:?] | [qoteode:?] | [lo:?] | Samenfraktion I | Rohstoffklasse I | CTH-Zubereitung/Ansatz, Grundform | kalte Drogenportion | [opchey:?] | [qotam:?]	0	CONCRETE_CONTEXT_COMPATIBLE
G655-A01-0005	1	al	NEW_EXACT_WHOLE	f104r	f104r.40	S	B	3	6	MEDIAL	oiinol	ly	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin	olkeeos olkaiin oair qcthy oiinolal ly oeear chcthy olched qotaiiin	READER_VARIANT	0	0	[al:?]	Rohstoffklasse I	3	[olkeeos:?] | [olkaiin:?] | [oair:?] | [qcthy:?] | [oiinol:?] | [al:?] | rohes Drogenholz | [oeear:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [olched:?] | kalt im qo-Rahmen, Grad IV	[olkeeos:?] | [olkaiin:?] | [oair:?] | [qcthy:?] | [oiinol:?] | Rohstoffklasse I | rohes Drogenholz | [oeear:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [olched:?] | kalt im qo-Rahmen, Grad IV	0	READER_VARIANT_WARNING
G655-A01-0006	1	al	NEW_EXACT_WHOLE	f104r	f104r.5	S	B	3	8	MEDIAL	cheday	lod	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	kchdal qotaiin qoshedy ol chl ol chedacphy al lod pchdair opchdy qod	chdal qotaiin qoshe y ol chl ol chedacphy al lod pchdair opch y qod	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	1	[kchdal:?] | kalt, Grad III | [qoshedy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chl:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheday:?] | [al:?] | [lod:?] | [pchdair:?] | [opchdy:?] | [qod:?]	[kchdal:?] | kalt, Grad III | [qoshedy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chl:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheday:?] | Rohstoffklasse I | [lod:?] | [pchdair:?] | [opchdy:?] | [qod:?]	0	SHORT_OR_OPAQUE_CONTEXT
G655-A01-0007	1	al	NEW_EXACT_WHOLE	f104v	f104v.27	S	B	3	13	FINAL	aiin	<EOS>	pchoror shor sheol sheol sheol qokchedy chdor sho r aiin chpchs aiin al	pchoror shor sheol sheol sheol qokchedy chdor sho r aiin chpchs aiin al	pchoror shor sheol sheol sheol qokchedy chdor sho r aiin chpchs aiin al	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	8	[pchoror:?] | Blüten-/Fruchtstand; reproduktiver Teil | feuchtes Material | feuchtes Material | feuchtes Material | heiß und trocken in der Mitte des Grades, abgeschlossen | [chdor:?] | feuchter Ansatz | [r:?] | Menge III | [chpchs:?] | Menge III | [al:?]	[pchoror:?] | Blüten-/Fruchtstand; reproduktiver Teil | feuchtes Material | feuchtes Material | feuchtes Material | heiß und trocken in der Mitte des Grades, abgeschlossen | [chdor:?] | feuchter Ansatz | [r:?] | Menge III | [chpchs:?] | Menge III | Rohstoffklasse I	0	CONCRETE_CONTEXT_COMPATIBLE
G655-A01-0008	1	al	NEW_EXACT_WHOLE	f105r	f105r.11	S	B	3	6	MEDIAL	oiiin	tchedarchy	pdar o shedy otcheos oiiin al tchedarchy fchos aiin polaiin polkeeey dyaiin	pdar oshedy otcheos oiiin al tchedar chy fchosaiin polaiin polkeeey dyaiin	pdaroshedy otcheos oiiinal tchedarchy fchosaiin polaiin polkeeey dyaiin	READER_VARIANT	0	0	[al:?]	Rohstoffklasse I	0	[pdar:?] | [o:?] | feucht in der Mitte des Grades, abgeschlossen | [otcheos:?] | [oiiin:?] | [al:?] | [tchedarchy:?] | [fchos:?] | Menge III | [polaiin:?] | [polkeeey:?] | [dyaiin:?]	[pdar:?] | [o:?] | feucht in der Mitte des Grades, abgeschlossen | [otcheos:?] | [oiiin:?] | Rohstoffklasse I | [tchedarchy:?] | [fchos:?] | Menge III | [polaiin:?] | [polkeeey:?] | [dyaiin:?]	0	READER_VARIANT_WARNING
G655-A01-0009	1	al	NEW_EXACT_WHOLE	f105r	f105r.18	S	B	3	4	MEDIAL	daiin	chedy	sheoy oleedy daiin al chedy okeeey chdaiin otedy cheoty oteedy oteey chdy	sheoy oleedy daiin al chedy okeeey chdaiin otedy cheoty oteedy oteey chdy	sheoy oleedy daiin al chedy okeeey ch aiin otedy cheoty oteedy oteey chdy	ALL_THREE_EXACT	1	1	[al:?]	Rohstoffklasse I	6	[sheoy:?] | [oleedy:?] | Grad-/Maßwert III | [al:?] | trocken in der Mitte des Grades, abgeschlossen | [okeeey:?] | [chdaiin:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [cheoty:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalter Ansatz am Ende des Grades | trocken am Anfang des Grades, abgeschlossen	[sheoy:?] | [oleedy:?] | Grad-/Maßwert III | Rohstoffklasse I | trocken in der Mitte des Grades, abgeschlossen | [okeeey:?] | [chdaiin:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [cheoty:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalter Ansatz am Ende des Grades | trocken am Anfang des Grades, abgeschlossen	0	CONCRETE_CONTEXT_COMPATIBLE
G655-A01-0010	1	al	NEW_EXACT_WHOLE	f105r	f105r.19	S	B	3	11	FINAL	aiir	<EOS>	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiir al	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiiral	dsechey oteol daiindy raiin che y laiin okeeody okeeyteedy odaiin aiir al	READER_VARIANT	0	0	[al:?]	Rohstoffklasse I	2	[dsechey:?] | [oteol:?] | [daiindy:?] | Samen/Saatgut, Typ/Charge III | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, Typ/Charge III | [okeeody:?] | [okeeyteedy:?] | Zubereitungsdosis III | [aiir:?] | [al:?]	[dsechey:?] | [oteol:?] | [daiindy:?] | Samen/Saatgut, Typ/Charge III | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, Typ/Charge III | [okeeody:?] | [okeeyteedy:?] | Zubereitungsdosis III | [aiir:?] | Rohstoffklasse I	0	READER_VARIANT_WARNING
