event_id	page	record	locus	locus_position	palette_id	sequence_ordinal	transform_id	remove_wrapper	apply_wrapper	final_surface	surface_roundtrip	free_choice
E008	f10r	H1	f10r.2	MIDDLE	WP17	1	WT05	ch	Ø	oky	YES	NO
E011	f10r	H1	f10r.5	FIRST	WP11	1	WT24	Ø	q	qokchy	YES	NO
E020	f10r	H2	f10r.6	MIDDLE	WP10	1	WT03	ch	d	dy	YES	NO
E022	f10r	H2	f10r.6	MIDDLE	WP10	2	WT14	d	t	taiin	YES	NO
E023	f10r	H2	f10r.6	LAST	WP10	3	WT09	che	sh	shy	YES	NO
E024	f10r	H2	f10r.8	FIRST	WP02	1	WT24	Ø	q	qotchor	YES	NO
E028	f10r	H2	f10r.8	MIDDLE	WP02	2	WT22	Ø	ch	cholor	YES	NO
E033	f10r	H2	f10r.9	MIDDLE	WP09	1	WT01	c	s	shor	YES	NO
E037	f10r	H2	f10r.9	MIDDLE	WP09	2	WT03	ch	d	dy	YES	NO
E050	f11r	H3	f11r.4	MIDDLE	WP08	1	WT03	ch	d	dy	YES	NO
E055	f11r	H3	f11r.7	LAST	WP08	1	WT07	che	d	dy	YES	NO
E068	f55v	H4	f55v.11	MIDDLE	WP17	1	WT15	d	Ø	aiin	YES	NO
E069	f55v	H4	f55v.11	MIDDLE	WP17	2	WT17	q	Ø	okal	YES	NO
E072	f55v	H4	f55v.11	MIDDLE	WP17	3	WT10	che	Ø	y	YES	NO
E057	f55v	H4	f55v.5	MIDDLE	WP01	1	WT11	d	ch	chaiin	YES	NO
E095	f56r	H5	f56r.18	MIDDLE	WP01	1	WT22	Ø	ch	chokchy	YES	NO
E083	f56r	H5	f56r.8	FIRST	WP14	1	WT13	d	s	schol	YES	NO
E128	f81v	B1	f81v.17	MIDDLE	WP14	1	WT01	c	s	shckhy	YES	NO
E102	f81v	B1	f81v.2	MIDDLE	WP15	1	WT17	q	Ø	okaiin	YES	NO
E104	f81v	B1	f81v.2	MIDDLE	WP15	2	WT17	q	Ø	okal	YES	NO
E105	f81v	B1	f81v.2	MIDDLE	WP15	3	WT04	ch	s	sar	YES	NO
E109	f81v	B1	f81v.2	MIDDLE	WP15	4	WT15	d	Ø	al	YES	NO
E142	f81v	B1	f81v.21	MIDDLE	WP11	1	WT24	Ø	q	qokey	YES	NO
E148	f81v	B1	f81v.21	MIDDLE	WP11	2	WT24	Ø	q	qol	YES	NO
E153	f81v	B1	f81v.24	MIDDLE	WP05	1	WT17	q	Ø	okeey	YES	NO
E154	f81v	B1	f81v.24	MIDDLE	WP05	2	WT24	Ø	q	qol	YES	NO
E155	f81v	B1	f81v.24	MIDDLE	WP05	3	WT20	sh	che	cheedy	YES	NO
E156	f81v	B1	f81v.24	MIDDLE	WP05	4	WT13	d	s	sal	YES	NO
E163	f81v	B1	f81v.27	MIDDLE	WP04	1	WT21	sh	t	tedy	YES	NO
E166	f81v	B1	f81v.27	LAST	WP04	2	WT11	d	ch	chal	YES	NO
E121	f81v	B1	f81v.7	LAST	WP11	1	WT24	Ø	q	qol	YES	NO
E200	f82r	B2	f82r.19	MIDDLE	WP17	1	WT17	q	Ø	okain	YES	NO
E167	f82r	B2	f82r.2	FIRST	WP08	1	WT18	s	d	dchedy	YES	NO
E170	f82r	B2	f82r.2	MIDDLE	WP08	2	WT07	che	d	dy	YES	NO
