palette_id	allowed_stamps	stamp_count	loci	events	locus_list	palette_kind
WP01	ch	1	3	3	f55v.5|f56r.18|f83r.35	UNIFORM_STAMP
WP02	ch|q	2	1	2	f10r.8	MIXED_STAMP_SEQUENCE
WP03	ch|s|sh	3	1	3	f83r.11	MIXED_STAMP_SEQUENCE
WP04	ch|t	2	1	2	f81v.27	MIXED_STAMP_SEQUENCE
WP05	che|q|s|Ø	4	1	4	f81v.24	MIXED_STAMP_SEQUENCE
WP06	che|s	2	1	2	f83r.24	MIXED_STAMP_SEQUENCE
WP07	che|Ø	2	2	4	f82r.26|f83r.48	MIXED_STAMP_SEQUENCE
WP08	d	1	4	5	f11r.4|f11r.7|f82r.2|f83r.54	UNIFORM_STAMP
WP09	d|s	2	1	2	f10r.9	MIXED_STAMP_SEQUENCE
WP10	d|sh|t	3	1	3	f10r.6	MIXED_STAMP_SEQUENCE
WP11	q	1	4	5	f10r.5|f81v.21|f81v.7|f83r.41	UNIFORM_STAMP
WP12	q|s|sh	3	1	3	f83r.14	MIXED_STAMP_SEQUENCE
WP13	q|sh|t	3	1	3	f83r.15	MIXED_STAMP_SEQUENCE
WP14	s	1	4	5	f56r.8|f81v.17|f82r.7|f83r.20	UNIFORM_STAMP
WP15	s|Ø	2	1	4	f81v.2	MIXED_STAMP_SEQUENCE
WP16	t	1	2	2	f83r.16|f83r.26	UNIFORM_STAMP
WP17	Ø	1	5	7	f10r.2|f55v.11|f82r.19|f83r.25|f83r.6	UNIFORM_STAMP
