transform_id	remove_wrapper	apply_wrapper	instruction	events	loci	cards
WT01	c	s	REMOVE_C__APPLY_S	2	2	2
WT02	ch	che	REMOVE_CH__APPLY_CHE	1	1	1
WT03	ch	d	REMOVE_CH__APPLY_D	3	3	1
WT04	ch	s	REMOVE_CH__APPLY_S	2	2	2
WT05	ch	Ø	REMOVE_CH__APPLY_BARE	1	1	1
WT06	che	ch	REMOVE_CHE__APPLY_CH	1	1	1
WT07	che	d	REMOVE_CHE__APPLY_D	2	2	1
WT08	che	s	REMOVE_CHE__APPLY_S	1	1	1
WT09	che	sh	REMOVE_CHE__APPLY_SH	3	3	2
WT10	che	Ø	REMOVE_CHE__APPLY_BARE	1	1	1
WT11	d	ch	REMOVE_D__APPLY_CH	2	2	2
WT12	d	che	REMOVE_D__APPLY_CHE	1	1	1
WT13	d	s	REMOVE_D__APPLY_S	3	3	3
WT14	d	t	REMOVE_D__APPLY_T	2	2	2
WT15	d	Ø	REMOVE_D__APPLY_BARE	4	4	2
WT16	q	sh	REMOVE_Q__APPLY_SH	1	1	1
WT17	q	Ø	REMOVE_Q__APPLY_BARE	7	6	6
WT18	s	d	REMOVE_S__APPLY_D	2	2	2
WT19	s	t	REMOVE_S__APPLY_T	1	1	1
WT20	sh	che	REMOVE_SH__APPLY_CHE	1	1	1
WT21	sh	t	REMOVE_SH__APPLY_T	1	1	1
WT22	Ø	ch	REMOVE_NONE__APPLY_CH	3	3	3
WT23	Ø	che	REMOVE_NONE__APPLY_CHE	1	1	1
WT24	Ø	q	REMOVE_NONE__APPLY_Q	9	8	7
WT25	Ø	s	REMOVE_NONE__APPLY_S	3	3	3
WT26	Ø	t	REMOVE_NONE__APPLY_T	1	1	1
