master_card_id	value_de	registered_surfaces	hand_a_surfaces_used	hand_b_surfaces_used	changed_occurrences	readback_rule
MC002	lange einwirken	okeey|qokeey	okeey	qokeey	1	all surfaces map uniquely to this master_card_id
MC007	kurz einwirken	okey|qokey	okey	qokey	1	all surfaces map uniquely to this master_card_id
MC013	Folgeansatz	otchor|qotchor	otchor	qotchor	2	all surfaces map uniquely to this master_card_id
MC017	Anteil zugeben	okain|qokain	okain	qokain	1	all surfaces map uniquely to this master_card_id
MC025	überführen; Schluss	dchedy|schedy|tchedy	dchedy	schedy	1	all surfaces map uniquely to this master_card_id
MC026	einsetzen	choky|oky|qoky	qoky	choky	3	all surfaces map uniquely to this master_card_id
MC033	Arbeitsstufe	oiiin|soiiin	oiiin	soiiin	1	all surfaces map uniquely to this master_card_id
MC034	weitere Zutat	cho|sho	cho	sho	2	all surfaces map uniquely to this master_card_id
MC039	Sollmaß	aiin|chaiin|daiin|saiin|taiin	aiin	chaiin	3	all surfaces map uniquely to this master_card_id
MC040	dorthin einsetzen	okal|qokal	okal	qokal	2	all surfaces map uniquely to this master_card_id
MC055	davon	char|dar|sar	char	dar	1	all surfaces map uniquely to this master_card_id
MC073	kurz vorbereiten	qcthey|shcthey	qcthey	shcthey	2	all surfaces map uniquely to this master_card_id
MC074	überführen	chdy|chedy	chedy	chdy	2	all surfaces map uniquely to this master_card_id
MC080	Ansatz	chor|or|shor|sor	chor	or	1	all surfaces map uniquely to this master_card_id
MC093	danach dorthin	otal|qotal	otal	qotal	2	all surfaces map uniquely to this master_card_id
MC105	Anteil	chkain|kain	kain	chkain	3	all surfaces map uniquely to this master_card_id
MC119	Klarauszug	cheey|shey	shey	cheey	2	all surfaces map uniquely to this master_card_id
MC120	bemessen	okaiin|qokaiin	okaiin	qokaiin	1	all surfaces map uniquely to this master_card_id
MC123	dies	chey|chy|dy|shy|sy|y	chey	chy	2	all surfaces map uniquely to this master_card_id
MC128	kurz absetzen; Schluss	cheedy|shedy|tedy	cheedy	shedy	1	all surfaces map uniquely to this master_card_id
MC142	vom vorigen	dchol|schol	dchol	schol	3	all surfaces map uniquely to this master_card_id
MC153	weiter	cheol|chol|ol|qol|sol|tol	cheol	chol	1	all surfaces map uniquely to this master_card_id
MC154	dorthin	al|chal|cheal|dal|sal|tal	dal	sal	2	all surfaces map uniquely to this master_card_id
