global_field_id	section	field_status	hand_a_sequence	hand_b_sequence	card_id_sequence	decoded_card_id_sequence	changed_tokens	reading_de
N01	A	OPEN	dchol shey aiin	schol cheey chaiin	MC142|MC119|MC039	MC142|MC119|MC039	3	vom vorigen Klarauszug ein Sollmass nehmen
N02	A	CLOSED	cheky dain chedy qokeedy	cheky dain chdy qokeedy	MC147|MC059|MC074|MC082	MC147|MC059|MC074|MC082	1	kurz waermen Einlage setzen Charge ueberfuehren lange einwirken
N03	A	CLOSED	shckhedy	shckhedy	MC143	MC143	0	erster Durchgang
N04	A	CLOSED	shckhedy	shckhedy	MC143	MC143	0	zweiter Durchgang
N05	A	CLOSED	kain dal qoky lshedy	chkain sal choky lshedy	MC105|MC154|MC026|MC038	MC105|MC154|MC026|MC038	3	Anteil zur Zielstelle bringen einsetzen und waschen
N06	C	CLOSED	dchol aiin cheky okal okey kain chedy dal shey aiin dain shckhedy	schol chaiin cheky qokal qokey chkain chdy sal cheey chaiin dain shckhedy	MC142|MC039|MC147|MC040|MC007|MC105|MC074|MC154|MC119|MC039|MC059|MC143	MC142|MC039|MC147|MC040|MC007|MC105|MC074|MC154|MC119|MC039|MC059|MC143	9	Vorigen Ansatz messen, kurz waermen und am ersten Ziel kurz halten; weiteren Anteil dorthin ueberfuehren; Klarauszug messen, Einlage setzen und einmal durchlassen.
N07	C	CLOSED	qotchy otal qoky lshedy	qotchy qotal choky lshedy	MC107|MC093|MC026|MC038	MC107|MC093|MC026|MC038	2	Zum Folgeposten und naechsten Ziel wechseln, dort einsetzen und den Waschgang schliessen.
N08	C	CLOSED	kain talam oldy	chkain talam oldy	MC105|MC160|MC019	MC105|MC160|MC019	1	Den Restanteil verwahren und fertig markieren.
N09	B	OPEN	talam dchol ykaiin ches	talam schol ykaiin ches	MC160|MC142|MC170|MC152	MC160|MC142|MC170|MC152	1	vom verwahrten vorigen Ansatz eine Sollportion nehmen und teilen
N10	B	CLOSED	ykain ody	ykain ody	MC047|MC100	MC047|MC100	0	erste Portion abkuehlen und den Teilvorgang schliessen
N11	B	CLOSED	talam oldy	talam oldy	MC160|MC019	MC160|MC019	0	abgekuehlte Portion verwahren und freigeben
N12	B	CLOSED	ykan cheky okal qokedy	ykan cheky qokal qokedy	MC148|MC147|MC040|MC083	MC148|MC147|MC040|MC083	1	zweite Portion kurz waermen am ersten Ziel einsetzen und kurz einwirken
N13	B	CLOSED	qotchy otal qoky rshedy	qotchy qotal choky rshedy	MC107|MC093|MC026|MC084	MC107|MC093|MC026|MC084	2	Folgeposten zum naechsten Ziel bringen dort einsetzen und Waschfolge schliessen
N14	D	OPEN	chor char okaiin dl cho qcthey cheol	or dar qokaiin dl sho shcthey chol	MC080|MC055|MC120|MC012|MC034|MC073|MC153	MC080|MC055|MC120|MC012|MC034|MC073|MC153	6	Ansatz aufnehmen, davon bemessen, Zusatz und weitere Zutat zugeben, kurz vorbereiten und weiterarbeiten.
N15	D	CLOSED	chey cheeky shedal cheedy	chy cheeky shedal shedy	MC123|MC032|MC113|MC128	MC123|MC032|MC113|MC128	2	Diesen Posten laenger bearbeiten, am Ziel absetzen und den kurzen Absetzschritt schliessen.
N16	D	CLOSED	otchor okain oiiin chdal dchedy	qotchor qokain soiiin chdal schedy	MC013|MC017|MC033|MC001|MC025	MC013|MC017|MC033|MC001|MC025	4	Folgeansatz mit einer Portion auf die Arbeitsstufe setzen, zum Ziel ueberfuehren und schliessen.
N17	D	CLOSED	chey okeey chdal lchedy	chy qokeey chdal lchedy	MC123|MC002|MC001|MC155	MC123|MC002|MC001|MC155	2	Diesen Posten lange einwirken lassen, zum Ziel ueberfuehren und abfuehren.
N18	D	CLOSED	otchor cho qcthey solkeey ldy	qotchor sho shcthey solkeey ldy	MC013|MC034|MC073|MC020|MC004	MC013|MC034|MC073|MC020|MC004	3	Folgeansatz mit weiterer Zutat kurz vorbereiten, lange sammeln, abziehen und schliessen.
