statement_id	register	record_unit_id	page	owner_zones	events	event_ids	common_action_atomic_reading_de	wet_context_expansion_de	revised_events	owner_class	owner_code	concrete_owner_de	dies_resolves_to_de	dort_quelle_resolves_to_de	stelle_resolves_to_de	owner_source	owner_expanded_reading_de
H1-S001	HERBAL	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dies kurz entnehmen; Ansatz bereit; von dort; dies eintragen; Fach; Lauf entnehmen; danach dies eintragen und weiter entnehmen; verwende dies; Mass; dies kurz eintragen.	Von der abgebildeten Pflanze kurz abziehen; der Ansatz ist bereit. Von dort in das Gefäß füllen. Wasser abziehen, danach diesen Posten füllen und weiter abziehen. Dies nach Maß verwenden und kurz füllen.	3	H_BROAD_TOOTHED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige gezähnte Blütenpflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Von der abgebildeten Pflanze kurz abziehen; der Ansatz ist bereit. Von dort in das Gefäß füllen. Wasser abziehen, danach diesen Posten füllen und weiter abziehen. Dies nach Maß verwenden und kurz füllen.
H1-S002	HERBAL	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	dies ansetzen; danach weiter entnehmen; fortsetzen; bereit.	Diesen Posten ansetzen, danach weiter abziehen und fortfahren, bis er bereit ist.	1	H_BROAD_TOOTHED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige gezähnte Blütenpflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Diesen Posten ansetzen, danach weiter abziehen und fortfahren, bis er bereit ist.
H2-S001	HERBAL	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	diesen Ansatz kurz entnehmen; bereit; Ansatz; auf Maß bereitstellen; dies bereit weiterführen; dies; dies; Mass; dies.	Diesen Ansatz kurz abziehen; der Ansatz ist bereit. Ihn auf Maß bereitstellen und als bereiten Posten weiterführen; dieser Posten bleibt am Maß.	1	H_BROAD_TOOTHED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige gezähnte Blütenpflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Diesen Ansatz kurz abziehen; der Ansatz ist bereit. Ihn auf Maß bereitstellen und als bereiten Posten weiterführen; dieser Posten bleibt am Maß.
H2-S002	HERBAL	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	danach Ansatz entnehmen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; von dort.	Danach vom Ansatz abziehen und damit fortfahren. Den weiteren Ansatz nach Maß fortführen und von dort weiterarbeiten.	1	H_BROAD_TOOTHED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige gezähnte Blütenpflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Danach vom Ansatz abziehen und damit fortfahren. Den weiteren Ansatz nach Maß fortführen und von dort weiterarbeiten.
H2-S003	HERBAL	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	dies dem Ansatz zuführen; Ansatz; Ansatz; dies; bis zur Sollstufe zuführen; dies; auf Maß entnehmen.	Diesen Posten dem Ansatz zuführen; der Ansatz bleibt aktiv. Dies bis zur Sollstufe zuführen und auf Maß abziehen.	1	H_BROAD_TOOTHED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	breitblättrige gezähnte Blütenpflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige gezähnte Blütenpflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Diesen Posten dem Ansatz zuführen; der Ansatz bleibt aktiv. Dies bis zur Sollstufe zuführen und auf Maß abziehen.
H3-S001	HERBAL	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	weiter eingetragen halten; an der Stelle halten; auswringen; dies bis zum Maß halten; dies hineinführen; Ergebnis; eintragen und entnehmen; Schluss.	Den gefüllten Posten weiter an der Stelle halten, auswringen, bis zum Maß halten und hineinführen. Den Klarauszug nehmen; füllen und abziehen; Schluss.	1	H_BLUE_CROWN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer dicht beblätterte Pflanze mit blauer Blütenkrone: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Den gefüllten Posten weiter an der Stelle halten, auswringen, bis zum Maß halten und hineinführen. Den Klarauszug nehmen; füllen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	F11R_PICTURED_PLANT	1	E046	dies halten und eintragen.	Diesen Posten halten und füllen.	0	H_BLUE_CROWN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer dicht beblätterte Pflanze mit blauer Blütenkrone: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Diesen Posten halten und füllen.
H3-S003	HERBAL	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	fortsetzen; dies; dies zuführen; dies; Mass.	Fortfahren; diesen Posten zuführen und ihn nach Maß weiterführen.	0	H_BLUE_CROWN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer dicht beblätterte Pflanze mit blauer Blütenkrone: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Fortfahren; diesen Posten zuführen und ihn nach Maß weiterführen.
H3-S004	HERBAL	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	nächster Posten; weiter ansetzen; bereit; dies.	Den nächsten Posten weiter ansetzen; sobald er bereit ist, gilt dieser Posten.	0	H_BLUE_CROWN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dicht beblätterte Pflanze mit blauer Blütenkrone	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer dicht beblätterte Pflanze mit blauer Blütenkrone: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Den nächsten Posten weiter ansetzen; sobald er bereit ist, gilt dieser Posten.
H4-S001	HERBAL	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.	Bemessen: nach Maß eine Portion davon zuführen, dann noch eine Portion; den Arbeitsgang abschließen.	0	H_BROAD_PANICLE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige Rispenpflanze mit auffälligem Wurzelkörper: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Bemessen: nach Maß eine Portion davon zuführen, dann noch eine Portion; den Arbeitsgang abschließen.
H4-S002	HERBAL	H4	f55v	F55V_PICTURED_PLANT	3	E061|E062|E063	Mass; dies umsetzen; verwahren.	Nach Maß diesen Posten umsetzen und verwahren.	0	H_BROAD_PANICLE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige Rispenpflanze mit auffälligem Wurzelkörper: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Nach Maß diesen Posten umsetzen und verwahren.
H4-S003	HERBAL	H4	f55v	F55V_PICTURED_PLANT	4	E064|E065|E066|E067	dies auf Maß zuführen; Entnahme aus der Quelle; dies länger wärmen; fortsetzen; Schluss.	Diesen Posten auf Maß zuführen, den Auszug aus der Quelle nehmen, dies länger wärmen und nach dem Fortsetzen schließen.	1	H_BROAD_PANICLE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige Rispenpflanze mit auffälligem Wurzelkörper: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Diesen Posten auf Maß zuführen, den Auszug aus der Quelle nehmen, dies länger wärmen und nach dem Fortsetzen schließen.
H4-S004	HERBAL	H4	f55v	F55V_PICTURED_PLANT	6	E068|E069|E070|E071|E072|E073	Mass; an die Stelle setzen; dies weiter eintragen; Ansatz; dies; Ansatzportion.	Nach Maß an die Stelle setzen und dies weiter füllen. Mit dem Ansatz weiterarbeiten und davon eine Ansatzportion verwenden.	0	H_BROAD_PANICLE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	breitblättrige Rispenpflanze mit auffälligem Wurzelkörper	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer breitblättrige Rispenpflanze mit auffälligem Wurzelkörper: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Nach Maß an die Stelle setzen und dies weiter füllen. Mit dem Ansatz weiterarbeiten und davon eine Ansatzportion verwenden.
H5-S001	HERBAL	H5	f56r	F56R_PICTURED_PLANT	9	E074|E075|E076|E077|E078|E079|E080|E081|E082	Gabe aus dem Ansatz entnehmen; Gabe; diese Gabe an die Stelle; Mass; Gabe; weiter zuführen; danach Ansatz entnehmen; verwende dies; Stelle.	Die Zutat aus dem Ansatz abziehen und diese Zutat nach Maß an die Stelle bringen. Weitere Zutat zuführen, danach vom Ansatz abziehen und dies an der Stelle verwenden.	2	H_MULTIHEAD	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze	Material dieser Pflanze	diese Pflanze oder ihr laufender Ansatz	örtlich gelernte, im Bild nicht sichtbare Zielstelle	V73_SELECTED_VISIBLE_PLANT_OWNER	Beim Bildbesitzer mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze: [DIES=Material dieser Pflanze; DORT/QUELLE=diese Pflanze oder ihr laufender Ansatz; STELLE=örtlich gelernte, im Bild nicht sichtbare Zielstelle] Die Zutat aus dem Ansatz abziehen und diese Zutat nach Maß an die Stelle bringen. Weitere Zutat zuführen, danach vom Ansatz abziehen und dies an der Stelle verwenden.
