owner_class	scope	instances	owner_codes_or_pattern	concrete_owner_default_de	active_referent_default_de	teaching_rule_de
A1_LEFT_FIELD	ASTRO	37	A1_LEFT_LOCAL_FIELD_*	nummeriertes Feld des linken Rades	Wert dieses linken Feldes	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_LEFT_RING_TEXT	ASTRO	1	A1_LEFT_OUTER_RING_TEXT	äußere Beschriftung des linken Rades	Beschriftung des linken Außenrings	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_LEGEND	ASTRO	1	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	Legende zwischen den beiden Rädern	Legendenposten des Radpaares	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_OUTER_STAR	ASTRO	12	A1_LEFT_OUTER_STAR_STATION_*	äußere Sternstelle des linken Rades	Wert dieser Sternstelle	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_PHASE	ASTRO	8	A1_RIGHT_PHASE_STATION_*	Phasenstelle des rechten Rades	Wert dieser Phasenstelle	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_RIGHT_RING	ASTRO	2	A1_RIGHT_RING_BAND_*	Ringband des rechten Rades	Wert dieses Ringbandes	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_RIGHT_RING_TEXT	ASTRO	1	A1_RIGHT_OUTER_RING_TEXT	äußere Beschriftung des rechten Rades	Beschriftung des rechten Außenrings	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A1_RIGHT_SECTOR	ASTRO	12	A1_RIGHT_SECTOR_SLOT_*	nummerierter Sektorplatz des rechten Rades	Wert dieses rechten Sektorplatzes	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A2_CENTRE	ASTRO	2	A2_CENT*_UNRESOLVED	zentrale Sternfeldlegende	zentraler Schlüsselwert	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A2_HEADER_FRAGMENT	ASTRO	4	A2_MULTIPANEL_HEADER_FRAGMENT_*	Kopffragment der Sternpanels	Wert dieses Kopffragments	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A2_PANEL_HEADER	ASTRO	3	A2_*_PANEL_HEADER	Kopf eines Sternpanels	Kopfwert dieses Sternpanels	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A2_STAR	ASTRO	28	A2_STAR_STATION_*	nummerierte Sternstelle des Mehrpanelfeldes	Wert dieser Sternstelle	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A3_RADIAL_SLOT	ASTRO	28	A3_LEFT_RADIAL_SLOT_*	nummerierter Radialplatz des linken Rades	Wert dieses Radialplatzes	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
A3_RING_TEXT	ASTRO	3	A3_*_WHEEL_RING_TEXT	Ringbeschriftung eines der drei Räder	Wert dieser Ringbeschriftung	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B1_POOL	BIOLOGICAL	21	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren- und Beckenanlage	Arbeitsflüssigkeit oder Körperposten im gemeinsamen Becken	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_EDGE	BIOLOGICAL	8	B2_LOWER_POOL_EDGE_STATIONS	untere Beckenrand- und Endstationen	Arbeitsflüssigkeit am unteren Beckenrand	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_LOWER_POOL	BIOLOGICAL	2	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrpersonenbecken	Arbeitsflüssigkeit oder Körperposten im unteren Becken	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_MIDDLE_LEFT	BIOLOGICAL	4	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittlere linke Seitenstation mit Zwischenknoten	Arbeitsflüssigkeit am linken Zwischenknoten	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_MIDDLE_RIGHT	BIOLOGICAL	1	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte Einzelstation	Arbeitsposten an der rechten Einzelstation	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_MIDDLE_RIGHT+B2_LOWER_POOL	BIOLOGICAL	1	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	sichtbarer Wechsel von mittlere rechte Einzelstation zu unteres grünes Mehrpersonenbecken	Arbeitsposten am Stationswechsel	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B2_UPPER	BIOLOGICAL	6	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	obere Doppelbecken mit Zylinderstation	Arbeitsflüssigkeit in den oberen Becken	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_ARCH_PAIR	BIOLOGICAL	8	B3_MAIN_ARCH_LINKED_PAIR	durch einen Bogen verbundenes Hauptpaar	Arbeitsflüssigkeit im verbundenen Hauptpaar	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_GAP	BIOLOGICAL	9	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	nicht gezeichneter Übergang vom Rand zum Hauptfeld	übernommener Arbeitsposten ohne sichtbare Verbindung	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_GAP+B3_ARCH_PAIR	BIOLOGICAL	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	sichtbarer Wechsel von nicht gezeichneter Übergang vom Rand zum Hauptfeld zu durch einen Bogen verbundenes Hauptpaar	Arbeitsposten am Stationswechsel	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_LOWER_BASKET	BIOLOGICAL	6	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	untere Korb- oder Gefäßstation am Rand	Arbeitsgut im unteren Korbgefäß	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_LOWER_BASKET+B3_GAP	BIOLOGICAL	1	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	sichtbarer Wechsel von untere Korb- oder Gefäßstation am Rand zu nicht gezeichneter Übergang vom Rand zum Hauptfeld	Arbeitsposten am Stationswechsel	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_MIDDLE_VESSEL	BIOLOGICAL	5	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere runde Gefäßstation am Rand	Arbeitsflüssigkeit im runden Gefäß	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B3_UPPER_FAN	BIOLOGICAL	4	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	Arbeitsgut an der oberen Fächerstation	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B4_ARCH_PAIR	BIOLOGICAL	10	B4_MAIN_ARCH_LINKED_PAIR	durch einen Bogen verbundenes Hauptpaar	Arbeitsflüssigkeit im verbundenen Hauptpaar	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
B4_LEFT_FRINGE	BIOLOGICAL	4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	linke offene Randstation	Arbeitsgut an der linken Randstation	Das Bild setzt diesen Besitzer; folgende DIES/DORT/STELLE-Ausdrücke bleiben dort, bis ein sichtbarer Besitzerwechsel eintritt.
