residual_no	mode_id_old	record	page	locus	event_id	input_rule_surface	remove_wrapper	retain_tail	apply_wrapper_stamp	local_output_surface	reason
1	LR01	H1	f10r	f10r.2	E008	choky	ch	oky	Ø	oky	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
2	LR02	H1	f10r	f10r.5	E011	okchy	Ø	okchy	q	qokchy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
3	LR03	H2	f10r	f10r.6	E020	chy	ch	y	d	dy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
4	LR03	H2	f10r	f10r.6	E022	daiin	d	aiin	t	taiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
5	LR03	H2	f10r	f10r.6	E023	chey	che	y	sh	shy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
6	LR04	H2	f10r	f10r.8	E024	otchor	Ø	otchor	q	qotchor	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
7	LR04	H2	f10r	f10r.8	E028	olor	Ø	olor	ch	cholor	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
8	LR05	H2	f10r	f10r.9	E033	chor	c	hor	s	shor	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
9	LR05	H2	f10r	f10r.9	E037	chy	ch	y	d	dy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
10	LR07	H3	f11r	f11r.4	E050	chy	ch	y	d	dy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
11	LR08	H3	f11r	f11r.7	E055	chey	che	y	d	dy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
12	LR09	H4	f55v	f55v.5	E057	daiin	d	aiin	ch	chaiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
13	LR10	H4	f55v	f55v.11	E068	daiin	d	aiin	Ø	aiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
14	LR10	H4	f55v	f55v.11	E069	qokal	q	okal	Ø	okal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
15	LR10	H4	f55v	f55v.11	E072	chey	che	y	Ø	y	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
16	LR11	H5	f56r	f56r.8	E083	dchol	d	chol	s	schol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
17	LR12	H5	f56r	f56r.18	E095	okchy	Ø	okchy	ch	chokchy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
18	LR13	B1	f81v	f81v.2	E102	qokaiin	q	okaiin	Ø	okaiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
19	LR13	B1	f81v	f81v.2	E104	qokal	q	okal	Ø	okal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
20	LR13	B1	f81v	f81v.2	E105	char	ch	ar	s	sar	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
21	LR13	B1	f81v	f81v.2	E109	dal	d	al	Ø	al	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
22	LR14	B1	f81v	f81v.7	E121	ol	Ø	ol	q	qol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
23	LR15	B1	f81v	f81v.17	E128	chckhy	c	hckhy	s	shckhy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
24	LR16	B1	f81v	f81v.21	E142	okey	Ø	okey	q	qokey	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
25	LR16	B1	f81v	f81v.21	E148	ol	Ø	ol	q	qol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
26	LR17	B1	f81v	f81v.24	E153	qokeey	q	okeey	Ø	okeey	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
27	LR17	B1	f81v	f81v.24	E154	ol	Ø	ol	q	qol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
