decision_no	event_id	statement_id	record	page	locus	decision_type	selected_value
1	E001	H1-S001	H1	f10r	f10r.2	LOAD_RESIDUAL_LOCUS_TABLE	RR01
2	E011	H1-S002	H1	f10r	f10r.5	LOAD_RESIDUAL_LOCUS_TABLE	RR02
3	E015	H2-S001	H2	f10r	f10r.6	LOAD_RESIDUAL_LOCUS_TABLE	RR03
4	E024	H2-S002	H2	f10r	f10r.8	LOAD_RESIDUAL_LOCUS_TABLE	RR04
5	E032	H2-S003	H2	f10r	f10r.9	LOAD_RESIDUAL_LOCUS_TABLE	RR05
6	E047	H3-S003	H3	f11r	f11r.4	LOAD_RESIDUAL_LOCUS_TABLE	RR06
7	E052	H3-S004	H3	f11r	f11r.7	LOAD_RESIDUAL_LOCUS_TABLE	RR07
8	E056	H4-S001	H4	f55v	f55v.5	LOAD_RESIDUAL_LOCUS_TABLE	RR08
9	E064	H4-S003	H4	f55v	f55v.11	LOAD_RESIDUAL_LOCUS_TABLE	RR09
10	E083	H5-S002	H5	f56r	f56r.8	LOAD_RESIDUAL_LOCUS_TABLE	RR10
11	E094	H5-S005	H5	f56r	f56r.18	LOAD_RESIDUAL_LOCUS_TABLE	RR11
12	E101	B1-S001	B1	f81v	f81v.2	LOAD_RESIDUAL_LOCUS_TABLE	RR12
13	E113	B1-S002	B1	f81v	f81v.7	LOAD_RESIDUAL_LOCUS_TABLE	RR13
14	E122	B1-S003	B1	f81v	f81v.17	LOAD_RESIDUAL_LOCUS_TABLE	RR14
15	E141	B1-S012	B1	f81v	f81v.21	LOAD_RESIDUAL_LOCUS_TABLE	RR15
16	E150	B1-S015	B1	f81v	f81v.24	LOAD_RESIDUAL_LOCUS_TABLE	RR16
17	E160	B1-S018	B1	f81v	f81v.27	LOAD_RESIDUAL_LOCUS_TABLE	RR17
18	E167	B2-S001	B2	f82r	f82r.2	LOAD_RESIDUAL_LOCUS_TABLE	RR18
19	E189	B2-S007	B2	f82r	f82r.7	LOAD_RESIDUAL_LOCUS_TABLE	RR19
20	E198	B2-S011	B2	f82r	f82r.19	LOAD_RESIDUAL_LOCUS_TABLE	RR20
21	E212	B2-S015	B2	f82r	f82r.26	LOAD_RESIDUAL_LOCUS_TABLE	RR21
22	E239	B3-S005	B3	f83r	f83r.6	LOAD_RESIDUAL_LOCUS_TABLE	RR22
23	E254	B3-S012	B3	f83r	f83r.11	LOAD_RESIDUAL_LOCUS_TABLE	RR23
24	E264	B3-S016	B3	f83r	f83r.14	LOAD_RESIDUAL_LOCUS_TABLE	RR24
25	E274	B3-S021	B3	f83r	f83r.15	LOAD_RESIDUAL_LOCUS_TABLE	RR25
26	E283	B3-S024	B3	f83r	f83r.16	LOAD_RESIDUAL_LOCUS_TABLE	RR26
27	E291	B3-S026	B3	f83r	f83r.20	LOAD_RESIDUAL_LOCUS_TABLE	RR27
28	E309	B3-S034	B3	f83r	f83r.24	LOAD_RESIDUAL_LOCUS_TABLE	RR28
29	E315	B4-S001	B4	f83r	f83r.25	LOAD_RESIDUAL_LOCUS_TABLE	RR29
30	E321	B4-S003	B4	f83r	f83r.26	LOAD_RESIDUAL_LOCUS_TABLE	RR30
31	E338	B4-S011	B4	f83r	f83r.35	LOAD_RESIDUAL_LOCUS_TABLE	RR31
32	E356	B4-S015	B4	f83r	f83r.41	LOAD_RESIDUAL_LOCUS_TABLE	RR32
33	E365	B5-S003	B5	f83r	f83r.48	LOAD_RESIDUAL_LOCUS_TABLE	RR33
34	E377	B6-S001	B6	f83r	f83r.54	LOAD_RESIDUAL_LOCUS_TABLE	RR34
