residual_mode_id	record	page	locus	load_event	residual_assignments	residual_event_ids	instruction_de
RR01	H1	f10r	f10r.2	E001	1	E008	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR02	H1	f10r	f10r.5	E011	1	E011	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR03	H2	f10r	f10r.6	E015	3	E020|E022|E023	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR04	H2	f10r	f10r.8	E024	2	E024|E028	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR05	H2	f10r	f10r.9	E032	2	E033|E037	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR06	H3	f11r	f11r.4	E047	1	E050	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR07	H3	f11r	f11r.7	E052	1	E055	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR08	H4	f55v	f55v.5	E056	1	E057	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR09	H4	f55v	f55v.11	E064	3	E068|E069|E072	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR10	H5	f56r	f56r.8	E083	1	E083	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR11	H5	f56r	f56r.18	E094	1	E095	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR12	B1	f81v	f81v.2	E101	4	E102|E104|E105|E109	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR13	B1	f81v	f81v.7	E113	1	E121	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR14	B1	f81v	f81v.17	E122	1	E128	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR15	B1	f81v	f81v.21	E141	2	E142|E148	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR16	B1	f81v	f81v.24	E150	4	E153|E154|E155|E156	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR17	B1	f81v	f81v.27	E160	2	E163|E166	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR18	B2	f82r	f82r.2	E167	2	E167|E170	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR19	B2	f82r	f82r.7	E189	1	E190	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR20	B2	f82r	f82r.19	E198	1	E200	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR21	B2	f82r	f82r.26	E212	2	E214|E217	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR22	B3	f83r	f83r.6	E239	1	E242	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR23	B3	f83r	f83r.11	E254	3	E254|E257|E258	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR24	B3	f83r	f83r.14	E264	3	E264|E271|E273	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR25	B3	f83r	f83r.15	E274	3	E278|E279|E281	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR26	B3	f83r	f83r.16	E283	1	E283	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR27	B3	f83r	f83r.20	E291	2	E291|E299	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR28	B3	f83r	f83r.24	E309	2	E309|E311	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR29	B4	f83r	f83r.25	E315	1	E320	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR30	B4	f83r	f83r.26	E321	1	E324	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR31	B4	f83r	f83r.35	E338	1	E342	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR32	B4	f83r	f83r.41	E356	1	E358	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR33	B5	f83r	f83r.48	E365	2	E366|E369	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
RR34	B6	f83r	f83r.54	E377	1	E377	Nur die verbliebenen lokalen Stempelzuweisungen laden; vier Kontextregeln vorher anwenden.
