stem	fixed_verb_de	short_definition_de	events_in_1435_instructions	pages	examples	distinction
P	EINSETZEN	einen Stoff oder Posten in den laufenden Gang bringen	53	f10r:4,f13r:6,f55v:1,f67r2:5,f68r1:2,f75r:10,f81v:6,f82r:5,f83r:11,f88r:3	pchocthy | pchodol | chopchal | ypch | opchy	KEEP_ONE_VERB
OK	ANSETZEN	einen bezeichneten Arbeitsgang aktiv beginnen	367	f10r:3,f11r:2,f13r:8,f55v:17,f56r:21,f67r2:10,f68r1:6,f75r:108,f81v:46,f82r:66,f83r:61,f88r:19	oky | qokchy | shy · dchy · qokchol | ytchoky | daiin · qotchy · okchol	KEEP_ONE_VERB
CH	ENTNEHMEN	einen Teil aus dem aktiven Besitzer nehmen	178	f10r:25,f11r:8,f13r:11,f55v:7,f56r:34,f67r2:12,f68r1:15,f75r:8,f81v:11,f82r:14,f83r:16,f88r:17	pchocthy | chorchy | chorchy | pchodol | chopchal	KEEP_ONE_VERB
K	ZUGEBEN	einen Posten dem aktiven Gang hinzufügen	151	f10r:4,f11r:6,f13r:9,f55v:18,f56r:13,f67r2:8,f68r1:4,f75r:23,f81v:28,f82r:14,f83r:13,f88r:11	kom | y · kchaiin | otol · chol · cholor · chol · daiin · dar · oykchor | chy · kaiiin | y · kshy	KEEP_ONE_VERB
O	AUSFÜHREN	den bezeichneten Arbeitsgang ausführen	201	f10r:20,f11r:10,f13r:12,f55v:12,f56r:12,f67r2:54,f68r1:8,f75r:12,f81v:10,f82r:15,f83r:14,f88r:22	pchocthy | octhody | octhody | pchodol | chopchal	KEEP_ONE_VERB
T	EINSTELLEN	einen Posten oder Wert auf die bezeichnete Stufe stellen	90	f10r:9,f11r:6,f13r:6,f55v:6,f56r:6,f67r2:8,f68r1:4,f75r:9,f81v:16,f82r:3,f83r:15,f88r:2	char · chty | otytchol | daiin · etyd | tchy | qotchy · chol · or · yty	KEEP_ONE_VERB
S	WÄHLEN	Quelle, Portion, Ziel oder Möglichkeit auswählen	134	f10r:2,f11r:3,f13r:5,f55v:4,f56r:7,f67r2:27,f68r1:1,f75r:18,f81v:7,f82r:13,f83r:31,f88r:16	dy · dy · sor | osain | socthody | d · s | s	KEEP_ONE_VERB
CTH	BEREITSTELLEN	den Posten in den verwendbaren Zustand bringen	52	f10r:13,f11r:5,f56r:3,f67r2:1,f68r1:1,f75r:5,f81v:4,f82r:5,f83r:12,f88r:3	pchocthy | octhody | cthoor | daiin · chocthy | chcthy	KEEP_ONE_VERB
R	KENNZEICHNEN	den erreichten Zustand kenntlich machen	57	f10r:2,f55v:1,f56r:2,f67r2:4,f68r1:4,f75r:7,f81v:5,f82r:20,f83r:9,f88r:3	doiir | ycheor | ar · aldy · dary | chey · r | r	KEEP_ONE_VERB
CHK	BEHANDELN	den Posten einer Zustandsbehandlung unterziehen	26	f55v:3,f56r:1,f67r2:1,f68r1:1,f75r:7,f81v:4,f82r:2,f83r:7	cheky | cheeky | or · y · orain · daiin · ar · cheky | chkor | chekeedy	KEEP_ONE_VERB
CHD	UMSETZEN	den aktiven Posten in den nächsten Zustand oder Ort überführen	153	f55v:7,f56r:1,f67r2:1,f75r:28,f81v:26,f82r:32,f83r:58	kcheedchdy | al · chedy | al · ochedy | daiin · chedy | daiiny · okchd	KEEP_ONE_VERB
SH	HALTEN	den aktiven Posten am Ort oder im Zustand halten	185	f10r:3,f11r:8,f13r:7,f55v:1,f56r:5,f67r2:5,f68r1:3,f75r:55,f81v:25,f82r:28,f83r:33,f88r:12	shor | shor | otchoshor | tshol | schoal	KEEP_ONE_VERB
SHED	ABSETZEN	den Posten ruhen oder sich setzen lassen	59	f75r:17,f81v:8,f82r:12,f83r:22	qotar · shedy | shedy | sol · or · shedy | shedy | qol · shedy	KEEP_ONE_VERB
CFH	TRENNEN	den Posten trennen; lokal auspressen	4	f10r:1,f11r:1,f13r:1,f67r2:1	otor · cfhy | cfhy | cfholdy | ain · ar · amy · chocfhy	KEEP_ONE_VERB
LSH	SPÜLEN	den Posten oder Durchlass spülen	17	f75r:1,f81v:7,f82r:4,f83r:4,f88r:1	chckhy · lshedy | dain · ofalsheky | salshcthdy | lshedy | lshety	KEEP_ONE_VERB
CPH	UMLEITEN	in Gegen-, Empfangs- oder zweiten Lauf führen	9	f11r:1,f56r:1,f68r1:1,f81v:1,f82r:1,f83r:3,f88r:1	cphy | chy · ychocphy | cphedy | cphal | checphedy	KEEP_ONE_VERB
SOLK	AUFFANGEN	den Posten an einer Sammelstelle aufnehmen	22	f75r:7,f81v:6,f82r:1,f83r:7,f88r:1	olkar | olky | qolkeeoly | olkeey | qolkary	KEEP_ONE_VERB
