event_id	pass910_event_id	dictionary_entry_id	physical_page	source_page	register	locus	source_kind	usage_class	line_order	token_index	surface	visible_owner_de	owner_binding_required	owner_description_de	component_recipe	meaning_mode	repair_origin	prior_local_code	atomic_reading_de	fluent_token_de	line_is_sentence_end	analysis_source	current_channel	current_spoken_unit	current_reading_de
P912-E0001	P910-E0001	P912-D0887	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	1	pchocthy	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	P+CH+O+CTH+Y	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · GANG · STATUS · DIESER POSTEN	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0001	Diesen Posten einsetzen, entnehmen, ausführen und bereitstellen.
P912-E0002	P910-E0002	P912-D1179	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	2	shor	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	SH+OR	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	HALTEN · ANSATZ/EINTRAG	den Ansatz halten; mit dem Pflanzenansatz	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0002	Den Ansatz halten.
P912-E0003	P910-E0003	P912-D0526	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	3	octhody	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	O+CTH+O+D_ADDR+Y	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	GANG · STATUS · GANG · TEILADRESSE · DIESER POSTEN	den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0003	Aus diesem Teil diesen Posten ausführen, bereitstellen und ausführen.
P912-E0004	P910-E0004	P912-D0229	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	4	chorchy	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	CH+OR+CH+Y	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG · ENTNEHMEN/ABLESEN · DIESER POSTEN	den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; diesen Posten	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0004	Den Ansatz und diesen Posten entnehmen.
P912-E0005	P910-E0005	P912-D0888	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	5	pchodol	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	P+CH+O+D_ADDR+OL	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · GANG · TEILADRESSE · FORTSETZEN	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; fortsetzen	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0005	Weiter aus diesem Teil einsetzen, entnehmen und ausführen.
P912-E0006	P910-E0006	P912-D0224	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	6	chopchal	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	CH+O+P+CH+AL	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	ENTNEHMEN/ABLESEN · GANG · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · ZIELSTELLE	den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; zur Zielstelle	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0006	Entnehmen, ausführen, einsetzen und entnehmen zur Ziel- oder Anschlussstelle.
P912-E0007	P910-E0007	P912-D1348	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	7	ypch	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	Y+P+CH	NEW_COMPONENT_COMPOSITION	UNCHANGED	NONE	DIESER POSTEN · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN	diesen Posten; den Teil einsetzen; den Pflanzenteil entnehmen	NO	HEURISTIC_COMPOSITION	WORKSHOP_PROSE	P917-I0007	Diesen Posten einsetzen und entnehmen.
P912-E0008	P910-E0008	P912-D0446	f10r	f10r	HERBAL	f10r.1	P	PROSE	1	8	kom	abgebildeter Pflanzenartikel f10r	NO	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W006 aus	K+O+M_LOCAL	REPAIRED_COMPONENT_COMPOSITION	PASS911_WORKSHOP_CARD	H-W006	ZUORDNEN/ZUGEBEN · GANG · M-KENNZEICHEN	Material zugeben; den Verarbeitungsgang ausführen; mit M-Kennzeichen	NO	PASS911_LOCAL_DRAWER_REPAIR	WORKSHOP_PROSE	P917-I0008	Zugeben und ausführen mit m-Zeichen.
P912-E0009	P910-E0009	P912-D0342	f10r	f10r	HERBAL	f10r.2	P	PROSE	2	1	dchey	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	CH+E+Y	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	ENTNEHMEN/ABLESEN · KURZ · DIESER POSTEN	den Pflanzenteil entnehmen; kurz; diesen Posten	NO	PASS908_EXACT_RECIPE	WORKSHOP_PROSE	P917-I0009	Diesen Posten kurz entnehmen.
P912-E0010	P910-E0010	P912-D0275	f10r	f10r	HERBAL	f10r.2	P	PROSE	2	2	cthoor	abgebildeter Pflanzenartikel f10r	NO	abgebildeter Pflanzenartikel f10r	CTH+O+OR	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	STATUS · GANG · ANSATZ/EINTRAG	den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; mit dem Pflanzenansatz	NO	PASS908_EXACT_RECIPE	WORKSHOP_PROSE	P917-I0010	Den Ansatz bereitstellen und ausführen.
