physical_page	source_page	locus	register	usage_classes	visible_owner_de	events	surfaces	recipes	spoken_units	current_complete_reading_de
f10r	f10r	f10r.1	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	8	pchocthy · shor · octhody · chorchy · pchodol · chopchal · ypch · kom	P+CH+O+CTH+Y | SH+OR | O+CTH+O+D_ADDR+Y | CH+OR+CH+Y | P+CH+O+D_ADDR+OL | CH+O+P+CH+AL | Y+P+CH | K+O+M_LOCAL	8	Diesen Posten einsetzen, entnehmen, ausführen und bereitstellen. Den Ansatz halten. Aus diesem Teil diesen Posten ausführen, bereitstellen und ausführen. Den Ansatz und diesen Posten entnehmen. Weiter aus diesem Teil einsetzen, entnehmen und ausführen. Entnehmen, ausführen, einsetzen und entnehmen zur Ziel- oder Anschlussstelle. Diesen Posten einsetzen und entnehmen. Zugeben und ausführen mit m-Zeichen.
f10r	f10r	f10r.2	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	CH+E+Y | CTH+O+OR | AR | CH+T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	7	Diesen Posten kurz entnehmen. Den Ansatz bereitstellen und ausführen. Von der Entnahmestelle diesen Posten entnehmen und einstellen. Auch entnehmen entlang des Laufs. Danach weiter diesen Posten einstellen und entnehmen. Diesen Posten ansetzen. Nach Sollmaß diesen Posten kurz einstellen.
f10r	f10r	f10r.3	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	11	qotor · o · tchy · daiin · chocthy · qotchy · chol · or · yty · dy · dy	OT+OR | O | T+Y | AIIN | CH+O+CTH+Y | OT+Y | OL | OR | Y+T+Y | Y | Y	5	Danach den Ansatz ausführen. Diesen Posten einstellen. Nach Sollmaß diesen Posten entnehmen, ausführen und bereitstellen. Danach weiter diesen Posten und den Ansatz einstellen. Diesen Posten und den Ansatz wählen.
f10r	f10r	f10r.4	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	10	sor · chaiin · chcthy · ctho · ckhy · or · aiin · chtchor · doiir · ody	S+OR | CH+AIIN | CH+CTH+Y | CTH+O | CKH+Y | OR | AIIN | CH+T+CH+OR | D_ADDR+O+IIN+R | O+DY	7	Diesen Posten und den Ansatz wählen. Nach Sollmaß entnehmen. Diesen Posten entnehmen und bereitstellen. Bereitstellen und ausführen. Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass. Aus diesem Teil auf der angegebenen Stufe ausführen und kennzeichnen. Ausführen; fertig.
f10r	f10r	f10r.5	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	4	qokchy · qotchol · chol · cthy	OK+Y | OT+CH+OL | OL | CTH+Y	3	Diesen Posten ansetzen. Danach weiter entnehmen. Weiter diesen Posten bereitstellen.
f10r	f10r	f10r.6	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Y+CHEO+R | CTH+Y | CH+OR | CTH+AIIN | CARRIER_Q+O+CTH+OL+Y | Y | Y | T+AIIN | Y	7	Diesen Posten und den Auszug kennzeichnen. Diesen Posten bereitstellen. Den Ansatz entnehmen. Nach Sollmaß bereitstellen. Weiter diesen Posten ausführen und bereitstellen unter q-Träger. Nach Sollmaß diesen Posten einstellen. Weiter aus diesem Teil diesen Posten ansetzen.
f10r	f10r	f10r.7	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	10	dchy · qokchol · y · kchaiin · yty · daiin · cth · dain · dair · am	D_ADDR+Y | OK+OL | Y | K+CH+AIIN | Y+T+Y | AIIN | CTH | AIN | D_ADDR+AIR | AM_ADDR	5	Weiter aus diesem Teil diesen Posten ansetzen. Nach Sollmaß diesen Posten zugeben und entnehmen. Diesen Posten einstellen. Nach Sollmaß bereitstellen. Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
f10r	f10r	f10r.8	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	OT+CH+OR | CH+OR | OT+OL | OL | OL+OR | OL | AIIN | D_ADDR+AR	3	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle. Den Ansatz entnehmen. Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
f10r	f10r	f10r.9	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	O+Y+K+CH+OR | SH+OR | CH+OR | Y | K+A_ADDR+LOCAL_CHAR_I+IIN | Y | CH+O+D_ADDR+AIIN	5	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen. Den Ansatz halten. Den Ansatz entnehmen. Von der lokalen Stelle auf der angegebenen Stufe diesen Posten zugeben mit i-Zeichen. Aus diesem Teil nach Sollmaß diesen Posten entnehmen und ausführen.
f10r	f10r	f10r.10	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	6	oqotor · otor · cfhy · cthor · osain · ytoiin	O+OT+OR | OT+OR | CFH+Y | CTH+OR | O+S+AIN | Y+T+O+IIN	5	Danach den Ansatz ausführen. Danach den Ansatz und diesen Posten trennen. Den Ansatz bereitstellen. Als eine Portion ausführen und wählen. Auf der angegebenen Stufe diesen Posten einstellen und ausführen.
f10r	f10r	f10r.11	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	5	otchoshor · qoty · qotor · cthyd · otar	OT+CH+O+SH+OR | OT+Y | OT+OR | CTH+Y+D_ADDR | OT+AR	3	Danach den Ansatz entnehmen, ausführen und halten. Danach aus diesem Teil diesen Posten und den Ansatz bereitstellen. Danach von der Entnahmestelle aus diesem Teil nach Sollmaß ausführen.
f10r	f10r	f10r.12	HERBAL	PROSE	abgebildeter Pflanzenartikel f10r	4	odaiin · daiin · qotchy · qotor	O+D_ADDR+AIIN | AIIN | OT+Y | OT+OR	2	Danach von der Entnahmestelle aus diesem Teil nach Sollmaß ausführen. Danach nach Sollmaß diesen Posten und den Ansatz weiterarbeiten.
f11r	f11r	f11r.1	HERBAL	PROSE	abgebildeter Pflanzenartikel f11r	8	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody · shoyty	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | CPH+Y | SH+E+Y | T+CH+O+DY | SH+O+Y+T+Y	8	Weiter einstellen und halten. Halten und ausführen zur Ziel- oder Anschlussstelle. Diesen Posten trennen. Nach Sollmaß diesen Posten halten. Diesen Posten umleiten. Diesen Posten kurz halten. Einstellen, entnehmen und ausführen; fertig. Diesen Posten halten, ausführen und einstellen.
f11r	f11r	f11r.2	HERBAL	PROSE	abgebildeter Pflanzenartikel f11r	9	socthody · qodor · y · kshy · daiin · ytchy · ytchoky · kchol · daiin	S+O+CTH+O+D_ADDR+Y | CARRIER_Q+O+D_ADDR+OR | Y | K+SH+Y | AIIN | Y+T+Y | Y+T+OK+Y | K+OL | AIIN	7	Aus diesem Teil diesen Posten wählen, ausführen, bereitstellen und ausführen. Aus diesem Teil den Ansatz ausführen unter q-Träger. Diesen Posten zugeben und halten. Nach Sollmaß diesen Posten einstellen. Diesen Posten einstellen und ansetzen. Weiter zugeben. Danach weiter nach Sollmaß diesen Posten bereitstellen.
f11r	f11r	f11r.3	HERBAL	PROSE	abgebildeter Pflanzenartikel f11r	10	qoty · chol · cthy · dor · ykychy · choty · dain · chaiin · daiin · dod	OT+Y | OL | CTH+Y | D_ADDR+OR | Y+K+Y+CH+Y | CH+OT+Y | AIN | CH+AIIN | AIIN | D_ADDR+O+D_ADDR	5	Danach weiter nach Sollmaß diesen Posten bereitstellen. Aus diesem Teil den Ansatz und diesen Posten zugeben und entnehmen. Danach diesen Posten entnehmen. Als eine Portion nach Sollmaß entnehmen. Aus diesem Teil nach Sollmaß ausführen.
