dictionary_entry_id	surfaces	component_recipe	short_component_reading_de	events	physical_pages	registers	channels	default_rule
P912-D0887	pchocthy	P+CH+O+CTH+Y	EINSETZEN + ENTNEHMEN + AUSFUEHREN + BEREITSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1179	shor	SH+OR	HALTEN + ANSATZ	4	f10r,f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0526	octhody	O+CTH+O+D_ADDR+Y	AUSFUEHREN + BEREITSTELLEN + AUSFUEHREN + TEILSTELLE + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0229	chorchy	CH+OR+CH+Y	ENTNEHMEN + ANSATZ + ENTNEHMEN + DIESER POSTEN	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0888	pchodol	P+CH+O+D_ADDR+OL	EINSETZEN + ENTNEHMEN + AUSFUEHREN + TEILSTELLE + FORTSETZEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0224	chopchal	CH+O+P+CH+AL	ENTNEHMEN + AUSFUEHREN + EINSETZEN + ENTNEHMEN + ZIELSTELLE	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1348	ypch	Y+P+CH	DIESER POSTEN + EINSETZEN + ENTNEHMEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0446	kom	K+O+M_LOCAL	ZUGEBEN + AUSFUEHREN + M-ZEICHEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0342	dchey	CH+E+Y	ENTNEHMEN + KURZ + DIESER POSTEN	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0275	cthoor	CTH+O+OR	BEREITSTELLEN + AUSFUEHREN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0067	char	AR	ENTNAHMESTELLE	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0246	chty	CH+T+Y	ENTNEHMEN + EINSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0750	os	OS	DAZU	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0062	chair	CH+AIR	ENTNEHMEN + LAUF	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0875	otytchol	OT+Y+T+CH+OL	DANACH/NAECHSTER + DIESER POSTEN + EINSTELLEN + ENTNEHMEN + FORTSETZEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0668	oky	OK+Y	ANSETZEN + DIESER POSTEN	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0289	daiin	AIIN	SOLLMASS	23	f10r,f11r,f13r,f55v,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0401	etyd	E+T+Y	KURZ + EINSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1026	qotor	OT+OR	DANACH/NAECHSTER + ANSATZ	3	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0507	o	O	AUSFUEHREN	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1250	tchy	T+Y	EINSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0191	chocthy	CH+O+CTH+Y	ENTNEHMEN + AUSFUEHREN + BEREITSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1015	qotchy	OT+Y	DANACH/NAECHSTER + DIESER POSTEN	5	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0215	chol	OL	FORTSETZEN	11	f10r,f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0738	or	OR	ANSATZ	6	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1382	yty	Y+T+Y	DIESER POSTEN + EINSTELLEN + DIESER POSTEN	2	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0390	dy	Y	DIESER POSTEN	10	f10r,f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1213	sor	S+OR	WAEHLEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0061	chaiin	CH+AIIN	ENTNEHMEN + SOLLMASS	4	f10r,f11r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0082	chcthy	CH+CTH+Y	ENTNEHMEN + BEREITSTELLEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0271	ctho	CTH+O	BEREITSTELLEN + AUSFUEHREN	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0258	ckhy	CKH+Y	DURCHLASS + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0003	aiin	AIIN	SOLLMASS	7	f10r,f55v,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0243	chtchor	CH+T+CH+OR	ENTNEHMEN + EINSTELLEN + ENTNEHMEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0365	doiir	D_ADDR+O+IIN+R	TEILSTELLE + AUSFUEHREN + STUFE + KENNZEICHNEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0539	ody	O+DY	AUSFUEHREN + SCHLUSS	3	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0947	qokchy	OK+Y	ANSETZEN + DIESER POSTEN	3	f10r,f13r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1013	qotchol	OT+CH+OL	DANACH/NAECHSTER + ENTNEHMEN + FORTSETZEN	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0277	cthy	CTH+Y	BEREITSTELLEN + DIESER POSTEN	7	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1278	ycheor	Y+CHEO+R	DIESER POSTEN + AUSZUG/EINTRAG + KENNZEICHNEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0226	chor	CH+OR	ENTNEHMEN + ANSATZ	7	f10r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0267	cthaiin	CTH+AIIN	BEREITSTELLEN + SOLLMASS	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
