surface	candidate_recipe	gdt529_rank	exact_card_tiling_route_count	preferred_surface_tiling	preferred_recipe_tiling	same_owner_block_other_carrier_count	decision
dsholdaiir	D_ADDR+SH+OL+D_ADDR+AIIN+R	1	0	NONE	NONE	0	RETAIN_SCORER_RUNNER_UP_NO_EXACT_CARD_TILING
dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	2	0	NONE	NONE	0	REPLACE_PREVIOUS_WORKING_NO_EXACT_CARD_TILING
dsholdaiir	SH+OL+D_ADDR+IIN+R	3	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	SH+OL+D_ADDR+AIIN+R	4	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	D_ADDR+SH+OL+IIN+R	5	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	6	4	d|shol|daiir	D_ADDR | SH+OL | DA+IIN+R	1	SELECT_EXACT_THREE_CARD_SAME_OWNER_ROUTE
dsholdaiir	D_ADDR+SH+OL+AIIN+R	7	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	D_ADDR+SH+OL+DA+AIR	8	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	SH+SH+OL+D_ADDR+AIIN+R	9	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	D_ADDR+OL+D_ADDR+AIIN+R	10	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	D_ADDR+OL+D_ADDR+IIN+R	11	0	NONE	NONE	0	RETAIN_ALTERNATIVE
dsholdaiir	SH+OL+IIN+R	12	0	NONE	NONE	0	RETAIN_ALTERNATIVE
