event_id	physical_page	locus	line_number	statement_id	card_ordinal_in_statement	prose_block_id	owner_id	surface	recipe	literal_reading_de	relation_to_selected_route
G515-E0358	f66r	f66r.57	57	G515-S042	1	F66R_PROSE_02	F66R_TEXT_BLOCK_02	tocpheey	T+O+CH+P+EE+Y	EINSTELLEN · [O:STEUERUNG=AUSFÜHRUNG] · NEHMEN · EINSETZEN · [EE:STEUERUNG=GRAD II] · POSTEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0359	f66r	f66r.57	57	G515-S042	2	F66R_PROSE_02	F66R_TEXT_BLOCK_02	dol	D_ADDR+OL	[D_ADDR:STEUERUNG=HIER] · FORTSETZEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0360	f66r	f66r.57	57	G515-S042	3	F66R_PROSE_02	F66R_TEXT_BLOCK_02	kchody	K+CH+O+D_ADDR+Y	GEBEN · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · POSTEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0361	f66r	f66r.57	57	G515-S042	4	F66R_PROSE_02	F66R_TEXT_BLOCK_02	qokeody	OK+E+O+D_ADDR+Y	SETZEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · POSTEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0362	f66r	f66r.57	57	G515-S042	5	F66R_PROSE_02	F66R_TEXT_BLOCK_02	qokshy	OK+SH+Y	SETZEN · HALTEN · POSTEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0363	f66r	f66r.57	57	G515-S042	6	F66R_PROSE_02	F66R_TEXT_BLOCK_02	qopaiin	CARRIER_Q+O+P+AIIN	[CARRIER_Q:STEUERUNG=BEGINNMARKER] · [O:STEUERUNG=AUSFÜHRUNG] · EINSETZEN · WERT	SAME_OWNER_BLOCK_CONTEXT
G515-E0364	f66r	f66r.57	57	G515-S042	7	F66R_PROSE_02	F66R_TEXT_BLOCK_02	dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	[D_ADDR:STEUERUNG=HIER] · BAHN · POSTEN · GEBEN · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · [A_ADDR:STEUERUNG=HIER] · WÄHLEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0365	f66r	f66r.57	57	G515-S042	8	F66R_PROSE_02	F66R_TEXT_BLOCK_02	okyd	OK+Y+D_ADDR	SETZEN · POSTEN · [D_ADDR:STEUERUNG=HIER]	SAME_OWNER_BLOCK_CONTEXT
G515-E0366	f66r	f66r.58	58	G515-S042	9	F66R_PROSE_02	F66R_TEXT_BLOCK_02	dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	[D_ADDR:STEUERUNG=HIER] · HALTEN · FORTSETZEN · [D_ADDR:STEUERUNG=HIER] · [IIN:STEUERUNG=STUFE] · MARKIEREN	TARGET
G515-E0367	f66r	f66r.58	58	G515-S042	10	F66R_PROSE_02	F66R_TEXT_BLOCK_02	dalky	AL+K+Y	ZIELORT · GEBEN · POSTEN	SAME_OWNER_BLOCK_CONTEXT
G515-E0368	f66r	f66r.58	58	G515-S042	11	F66R_PROSE_02	F66R_TEXT_BLOCK_02	shky	SH+K+Y	HALTEN · GEBEN · POSTEN	SAME_OWNER_BLOCK_CONTEXT
