surface	previous_working_recipe	candidate_recipe	gdt529_rank	surface_tiling	recipe_tiling	tile_count	longest_tile_width	old_running_tile_count	old_local_tile_count	cross_role_old_local_tiles	same_owner_block_other_carrier_count	same_owner_block_other_carrier_ids	target_event_id	target_page	target_locus	target_owner_id	target_prose_block_id
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	1	dair|y|k|odas	D_ADDR+AIR | Y | K | O+DA+S	4	4	4	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	1	dair|y|k|o|das	D_ADDR+AIR | Y | K | O | DA+S	5	4	5	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	1	d|air|y|k|odas	D_ADDR | AIR | Y | K | O+DA+S	5	4	5	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	1	d|air|y|k|o|das	D_ADDR | AIR | Y | K | O | DA+S	6	3	6	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	dair|y|kod|as	D_ADDR+AIR | Y | K+O+D_ADDR | A_ADDR+S	4	4	4	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	dair|y|kod|a|s	D_ADDR+AIR | Y | K+O+D_ADDR | A_ADDR | S	5	4	4	1	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	d|air|y|kod|as	D_ADDR | AIR | Y | K+O+D_ADDR | A_ADDR+S	5	3	5	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	dair|y|k|o|d|as	D_ADDR+AIR | Y | K | O | D_ADDR | A_ADDR+S	6	4	6	0	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	d|air|y|kod|a|s	D_ADDR | AIR | Y | K+O+D_ADDR | A_ADDR | S	6	3	5	1	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	dair|y|k|o|d|a|s	D_ADDR+AIR | Y | K | O | D_ADDR | A_ADDR | S	7	4	6	1	NONE	1	G515-E0412	G515-E0364	f66r	f66r.57	F66R_TEXT_BLOCK_02	F66R_PROSE_02
