record	statement_id	joint_tuple_id	occurrences	event_ids	surfaces	card_value_de	relation
B1	B1-S002	2f1c5e56e8f0ff459065	2	E116|E118	daiin|daiin	Sollmaß	SERIAL_OR_MIRRORED_REUSE
B1	B1-S002	dcda95c81a5460feb191	3	E106|E110|E114	ol|ol|ol	fortsetzen	SERIAL_OR_MIRRORED_REUSE
B1	B1-S008	dcda95c81a5460feb191	2	E133|E135	ol|ol	fortsetzen	SERIAL_OR_MIRRORED_REUSE
B2	B2-S005	b5fcea1eaed06b2f2291	2	E180|E181	qokaiin|qokaiin	auf Sollmaß einstellen	CONTIGUOUS_CARRY
B2	B2-S011	1645e612504fcef59ced	2	E198|E200	okain|okain	eine Portion zugeben	SERIAL_OR_MIRRORED_REUSE
B3	B3-S003	b921a237be883a820352	2	E232|E234	chey|chey	dieser Arbeitsposten	SERIAL_OR_MIRRORED_REUSE
B3	B3-S021	b921a237be883a820352	2	E273|E277	sy|chey	dieser Arbeitsposten	SERIAL_OR_MIRRORED_REUSE
B3	B3-S021	dd0ecaf5e27d81befffc	2	E272|E278	dal|tal	Stelle	SERIAL_OR_MIRRORED_REUSE
B3	B3-S021	e0b630cb1b5df5e7105b	2	E271|E279	shcthy|shcthy	bereit	SERIAL_OR_MIRRORED_REUSE
B5	B5-S003	dcda95c81a5460feb191	2	E366|E370	cheol|sol	fortsetzen	SERIAL_OR_MIRRORED_REUSE
B6	B6-S001	dcda95c81a5460feb191	2	E376|E378	ol|ol	fortsetzen	SERIAL_OR_MIRRORED_REUSE
