source_group_id	edition	locus	page	collapsed_page	physical_folio	side	page_state	section	currier	hand	kind	grammar_scope	ascii_length	line_position_quartile	group_position_class	site_prefix
ZL3b|f39r.1|G005	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	MIDDLE	sh
ZL3b|f39r.1|G009	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	9	0	MIDDLE	ch
ZL3b|f39r.1|G011	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	MIDDLE	sh
ZL3b|f39r.10|G002	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE	sh
ZL3b|f39r.10|G007	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE	sh
ZL3b|f39r.11|G010	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE	ch
ZL3b|f39r.12|G009	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE	ch
ZL3b|f39r.13|G003	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE	sh
ZL3b|f39r.13|G005	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE	ch
ZL3b|f39r.13|G007	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	9	2	MIDDLE	sh
ZL3b|f39r.14|G003	ZL3b	f39r.14	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	3	MIDDLE	ch
ZL3b|f39r.14|G006	ZL3b	f39r.14	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	3	MIDDLE	ch
ZL3b|f39r.15|G003	ZL3b	f39r.15	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	3	MIDDLE	ch
ZL3b|f39r.15|G011	ZL3b	f39r.15	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	9	3	LAST	ch
ZL3b|f39r.16|G002	ZL3b	f39r.16	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	7	3	MIDDLE	ch
ZL3b|f39r.2|G001	ZL3b	f39r.2	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	0	FIRST	ch
ZL3b|f39r.2|G002	ZL3b	f39r.2	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	0	MIDDLE	ch
ZL3b|f39r.3|G002	ZL3b	f39r.3	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	8	0	MIDDLE	ch
ZL3b|f39r.3|G003	ZL3b	f39r.3	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	7	0	MIDDLE	ch
ZL3b|f39r.3|G004	ZL3b	f39r.3	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	7	0	MIDDLE	sh
ZL3b|f39r.3|G009	ZL3b	f39r.3	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	0	MIDDLE	ch
ZL3b|f39r.4|G001	ZL3b	f39r.4	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	0	FIRST	ch
ZL3b|f39r.4|G004	ZL3b	f39r.4	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	0	MIDDLE	ch
ZL3b|f39r.4|G006	ZL3b	f39r.4	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	MIDDLE	ch
ZL3b|f39r.4|G009	ZL3b	f39r.4	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	0	MIDDLE	ch
ZL3b|f39r.4|G011	ZL3b	f39r.4	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	8	0	LAST	ch
ZL3b|f39r.6|G002	ZL3b	f39r.6	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	1	MIDDLE	sh
ZL3b|f39r.6|G004	ZL3b	f39r.6	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	8	1	MIDDLE	ch
ZL3b|f39r.6|G005	ZL3b	f39r.6	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	1	MIDDLE	sh
ZL3b|f39r.6|G008	ZL3b	f39r.6	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	10	1	MIDDLE	ch
ZL3b|f39r.6|G009	ZL3b	f39r.6	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	1	MIDDLE	sh
ZL3b|f39r.7|G002	ZL3b	f39r.7	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	1	MIDDLE	ch
ZL3b|f39r.7|G003	ZL3b	f39r.7	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	1	MIDDLE	ch
ZL3b|f39r.8|G001	ZL3b	f39r.8	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	1	FIRST	ch
ZL3b|f39r.8|G002	ZL3b	f39r.8	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	1	MIDDLE	sh
ZL3b|f39r.8|G005	ZL3b	f39r.8	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	1	MIDDLE	ch
ZL3b|f39r.9|G001	ZL3b	f39r.9	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	1	FIRST	ch
ZL3b|f39r.9|G002	ZL3b	f39r.9	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	1	MIDDLE	sh
ZL3b|f39v.1|G006	ZL3b	f39v.1	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	10	0	MIDDLE	sh
ZL3b|f39v.10|G007	ZL3b	f39v.10	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE	ch
ZL3b|f39v.10|G010	ZL3b	f39v.10	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	6	2	MIDDLE	sh
ZL3b|f39v.10|G011	ZL3b	f39v.10	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	6	2	LAST	ch
ZL3b|f39v.11|G002	ZL3b	f39v.11	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	5	3	MIDDLE	ch
ZL3b|f39v.11|G003	ZL3b	f39v.11	f39v	f39v	f39	v	1	H	B	2	P	CONFIRMED_PROSE	6	3	MIDDLE	sh
