page	quire	general_description	illustrations	text_description	tentative_identifications	other_information	source_tags	source_url	tentative_identifications_are_role_evidence
f1r	q01	This is the first page in the MS and it appears more worn then all other pages. It is a text-only page with four paragraphs of text. It has the folio nr (1) in the upper right corner. There are several cases of writing by later owners on this page. || The top, right and bottom margins of this page are badly stained. These stains are from several causes: Voynich and Brumbaugh both describe how they applied chemicals to this page, and in addition there are imprints from a previous cover of tanned leather. || The page is badly affected by insect holes.	While the page has no illustrations, there are three red so-called 'doodles' which have been drawn in the same way as the illustrations in the MS, namely with outline drawings in ink, and afterwards painted in red. They are further discussed under the heading 'Text'.	"This page has 28 text items (loci), as follows: 24 lines of standard text in paragraphs; 4 right-justified words ('titles') at the last line of each paragraph. || The text appears in four paragraphs which fill the entire page. Paragraphs 2 and 3 have large initials (coloured red) which are not part of the Voynich alphabet. The two symbols are drawn or painted with flaring strokes ending in swallowtail serifs. || Additional writing in the stained right margin shows three columns of letters. The first column has 'a' through 'z' in a lower case italic hand. Next to these are a column of Voynich letters, of which only a few are visible. The third column seems to be 1 off from the first: italic miniscules, r next to s, and so on. || More details appeared when a multi-spectral scan of this page became publicly available (see a link to the relevant information .) || The folio number is not very clearly visible and there is another red mark vaguely looking like 29 below it. Brumbaugh further reports seeing the numbers 1*30 being written above the alphabet, before it was obliterated by the application of chemicals (intended to reveal faded writing), and favours the theory that it is 1630, written by the owner prior to Marci. This is no longer legible, even under UV illumination. || The bottom margin of f1r contains an ex libris : Jacobj à Tepenece, visible under UV light, and of course in the above-mentioned multi-spectral scans. Additionally, there is the text ""No 19"". Voynich only recognised illegible characters here, and Brumbaugh reports that this should be the word ""Prag"" || Currier language: A RZ language: A- (page) / A- (folio) / A- (bifolio) LFD hand: 1 || Browse interlinear transliteration of f1r"	The ex libris can be positively identified to be of Jacobus de Tepenec ( see more here ). It is a clear indication that he once owned the book. The 'No 19' below it is a common feature of all books once owned by Jacobus de Tepenec, or at least the six that have currently been identified. || The alphabets in the right margin have been tentatively but credibly ascribed to Johannes Marci Marci, see here, and visit the blog post of Lisa Fagin Davis . || The two symbols left to the second and third paragraphs may be topic markers, of a type also found in other manuscripts.	The page layout suggests four quotes with attributions, or signed endorsements. It is assumed that this page was also originally meant to be the MS first page. The four paragraphs could perhaps represent a summary of the contents of the MS. || It is not clear whether the alphabet table and ex libris have simply faded or have been erased. If erased, it is also not certain who would have done it, and why.	SOURCE_TEXT_ONLY_PAGE;TEXT_PARAGRAPHS;TEXT_TITLES	https://www.voynich.nu/q01/index.html#f1r	0
f1v	q01	This is a herbal page. For general information about herbal pages see here .	One plant centered on the page. Root: a knobby, warped, pancanke-like tuber with short roots attached like claws or fangs all around the rim. Light colour. Stem: thick, well drawn. Light colour. Branches: one straight up, two oblique with drooping tips. Leaves: broad lance-shape, with two short tails. Stalk: short. Flowers: one, growing at the tip of the center branch. Calyx: conical, continuous with petals. Petals: short rounded, light-colored. Core: hemispherical, dark-coloured. || This appears to be the same plant as shown in fragment 204 on f102r1 . || Herbal drawing characterisation (Gheuens/Rapaport): (none)	This page has 10 text items (loci), as follows: 10 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, both in the bottom half of the page. The lines of both paragraphs are interrupted by the plant drawing. || Under the paint of the second leftmost green leaf is the Latin character 'g'. || Currier language: A RZ language: A- (page) / A- (folio) / A- (bifolio) LFD hand: 1 || Browse interlinear transliteration of f1v	Possible plant identification: ELV: atropa, atropa belladonna; ThP: solanum, solatrium, belladonna;	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The Latin 'g' under the green paint could be a colour annotation (for which see here ).	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f1v	0
f2r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (2) in the upper right corner.	A page-filling plant drawing. Small roots, a stem with leaves and flowers with dotted bulbs below them. || Herbal drawing characterisation (Gheuens/Rapaport): α: flower(s) seen from the side	This page has 15 text items (loci), as follows: 13 lines of standard text in paragraphs; 1 plant label to the right of the drawing; 1 barely legible word under the painting of the bottom right leaf. || The text is subdivided into two paragraphs, one near the top of the page and carefully avoiding the flowers and the other one near the bottom, on either side of the stem.. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f2r	Possible plant identification: ELV: cyanus(?); ThP: cyanus silvestris (O'Neill), Centauria (Holm)	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || If the Voynich text under the green painting should also be a colour annotation, it is the only one using the Voynichese script. The writing, which seems to say:    , is not composed of 'typical' Voynich words.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS	https://www.voynich.nu/q01/index.html#f2r	0
f2v	q01	This is a herbal page. For general information about herbal pages see here .	White(?) water flower. || Herbal drawing characterisation (Gheuens/Rapaport): α: flower(s) seen from the side α: typical α calyx shape α: veined leaves α: all leaves connect to one point, flowers or fruit above	This page has 8 text items (loci), as follows: 8 lines of standard text in paragraphs. || The text is subdivided into two short paragraphs, one near the top of the page and the other just below the middle. Both are interrupted by the plant drawing. || There is a short piece of extraneous (non-Voynich) writing just above the second paragraph. This looks like the letters 'fe' or 'fo' in a darker ink. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f2v	This has often been compared with a water lily, but the flower is not a good representation of a water lily, and looks much more like a normal lily. Among water flowers, it looks more like Nymphoides Peltata (yellow floating heart), which is not endemic to Europe. The root is an accurate representation of a water lily root. || ELV: Colosia? Villarsia, Limnanthemum. ThP: coliocasia, Egyptian lotus.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The extraneous writing is somewhat similar to later annotations on the alchemical herbal Florence MS 106, which are cross-references to other folios in the MS written by a later owner. This is discussed in a talk I gave in 2012, for which see slides 12 and 13 of this presentation .	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f2v	0
f3r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (3) in the upper right corner.	A plant with a long stem and very closely stacked leaves with alternating colours: red - white - green - white. || Herbal drawing characterisation (Gheuens/Rapaport): α: no fruits or flowers α: everything is at the top of the stem	This page has 20 text items (loci), as follows: 20 lines of standard text in paragraphs. || The text is subdivided into four paragraphs. There is a relatively large gap between the first and second paragraph. The plant drawing cuts through the third and fourth paragraphs, leaving a single word on the right-hand side of the stem. || Currier language: A RZ language: Ae+ (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f3r	Possible plant identification: ELV: dictamnus? ThP: crassulatea (Cretan dittany)	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_BETWEEN_GRAPHICS	https://www.voynich.nu/q01/index.html#f3r	0
f3v	q01	This is a herbal page. For general information about herbal pages see here .	Plant with 'telescope' roots, frog-like leaves and pods. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line	This page has 14 text items (loci), as follows: 14 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, both near the top of the page. All text is to the left of the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f3v		>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f3v	0
f4r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (4) in the upper right corner.	Plant with lots of tiny leaves and small flowers. || Herbal drawing characterisation (Gheuens/Rapaport): α: typical α calyx shape α: berries that have no added circles	This page has 13 text items (loci), as follows: 13 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, both near the top of the page. The plant drawing cuts through the top paragraph. The lines of the second paragraph are shorter and stop at the plant drawing. || In the stem of the plant, just aboce the root, there are three Latin characters written above each other, which are most probably the letters 'r', 'o' and 't'. Vertically, this reads like 'rot', which is German for 'red'. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f4r	Possible plant identification ELV: Hypericum, ThP: Hypericum, Centaurium Erythaea (O'Neill).	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The characters in the plant stem, above the root, are the most suggestive of all proposed colour annotations in the MS. || In the rightmost small white flower there also appears to be a tiny capital 'F'.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f4r	0
f4v	q01	This is a herbal page. For general information about herbal pages see here .	Plant with tiny leaves and apparently two types of flowers. Bulging stem above nondescript roots. || This plant shows some similarity with fragment #168 on f101r . || Herbal drawing characterisation (Gheuens/Rapaport): α: flower(s) seen from the side α: feature interrupts the main stem	This page has 14 text items (loci), as follows: 14 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, both near the top of the page. The plant drawing cuts through the top paragraph, leaving only one word to the right of the drawing. The lines of the second paragraph are shorter and stop at the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f4v	Possible plant identifications: ELV: ipomea? scammonia? ThP: convulvula ipomea?	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f4v	0
f5r	q01		Plant drawing using primarily green. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: all leaves connect to one point, flowers or fruit above	This page has 7 text items (loci), as follows: 7 lines of standard text in paragraphs. || The text is subdivided into two short paragraphs, near the top of the page. The text is entirely above the plant drawing. || Currier language: A RZ language: A+ (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f5r	Possible plant identifications: ELV: paris? ThP: paris, Indian cucumber?	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f5r	0
f5v	q01	This is a herbal page. For general information about herbal pages see here .	Plant stem has impossible(?) 'loop'. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: typical α calyx shape α: veined leaves α: unnatural connections	This page has 6 text items (loci), as follows: 6 lines of standard text in paragraphs. || The text is in a single paragraph, and is entirely above the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f5v	ELV: Geranium. ThP: Parietaria (O'Neill)	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f5v	0
