occurrence_order	record_order	segment_id	page	physical_folio	section	currier	hand	record_length	occupant_ordinal	selected_level	context_sha256
1	81	f3r.17|S01	f3r	3	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
2	91	f3v.7|S01	f3v	3	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
3	305	f14r.6|S01	f14r	14	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
4	402	f17v.9|S01	f17v	17	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
5	608	f28r.1|S01	f28r	28	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
6	784	f35r.13|S01	f35r	35	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
7	1135	f49v.28|S01	f49v	49	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
8	1274	f56v.8|S01	f56v	56	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
9	2799	f87r.10|S01	f87r	87	H	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
10	3203	f100r.27|S01	f100r	100	P	A	1	5	3	TENDENCY_EDGE	f3f01eff8d68b91ac36c224c6965a622e817997b56ab4fca507a6041dda0ae96
