locus	page	section	currier	hand	code	kind	grammar_scope	symbol_count	family_sequence	zl_sta_codes	it_sta_codes	rf_sta_codes	alternative_sites	strict_zero_alternative	union_boundary_positions	synchronized_boundary_positions	three_reading_boundary_positions	two_reading_boundary_positions	one_reading_boundary_positions	exact_boundary_position_sets	exact_typed_boundary_maps
f100r.1	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	9	KACACALAB	K1 A1 C2 A3 C1 A1 L1 A1 B2	K1 A1 C2 A3 C1 A1 L1 A1 B2	K1 A1 C2 A3 C1 A1 L1 A1 B2	0	1						1	1
f100r.10	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	BAQAU	B1 A3 Q1 A1 U2	B1 A3 Q1 A1 U2	B1 A3 Q1 A1 U2	0	1						1	1
f100r.11	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	CAPAB	C2 A1 P2 A3 B3	C2 A1 P2 A3 B2	C2 A1 P2 A3 B4	0	1						1	1
f100r.16	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	AQKAC	A1 Q1 K2 A1 C2	A1 Q1 K2 A1 C2	A1 Q1 K2 A1 C2	0	1						1	1
f100r.17	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	LAUJA	L1 A1 U1 J1 A2	L1 A1 U1 J1 A2	L1 A1 U1 J1 A2	0	1						1	1
f100r.18	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	4	ACAB	A1 C1 A1 B2	A1 C1 A1 B2	A1 C1 A1 B2	0	1						1	1
f100r.19	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	6	ABKJAB	A1 B2 K1 J1 A1 B3	A1 B2 K1 J1 A1 B3	A1 B2 K1 J1 A1 B3	0	1						1	1
f100r.2	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	7	CAKACTA	C2 A1 K1 A1 C1 T2 A2	C2 A1 K1 A1 C1 T2 A2	C2 A1 K1 A1 C1 T2 A2	0	1						1	1
f100r.20	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	AQJAB	A1 Q2 J1 A1 B2	A1 Q2 J1 A1 B2	A1 Q2 J1 A1 B2	0	1						1	1
f100r.21	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	5	AQABC	A1 Q1 A1 B2 C2	A1 Q1 A1 B2 C2	A1 Q2 A1 B2 C2	0	1						1	1
