panel_row_id	cell_id	consensus_group_id	locus	page	physical_folio	section	symbol_count	manual_role	target_class
LRG008-C001|R001	LRG008-C001	f67v1.12|C001	f67v1.12	f67v1	f67	A	3	L	LABEL
LRG008-C001|R002	LRG008-C001	f67v1.12|C002	f67v1.12	f67v1	f67	A	3	L	LABEL
LRG008-C001|R003	LRG008-C001	f67v1.3|C002	f67v1.3	f67v1	f67	A	3	L	LABEL
LRG008-C001|R004	LRG008-C001	f67v1.4|C001	f67v1.4	f67v1	f67	A	3	L	LABEL
LRG008-C001|R005	LRG008-C001	f67v1.22|C002	f67v1.22	f67v1	f67	A	3	R	DIAGRAM
LRG008-C001|R006	LRG008-C001	f67v1.22|C003	f67v1.22	f67v1	f67	A	3	R	DIAGRAM
LRG008-C002|R001	LRG008-C002	f67v1.3|C001	f67v1.3	f67v1	f67	A	4	L	LABEL
LRG008-C002|R002	LRG008-C002	f67v1.5|C001	f67v1.5	f67v1	f67	A	4	L	LABEL
LRG008-C002|R003	LRG008-C002	f67v1.5|C002	f67v1.5	f67v1	f67	A	4	L	LABEL
LRG008-C002|R004	LRG008-C002	f67v1.28|C003	f67v1.28	f67v1	f67	A	4	R	DIAGRAM
LRG008-C002|R005	LRG008-C002	f67v1.29|C001	f67v1.29	f67v1	f67	A	4	R	DIAGRAM
LRG008-C003|R001	LRG008-C003	f67v1.1|C001	f67v1.1	f67v1	f67	A	6	L	LABEL
LRG008-C003|R002	LRG008-C003	f67v1.2|C001	f67v1.2	f67v1	f67	A	6	L	LABEL
LRG008-C003|R003	LRG008-C003	f67v1.9|C001	f67v1.9	f67v1	f67	A	6	L	LABEL
LRG008-C003|R004	LRG008-C003	f67v1.22|C004	f67v1.22	f67v1	f67	A	6	R	DIAGRAM
LRG008-C004|R001	LRG008-C004	f67v1.10|C001	f67v1.10	f67v1	f67	A	7	L	LABEL
LRG008-C004|R002	LRG008-C004	f67v1.11|C001	f67v1.11	f67v1	f67	A	7	L	LABEL
LRG008-C004|R003	LRG008-C004	f67v1.4|C002	f67v1.4	f67v1	f67	A	7	L	LABEL
LRG008-C004|R004	LRG008-C004	f67v1.7|C001	f67v1.7	f67v1	f67	A	7	L	LABEL
LRG008-C004|R005	LRG008-C004	f67v1.28|C001	f67v1.28	f67v1	f67	A	7	R	DIAGRAM
LRG008-C005|R001	LRG008-C005	f67v2.19|C001	f67v2.19	f67v2	f67	C	4	L	LABEL
LRG008-C005|R002	LRG008-C005	f67v2.16|C001	f67v2.16	f67v2	f67	C	4	R	DIAGRAM
LRG008-C005|R003	LRG008-C005	f67v2.16|C002	f67v2.16	f67v2	f67	C	4	R	DIAGRAM
LRG008-C006|R001	LRG008-C006	f67v2.19|C002	f67v2.19	f67v2	f67	C	5	L	LABEL
LRG008-C006|R002	LRG008-C006	f67v2.16|C003	f67v2.16	f67v2	f67	C	5	R	DIAGRAM
LRG008-C007|R001	LRG008-C007	f68r3.18|C002	f68r3.18	f68r3	f68	A	3	L	LABEL
LRG008-C007|R002	LRG008-C007	f68r3.4|C002	f68r3.4	f68r3	f68	A	3	R	DIAGRAM
LRG008-C007|R003	LRG008-C007	f68r3.4|C003	f68r3.4	f68r3	f68	A	3	R	DIAGRAM
LRG008-C007|R004	LRG008-C007	f68r3.8|C003	f68r3.8	f68r3	f68	A	3	R	DIAGRAM
LRG008-C007|R005	LRG008-C007	f68r3.9|C004	f68r3.9	f68r3	f68	A	3	R	DIAGRAM
LRG008-C008|R001	LRG008-C008	f68r3.13|C001	f68r3.13	f68r3	f68	A	4	L	LABEL
LRG008-C008|R002	LRG008-C008	f68r3.2|C001	f68r3.2	f68r3	f68	A	4	R	DIAGRAM
LRG008-C008|R003	LRG008-C008	f68r3.8|C002	f68r3.8	f68r3	f68	A	4	R	DIAGRAM
LRG008-C008|R004	LRG008-C008	f68r3.8|C005	f68r3.8	f68r3	f68	A	4	R	DIAGRAM
