sign	page	physical_folio	NYMPHS	CLOTHED_NYMPHS	COLOR_CLOTHES	CROWNED_NYMPHS	MALE_NYMPHS	STARS	STAR_W__TETHER	HOLDING_STAR	HOLDING_TETHER	CANS	COLOR_CANS
Pisces	f70v2	f70	29	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	29	29	UNKNOWN	29	29	8
aries dark	f70v1	f70	15	10	UNKNOWN	UNKNOWN	1	15	12	3	12	15	1
aries light	f71r	f71	15	14	14	UNKNOWN	2	15	UNKNOWN	15	UNKNOWN	15	13
taurus light	f71v	f71	15	12	12	UNKNOWN	UNKNOWN	15	UNKNOWN	15	UNKNOWN	15	UNKNOWN
taurus dark	f72r1	f72	15	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	15	UNKNOWN	15	UNKNOWN	5	UNKNOWN
GEMINI	f72r2	f72	30	4	UNKNOWN	UNKNOWN	4	29	UNKNOWN	29	UNKNOWN	3	UNKNOWN
CANCER	f72r3	f72	30	UNKNOWN	UNKNOWN	1	UNKNOWN	28	19	28	UNKNOWN	UNKNOWN	UNKNOWN
LEO	f72v3	f72	30	UNKNOWN	UNKNOWN	1	1	29	7	27	2	UNKNOWN	UNKNOWN
virgo	f72v2	f72	30	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	30	6	30	UNKNOWN	1	UNKNOWN
libra	f72v1	f72	30	UNKNOWN	UNKNOWN	1	UNKNOWN	30	1	30	UNKNOWN	UNKNOWN	UNKNOWN
scorpio	f73r	f73	30	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	30	2	30	UNKNOWN	UNKNOWN	UNKNOWN
sagitt	f73v	f73	30	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	30	UNKNOWN	28	2	UNKNOWN	UNKNOWN
