locus	page	folio	zl_code	zl_selected_clock	zl_clock_annotation_suffix	stolfi_unit	stolfi_unit_description	stolfi_start_note	stolfi_explicit_no_obvious_start	stolfi_mentions_gap_or_word_space	stolfi_mentions_drawn_marker	stolfi_mentions_fold_or_crease	stolfi_mentions_orientation_or_slant_convenience	stolfi_mentions_star_or_nymph_convenience	zl_selected_clock_minutes_after_midnight	zl_selected_clock_in_top_left_to_top_sector_0830_1200
f67r1.5	f67r1	f67	@Cc	00:00		f67r1.R1	Circular text around diagram.	Transcription is clockwise, starting at the conspicuous gap and transversal strokes {|_|} in the word-rings at 11:45. Circular text around diagram, text ring 1 from the outside. There is a double radial stroke on both sides of the gap, even though on some other images the second stroke appears single. The glyph after the gallows in @'chwar' is hard to make out; @a is the general guess, but could be @'ai' or something else.	0	1	1	0	0	0	720	1
f67r1.6	f67r1	f67	+Cc	00:00		f67r1.R1	Circular text around diagram.	Circular text around diagram, text ring 2 from the outside. Transcribed from decorated square {|+|} at 11:30.	0	0	1	0	0	0	720	1
f67r1.7	f67r1	f67	+Cc	00:00		f67r1.R1	Circular text around diagram.	Circular text around diagram, text ring 3 from the outside. Transcribed from the double double-stroke at 11:30. The second  double stroke at the gap narrows down at the end, and has been confused with a single radial stroke (). The period dot &257; seems to be deliberately penned, not noise. The @i in @'qoikeey' is definitely an @i and not ligd, but the @'ike' sequence is unusual. Maybe it should be @'ikh' or @'eke'. The third @e in @'oteees' is just a very short vert dash. Assuming accident. The word after @'oteo' is definitely @'otesey', with the @s-plume on the MIDDLE one of the three @e strokes. The right stroke of the @d in @'deeety' is vertical and does not close the bottom look, like &229;. Assumed accident.	0	1	1	0	0	0	720	1
f68r1.37	f68r1	f68	@Cc	08:30		f68r1.Y1	Circular text around bottom medallion (face in moon).	Single text ring. Grove's C1. The writing is awkward: the letters tend to remain upright even at the ends, where the text is almost vertical. The beginning of the fourth word is an undecipherable jumble of strokes.  major accident.	0	0	0	0	0	0	510	1
f68r2.6	f68r2	f68	@Cc	09:30		f68r2.R1	Circular text around top medallion (face in moon).	"No obvious starting place. Transcribed clockwise from wider gap and slight baseline misalignment ""{\}"" at 09:30."	1	1	0	0	1	0	570	1
f68r2.31	f68r2	f68	@Cc	09:30		f68r2.R2	Circular text around bottom medallion (face in sun).	No obvious starting place. Transcribed clockwise from apparent change in letter slant at 09:30.	1	0	0	0	1	0	570	1
f68r3.1	f68r3	f68	@Cc	09:30		f68r3.R1	Circular text around diagram.	No obvious starting point. Transcribed clockwise from slightly wider gap at 09:05.	1	1	0	0	0	0	570	1
f68r3.22	f68r3	f68	@Cc	09:30		f68r3.R2	Circular text around around moon face.	Single text ring. No obvious starting point. Transcribed clockwise from 09:30. The @y before @'keol' is severely stunted.	1	0	0	0	0	0	570	1
f68v3.5	f68v3	f68	@Cc	08:30		f68v3.R1	Circular text around diagram.	Single text ring. Transcribed clockwise, starting after the gap with decorated mini-square {|+|} at 08:30.	0	1	1	0	0	0	510	1
f68v3.14	f68v3	f68	@Cc	09:00		f68v3.R2	Circular text around central medallion.	Transcribed starting from radial stroke () at 8 o'clock, going clockwise. The @'in' in @'ykoin' is highly deformed and uncertain.	0	0	1	0	0	0	540	1
f68v2.6	f68v2	f68	@Cc	10:30		f68v2.R1	Circular text around diagram.	Transcribed clockwise, from the gap and radial stroke? () at 10:30. The @'ch' in @'okechoy' looks more like @'ci' or @'c&149;'. Assumed accident. The @d in the last @'dal' looks like &229; or &134;. Assuming accident.	0	1	1	0	0	0	630	1
f68v1.1	f68v1	f68	@Cc	10:30		f68v1.R1	Circular text around diagram.	Circular text around diagram, text ring 1 from outside. Grove's R1. Reading clockwise from the radial stroke () at 10:30:	0	0	1	0	0	0	630	1
f68v1.2	f68v1	f68	@Cc	10:00	cf ThP	f68v1.R1	Circular text around diagram.	Circular text around diagram, text ring 2 from outside. Grove's R2. Reading clockwise from the double radial stroke () at 10:00: &CKo; = a @C ligd to a platf gallows @K ligd to top of @o &CTo; = a @C ligd to a platf gallows @T ligd to top of @o	0	0	1	0	0	0	600	1
f69r.43	f69r	f69	@Cc	10:30		f69r.R1	Circular text around central circle.	"Single text ring. No obvious starting point. Transcribed clockwise from the slightly wider word gap ""{:}"" at 10:30"	1	1	0	0	0	0	630	1
f69v.1	f69v	f69	@Cc	11:00		f69v.R1	Circular text in outer frame	"Circular text in outer frame, text ring 1 from the outside. Grove's R1. Transcribed outside in, clockwise from conspicuous three-line gap ""{::}""at 10:45. &204; = an @i extended below like an @y. &398; = a @C ligd to an @i that is extended below like an @y."	0	1	0	0	0	0	660	1
f69v.2	f69v	f69	@Cc	11:00		f69v.R1	Circular text in outer frame	"Circular text in outer frame, text ring 2 from the outside. Grove's R2. Transcribed outside in, clockwise from conspicuous three-line gap ""{::}""at 10:45. Gabriel says that the final @? in @'ykeeal.cheo?' is an ""epsilon""."	0	1	0	0	0	0	660	1
f69v.3	f69v	f69	@Cc	11:00		f69v.R1	Circular text in outer frame	"Circular text in outer frame, text ring 3 from the outside. Grove's R3. Transcribed outside in, clockwise from conspicuous three-line gap ""{::}""at 10:45."	0	1	0	0	0	0	660	1
f70r1.1	f70r1	f70	@Cc	11:00		f70r1.R1	Circular text around diagram.	"Circular text around diagram, text ring 1 from the outside. Grove's Z. This ring is incomplete, it consists mostly of dots, with a couple of words near the top. Gabriel wonders whether the @os are indeed letters. &.; = denotes one dot, mostly at midline height. &...; = many dots, mostly at midline height. There are at least 34 dots preceding the ""ooo..."" and about 32 after the ""sara"""	0	0	0	0	0	0	660	1
f70r1.2	f70r1	f70	@Cc	10:30		f70r1.R1	Circular text around diagram.	"Circular text around diagram, text ring 2 from the outside. Grove's R1. No obvious starting place. Transcribed clockwise from the aligned word gap ""<!::>"" at 01:30, which is aligned with a radial label and with a similar gap in ring 3."	1	1	0	0	0	0	630	1
f70r1.3	f70r1	f70	+Cc	09:30		f70r1.R1	Circular text around diagram.	"Circular text around diagram, text ring 3 from the outside. Grove's R2. No obvious starting place. Transcribed clockwise from the aligned word gap ""{::}"" at 01:30, which is aligned with a radial label and with a similar gap in ring 2."	1	1	0	0	0	0	570	1
f70r1.13	f70r1	f70	@Cc	11:00		f70r1.R2	Circular text around central disk.	"No obvious starting place. Transcribed clockwise starting from the slightly wider word space ""{:}"" at 11:00."	1	1	0	0	0	0	660	1
f70r2.15	f70r2	f70	@Cc	10:00		f70r2.R1	Circular text around diagram.	"Circular text around diagram, text ring 1 from outside. Grove's R4. Transcribed clockwise from the double radial stroke """" at 10:30. &229; = a @C with the start of an @m tail that drops vert and stops at baseline, leaving bot open. (Grove's ""M"".)"	0	0	1	0	0	0	600	1
f70r2.16	f70r2	f70	+Cc	10:00		f70r2.R1	Circular text around diagram.	"Circular text around diagram, text ring 2 from outside. Grove's R3. Transcribed clockwise from from the double radial stroke """" at 10:30."	0	0	1	0	0	0	600	1
f70r2.17	f70r2	f70	+Cc	09:15		f70r2.R1	Circular text around diagram.	"Circular text around diagram, text ring 3 from outside. Grove's R2. Transcribed clockwise from the single radial stroke ""!"" at 09:15."	0	0	1	0	0	0	555	1
f70r2.18	f70r2	f70	+Cc	09:15		f70r2.R1	Circular text around diagram.	"Circular text around diagram, text ring 4 from outside. Grove's R1. &A~;  = @a with an @s-plume &Cr;  = @C ligd to an @r. Transcribed clockwise from single radial stroke ""!"" at 09:15. &229; = a @C with the start of an @m tail that drops vert and stops at baseline, leaving bot open."	0	0	1	0	0	0	555	1
f70r2.19	f70r2	f70	@Cc	12:00		f70r2.R2	Circular text around central disk (face in sun).	No obvious starting point. Transcribed clockwise from 09:00.	1	0	0	0	0	0	720	1
f70v2.1	f70v2	f70	@Cc	10:30		f70v2.R3	Circular text, band 1 (outermost)	Single text ring. No obvious starting place; transcription starting at 10:00, above nymph in banded barrel. Gabriel says that the @k in @'sheodaly.ckho' is on top of the @c.	1	0	0	0	0	1	630	1
f70v2.21	f70v2	f70	@Cc	09:00		f70v2.R2	Circular text, band 2 (middle).	Single text ring. No obvious starting place. Transcribed clockwise from fold at 11:15.	1	0	0	1	0	0	540	1
f70v2.32	f70v2	f70	@Cc	09:00		f70v2.R1	Circular text, band 3 (innermost).	No obvious starting place. Transcribed clockwise from fold at 09:00.	1	0	0	1	0	0	540	1
f70v1.1	f70v1	f70	@Cc	11:00		f70v1.R2	Circular text, band 1 (outermost).	Single text ring. No obvious starting place. Transcribed clockwise from partially intruding star at 10:30. <!S??> = star, 7 points	1	0	0	0	0	1	660	1
f70v1.12	f70v1	f70	@Cc	11:00		f70v1.R1	Circular text band 2 (middle).	On this diagram, exceptionally, there is no text in the innermost band (around the zodiac sign). So this is actually the *innermost* band with text on it. No obvious starting place. Transcribed clockwise from the intruding star at 10:45. <!S??> = star, 7 points, fat tail &OPo; = an @O ligd to platf gallows @P ligd to an @o.	1	0	0	0	0	1	660	1
f71r.1	f71r	f71	@Cc	10:00		f71r.R1	Circular text, band 1 (outermost).	"Single text ring. Transcribed clockwise from decorated square marker ""{|+|}"" at 10:30."	0	0	1	0	0	0	600	1
f71r.12	f71r	f71	@Cc	10:00		f71r.R2	Circular text, band 2 (middle).	"Single text ring. Transcribed clockwise from the decorated square marker ""{|+|}"" at 10:00 Gabriel says that there may be a correction on or after @'chekyl' at 03:00."	0	0	1	0	0	0	600	1
f71r.18	f71r	f71	@Cc	10:00		f71r.R3	Circular text, band 3 (inner).	Single text ring. No obvious starting place. Transcribed clockwise from the slightly wider gap at 10:00. &395; = an @e with a plume from top that dips and rises; like @u but with round corner.	1	1	0	0	0	0	600	1
f71v.1	f71v	f71	@Cc	10:30		f71v.R1	Circular text, band 1 (outermost).	"Single text ring. Transcribed clockwise from the first extra-wide word gap ""{:}"" at 09:30 and 10:00. &Cp; = a @C ligd to a NON-patf gallows @p, NOT ligd to next glyph."	0	1	0	0	0	0	630	1
f71v.12	f71v	f71	@Cc	11:00		f71v.R2	Circular text, band 2 (middle).	"Single text ring. No obvious starting place. Transcribed clockwise from the first of two wider word gaps ""{:}"" at 10:00 and 10:45."	1	1	0	0	0	0	660	1
f71v.18	f71v	f71	@Cc	11:30		f71v.R3	Circular text band 3 (innermost).	"Single text ring. No obvious starting place. Transcribed clockwise from the widest of several extra-wide word gaps ""{:}"", at 06:30."	1	1	0	0	0	0	690	1
f72r1.1	f72r1	f72	@Cc	11:00		f72r1.R1	Circular text, band 1 (outermost).	"Single text ring. No obvious starting place, but words seem to get smaller abruptly at 09:45, where a star almost intrudes into a word space (marked ""<!sm>""); and then and then get bigger again 10:45 (after the word space marked ""<!bg>""). Transcribed clockwise from the first of these points."	1	1	0	0	1	1	660	1
f72r1.12	f72r1	f72	@Cc	09:00		f72r1.R2	Circular text, band 2 (middle).	"Single text ring. No obvious starting place. Transcribed clockwise from the extra-wide gap ""{:}"" at 08:30"	1	1	0	0	0	0	540	1
f72r1.18	f72r1	f72	@Cc	11:30		f72r1.R3	Circular text band 3 (innermost).	"Single text ring. Transcribed clockwise from the first of two extra-wide word gaps ""{:}"" at 11:00 and 01:30."	0	1	0	0	0	0	690	1
f72r2.6	f72r2	f72	@Cc	10:00		f72r2.R1	Circular text, band 1 (outermost).	Single text ring. Transcribed clockwise from slightly wider gap word space at 09:15, above starless nymph.	0	1	0	0	0	0	600	1
f72r2.22	f72r2	f72	@Cc	10:00		f72r2.R2	Circular text, band 2 (middle).	"Single text ring. &Cs; = a @C ligd to the top of an @s.  Maybe mfd @'sh'. Transcribed clockwise from the radial stroke ""!"" at 10:00. There is also a wider word-gap ""{:}"" at 09:00, and the characters between it the radial stroke (two words) are smaller than the rest. The @o in @'sheocthy' is indeed @o not @y; the supposed tail of the latter is in fact a star point."	0	1	1	0	0	0	600	1
f72r2.32	f72r2	f72	@Cc	09:30		f72r2.R3	Circular text band 3 (innermost).	"No obvious starting place Single text ring. No obvious starting place. Transcribed clockwise from the abrupt changes in letter orientation at 00:30. The @y just after that point is rotated 90 degrees counterclockwise (""<!+90>""), while the @'ch' just before it is rotated 90 degrees clockwise (""<!-90>"")."	1	0	0	0	1	0	570	1
f72r3.1	f72r3	f72	@Cc	10:00	after wide gap	f72r3.R1	Circular text, band 1 (outermost).	Single text ring. Transcribed clockwise from gap at 09:00 (where the ring runs into panel f72r2). &c149; = a @c ligd to a backwards @i (&149;) &Oh; = an @o ligd to an @h	0	1	0	0	0	0	600	1
f72r3.14	f72r3	f72	@Cc	09:00		f72r3.R2	Circular text, band 2 from the outside.	"Single text ring. Transcribed clockwise from decorated square marker ""{|+|}"" at 09:00 &Cs; = a @C ligd to an @s. Like @'Sh' but with the plume on the final @e stroke, not on the lig."	0	0	1	0	0	0	540	1
f72r3.26	f72r3	f72	@Cc	09:00		f72r3.R3	Circular text, band 3 from the outside.	"Single text ring. Transcribed clockwise from the wider gap with double radial stroke """" at 08:45."	0	1	1	0	0	0	540	1
f72r3.34	f72r3	f72	@Cc	09:00		f72r3.R4	Circular text, band 4 (innermost).	"Single text ring. Transcribed clockwise from wider gap ""{:}"" at 09:00."	0	1	0	0	0	0	540	1
f72v3.1	f72v3	f72	@Cc	09:00		f72v3.R1	Circular text, band 1 (outermost).	Single text ring. Transcribed clockwise from wider gap at 08:45. The text is badly damaged where it crosses the fold. The Marshall scans may be better there since the fold was forced open.	0	1	0	1	0	0	540	1
f72v3.20	f72v3	f72	@Cc	09:00		f72v3.R2	Circular text, band 2 (middle).	Transcribed clockwise from wider gap(?) at 08:45. ??? Find some image that shows this gap.	0	1	0	0	0	0	540	1
f72v3.33	f72v3	f72	@Cc	08:45		f72v3.R3	Circular text, band 3 (innermost)	Single text ring. Transcribed clockwise from wider gap(?) at 08:45. &Ci; = @C ligd to @i.	0	1	0	0	0	0	525	1
f72v2.1	f72v2	f72	@Cc	09:30		f72v2.R1	Circular text, band 1 (outermost).	"Single text ring. No obvious starting place. Transcribed clockwise from the wide gap ""{::}"" at 09:00, where the diagram runs into the <f72v3>/<f72v2> fold (and perhaps also into the <f72v3> diagram)."	1	1	0	1	0	0	570	1
f72v2.20	f72v2	f72	@Cc	10:00		f72v2.R2	Circular text, band 2 (middle).	"Single text ring. Transcribed clockwise from extra-wide gap ""{::}"" at 09:30."	0	1	0	0	0	0	600	1
f72v2.33	f72v2	f72	@Cc	09:00		f72v2.R3	Circular text band 3 (innermost).	Single text ring. No obvious starting place. Transcribed clockwise from the vellum crease at 09:30. The character after the @t is definitely @'(o~h)' not @'sh'. There is a dot under the @e of @'ot&(o~h)edy'. The character after @'okealy' is definitely @s not @r. &O~h; = an @o with an @s-plume ligd at top to @h.	1	0	0	1	0	0	540	1
f72v1.1	f72v1	f72	@Cc	09:30		f72v1.R1	Circular text, band 1 (outer).	Single text ring. No obvious starting place. Transcribed clockwise from 09:30. Stolfi says that @'aly' in @'okchedaly' is not @'yly' per BLI04 <|> the tail belongs to the @l.	1	0	0	0	0	0	570	1
f72v1.22	f72v1	f72	@Cc	08:30		f72v1.R2	Circular text, band 2 (middle).	"Single text ring. Transcribed clockwise from radial stroke ""!"" at 08:30. The @r in @'okar' just before the hole is rotated +45�. Assumed cramping."	0	0	1	0	0	0	510	1
f72v1.33	f72v1	f72	@Cc	09:30		f72v1.R3	Circular text, band 3 (innermost)	"Single text ring. Transcribed clockwise from wide gap at 09:00, where a very faint radial stroke ""!"" can be seen in the 2004 Beinecke SID."	0	1	1	0	0	0	570	1
f73r.5	f73r	f73	@Cc	11:00		f73r.R1	Circular text, band 1 (outer).	Single text ring. No obvious starting place. Transcribed clockwise from 10:45, where there is a slight misalignment in baseline and bounding circles.. The @as are all open at the bottom.	1	0	0	0	0	0	660	1
f73r.22	f73r	f73	@Cc	10:30		f73r.R2	Circular text, band 2 (middle).	"Single text ring. starting place. Transcribed clockwise from wider gap marked ""{:}"" at 10:30, where a star intrudes slightly. The crowding of nymphs just inside this band suggests that this star may be the first of its band."	0	1	0	0	0	1	630	1
f73r.33	f73r	f73	@Cc	10:00		f73r.R3	Circular text, band 3 (innermost)	"Single text ring. There is no really obvious starting place. Transcribed clockwise from the wide gap ""{::}"" at 09:00."	1	1	0	0	0	0	600	1
f73v.5	f73v	f73	@Cc	09:30		f73v.R1	Circular text, band 1 (outermost).	"Transcribed clockwise from faint radial stroke ""{|}"" at 10:00, barely visible in the 2025 Beinecke site. There is a wormhole just over the tip of the @p in @'dpy'. Could be @'dwy'."	0	0	1	0	0	0	570	1
f73v.22	f73v	f73	@Cc	10:00		f73v.R2	Circular text, band 2 (middle).	"Single text ring. Transcribed clockwise from extra-wide gap with faint radial stroke ""!"" at 10:00."	0	1	1	0	0	0	600	1
f73v.33	f73v	f73	@Cc	09:30		f73v.R3	Circular text, band 3 (innermost)	"Single text ring. Transcribed clockwise from wider gap and radial stroke ""!"" at 09:00."	0	1	1	0	0	0	570	1
