pair_order	target_record_order	target_segment_id	target_page	target_section	target_currier	target_hand	target_group_count	target_family_expression	target_sta_expression	target_basic_eva_lossy	target_formal_expression	candidate_rank	candidate_pool_size	candidate_record_order	candidate_segment_id	candidate_page	candidate_section	candidate_currier	candidate_hand	same_section	candidate_family_expression	candidate_sta_expression	candidate_basic_eva_lossy	candidate_formal_expression	structure_distance	adjacency_distance	first_last_mismatches	edge_core_mismatches	opening_count_distance	closing_count_distance	family_distance	sta_member_distance	favored_path_distance	exact_structure_match
1	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	1	21	265	f10v.1|S01	f10v	H	A	1	0	PAG BAG LJA PKKA DAQA BAG UAC AQABA CAF	P1 A3 G1 | B1 A3 G1 | L1 J1 A1 | P1 K1 K2 A2 | D1 A1 Q2 A2 | B1 A3 G1 | U2 A1 C1 | A1 Q2 A2 B1 A2 | C2 A3 F1	paiin daiin sheo pcheey qoty daiin cthor otydy sain	F:PAG{adj=UU;fl=I;ec=I;o=2;c=0;p=-} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:LJA{adj=FU;fl=I;ec=C;o=1;c=1;p=LJ} | C:PKKA{adj=FUU;fl=I;ec=I;o=3;c=0;p=PK} | C:DAQA{adj=FFU;fl=L;ec=U;o=0;c=1;p=DAQ} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:UAC{adj=UU;fl=I;ec=U;o=2;c=2;p=-} | C:AQABA{adj=FUUU;fl=I;ec=U;o=0;c=0;p=AQ} | L:CAF{adj=UU;fl=F;ec=E;o=4;c=0;p=-}	37	11	4	5	8	9	28	33	12	0
2	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	2	21	471	f21r.2|S01	f21r	H	A	1	0	CAG KTA AQA LJAG DAQKAB AQJAC LKA UA BAG	C2 A3 G1 | K1 T1 A2 | A1 Q1 A2 | L1 J1 A3 G1 | D1 A1 Q2 K1 A1 B2 | A1 Q2 J1 A1 C2 | L1 K2 A2 | U2 A2 | B1 A3 G1	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin	F:CAG{adj=UU;fl=F;ec=U;o=2;c=0;p=-} | C:KTA{adj=UU;fl=I;ec=I;o=0;c=1;p=-} | C:AQA{adj=FU;fl=L;ec=U;o=0;c=1;p=AQ} | C:LJAG{adj=FUU;fl=I;ec=I;o=0;c=1;p=LJ} | C:DAQKAB{adj=FFFUU;fl=I;ec=U;o=0;c=2;p=DAQK} | C:AQJAC{adj=FUUU;fl=I;ec=U;o=2;c=0;p=AQ} | C:LKA{adj=UU;fl=I;ec=C;o=1;c=0;p=-} | C:UA{adj=U;fl=L;ec=U;o=0;c=4;p=-} | L:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-}	41	11	5	7	9	9	27	32	12	0
3	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	3	21	564	f25v.2|S01	f25v	H	A	1	0	BKAC UAC KAC BAG C AQKAG BAG UJA BAG	B1 K1 A1 C1 | U2 A1 C1 | K1 A1 C1 | B1 A3 G1 | C2 | A1 Q1 K2 A3 G1 | B1 A3 G1 | U1 J1 A2 | B1 A3 G1	dchor cthor chor daiin s okeeaiin daiin ckhey daiin	F:BKAC{adj=UUU;fl=I;ec=E;o=3;c=0;p=-} | C:UAC{adj=UU;fl=I;ec=U;o=2;c=2;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:C{adj=-;fl=U;ec=U;o=2;c=2;p=-} | C:AQKAG{adj=FFUU;fl=I;ec=I;o=0;c=0;p=AQK} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-} | L:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-}	42	13	3	3	14	9	26	30	11	0
4	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	4	21	1009	f44v.2|S01	f44v	H	A	1	0	AABQAB KJAB DAQKAF BABA AQKAB BAG LAB DAQAC AC	A2 A1 B2 Q1 A1 B2 | K1 J1 A1 B2 | D1 A1 Q1 K1 A3 F1 | B1 A3 B2 A2 | A1 Q2 K1 A1 B2 | B1 A3 G1 | L1 A1 B2 | D1 A1 Q2 A1 C1 | A3 C1	yolkol cheol qokchain daly otchol daiin shol qotor ar	F:AABQAB{adj=DUUUU;fl=I;ec=I;o=1;c=2;p=-} | C:KJAB{adj=FUU;fl=I;ec=U;o=0;c=4;p=KJ} | C:DAQKAF{adj=FFFUU;fl=I;ec=I;o=2;c=0;p=DAQK} | C:BABA{adj=UUU;fl=I;ec=E;o=0;c=1;p=-} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:LAB{adj=UU;fl=I;ec=U;o=1;c=2;p=-} | C:DAQAC{adj=FFUU;fl=U;ec=U;o=2;c=0;p=DAQ} | L:AC{adj=U;fl=U;ec=U;o=2;c=2;p=-}	42	14	4	3	8	13	27	34	14	0
5	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	5	21	478	f21r.11|S01	f21r	H	A	1	0	LAB KAB LAB QKAB KUA AQAQA LJA AQJAB LABA	L1 A1 B2 | K1 A1 B2 | L1 A1 B2 | Q2 K1 A1 B2 | K1 U2 A2 | A1 Q2 A2 Q1 A2 | L1 J1 A2 | A2 Q2 J1 A1 B2 | L1 A1 B1 A2	shol chol shol tchol chcthy otyky shey yteol shody	F:LAB{adj=UU;fl=I;ec=U;o=1;c=2;p=-} | C:KAB{adj=UU;fl=U;ec=C;o=0;c=4;p=-} | C:LAB{adj=UU;fl=I;ec=U;o=1;c=2;p=-} | C:QKAB{adj=FUU;fl=I;ec=U;o=2;c=2;p=QK} | C:KUA{adj=UU;fl=I;ec=C;o=0;c=3;p=-} | C:AQAQA{adj=FUFU;fl=I;ec=I;o=0;c=1;p=AQ} | C:LJA{adj=FU;fl=I;ec=C;o=1;c=1;p=LJ} | C:AQJAB{adj=FUUU;fl=I;ec=U;o=0;c=2;p=AQ} | L:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-}	43	14	3	6	12	8	24	25	12	0
6	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	6	21	1025	f45r.10|S01	f45r	H	A	1	0	AQAG LAC AQA AQA QAF BABBA BABAC KJAB BAB	A1 Q1 A3 G1 | L1 A3 C1 | A2 Q1 A2 | A1 Q1 A2 | Q1 A3 F3 | B1 A3 B2 B1 A2 | B1 A3 B2 A1 C1 | K1 J1 A1 B2 | B1 A3 B2	okaiin shar yky oky kair daldy dalor cheol dal	F:AQAG{adj=FUU;fl=U;ec=U;o=0;c=0;p=AQ} | C:LAC{adj=UU;fl=I;ec=U;o=3;c=0;p=-} | C:AQA{adj=FU;fl=L;ec=U;o=0;c=1;p=AQ} | C:AQA{adj=FU;fl=L;ec=U;o=0;c=1;p=AQ} | C:QAF{adj=UU;fl=I;ec=U;o=4;c=0;p=-} | C:BABBA{adj=UUDU;fl=I;ec=I;o=0;c=1;p=-} | C:BABAC{adj=UUUU;fl=I;ec=I;o=2;c=1;p=-} | C:KJAB{adj=FUU;fl=I;ec=U;o=0;c=4;p=KJ} | L:BAB{adj=UU;fl=L;ec=U;o=0;c=3;p=-}	46	12	5	4	15	10	22	30	6	0
7	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	7	21	1053	f47r.10|S01	f47r	H	A	1	0	LA AQKA QKA QAC KJA AQKA QKAB BAF BAB	L1 A2 | A1 Q2 K1 A1 | Q1 K2 A2 | Q2 A1 C1 | K1 J1 A2 | A1 Q2 K1 A2 | Q2 K1 A1 B2 | B1 A3 F1 | B1 A3 B3	shy otcho keey tor chey otchy tchol dain dam	F:LA{adj=U;fl=F;ec=U;o=2;c=1;p=-} | C:AQKA{adj=FFU;fl=F;ec=U;o=1;c=0;p=AQK} | C:QKA{adj=FU;fl=I;ec=U;o=3;c=0;p=QK} | C:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:AQKA{adj=FFU;fl=F;ec=U;o=1;c=0;p=AQK} | C:QKAB{adj=FUU;fl=I;ec=U;o=2;c=2;p=QK} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:BAB{adj=UU;fl=L;ec=U;o=0;c=3;p=-}	47	13	7	5	12	10	20	25	16	0
8	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	8	21	482	f21v.3|S01	f21v	H	A	1	0	DAQAB QNC KAQKA QKA KAQA KAC DAQAB BAG BAB	D1 A1 Q2 A1 B2 | Q1 N1 C2 | K1 A1 Q2 K1 A2 | Q2 K1 A1 | K1 A1 Q2 A2 | K1 A1 C1 | D1 A1 Q2 A1 B2 | B1 A3 G1 | B1 A3 B2	qotol keeees chotchy tcho choty chor qotol daiin dal	F:DAQAB{adj=FFUU;fl=U;ec=U;o=0;c=2;p=DAQ} | C:QNC{adj=UU;fl=I;ec=I;o=2;c=0;p=-} | C:KAQKA{adj=UFFU;fl=I;ec=U;o=1;c=2;p=AQK} | C:QKA{adj=FU;fl=I;ec=U;o=3;c=0;p=QK} | C:KAQA{adj=UFU;fl=I;ec=U;o=0;c=3;p=AQ} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:DAQAB{adj=FFUU;fl=U;ec=U;o=0;c=2;p=DAQ} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | L:BAB{adj=UU;fl=L;ec=U;o=0;c=3;p=-}	47	11	3	5	16	12	24	30	9	0
9	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	9	21	524	f23v.1|S01	f23v	H	A	1	0	PABAFAB ABAGBA LAABBA APKAB AQAB AB KTA DAQKAC C	P1 A1 B1 A3 F3 A1 B2 | A1 B1 A3 G2 B2 A2 | L1 A1 A3 B2 B1 A2 | A1 P1 K1 A1 B2 | A1 Q2 A1 B2 | A1 B2 | K1 T1 A2 | D1 A1 Q2 K1 A3 C1 | C2	podairol odaiiily shoaldy opchol otol ol chcphy qotchar s	F:PABAFAB{adj=UUUUUU;fl=I;ec=I;o=2;c=2;p=-} | C:ABAGBA{adj=UUUUU;fl=I;ec=I;o=0;c=1;p=-} | C:LAABBA{adj=UDUDU;fl=I;ec=I;o=1;c=0;p=-} | C:APKAB{adj=UFUU;fl=I;ec=I;o=0;c=3;p=PK} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:AB{adj=U;fl=L;ec=U;o=0;c=4;p=-} | C:KTA{adj=UU;fl=I;ec=I;o=0;c=1;p=-} | C:DAQKAC{adj=FFFUU;fl=I;ec=U;o=2;c=0;p=DAQK} | L:C{adj=-;fl=U;ec=U;o=2;c=2;p=-}	47	19	4	5	7	12	27	32	13	0
10	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	10	21	2861	f88v.16|S01	f88v	P	A	1	0	ALJAB LJA LJABA DAQJABA DAQA KKC KJABA DAQJABA BAB	A2 L1 J1 A1 B1 | L1 J1 A1 | L1 J1 A1 B1 A2 | D1 A1 Q1 J1 A1 B1 A2 | D1 A1 Q1 A2 | K1 K2 C2 | K1 J1 A1 B1 A2 | D1 A1 Q1 J1 A1 B1 A2 | B1 A3 B2	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	F:ALJAB{adj=DFUU;fl=I;ec=I;o=1;c=2;p=LJ} | C:LJA{adj=FU;fl=I;ec=C;o=1;c=1;p=LJ} | C:LJABA{adj=FUUU;fl=I;ec=U;o=0;c=1;p=LJ} | C:DAQJABA{adj=FFUUUU;fl=I;ec=C;o=0;c=0;p=DAQ} | C:DAQA{adj=FFU;fl=L;ec=U;o=0;c=1;p=DAQ} | C:KKC{adj=UD;fl=I;ec=C;o=2;c=2;p=-} | C:KJABA{adj=FUUU;fl=I;ec=U;o=0;c=2;p=KJ} | C:DAQJABA{adj=FFUUUU;fl=I;ec=C;o=0;c=0;p=DAQ} | L:BAB{adj=UU;fl=L;ec=U;o=0;c=3;p=-}	49	17	3	4	10	15	27	34	15	0
