page	physical_folio	public_page_class	public_declared_text_items	public_declared_circular_items	public_text_mentions_circular	reading	ivtff_role	locus_count	source_group_count	zero_alternative_group_count	alternative_group_count
f67r1	f67	ASTRONOMICAL	19	3	1	ZL3b	P	4	41	38	3
f67r1	f67	ASTRONOMICAL	19	3	1	ZL3b	L	0	0	0	0
f67r1	f67	ASTRONOMICAL	19	3	1	ZL3b	C	3	109	107	2
f67r1	f67	ASTRONOMICAL	19	3	1	ZL3b	R	12	17	17	0
f67r1	f67	ASTRONOMICAL	19	3	1	IT2a	P	4	36	36	0
f67r1	f67	ASTRONOMICAL	19	3	1	IT2a	L	0	0	0	0
f67r1	f67	ASTRONOMICAL	19	3	1	IT2a	C	3	102	102	0
f67r1	f67	ASTRONOMICAL	19	3	1	IT2a	R	12	17	17	0
f67r1	f67	ASTRONOMICAL	19	3	1	RF1b	P	4	38	38	0
f67r1	f67	ASTRONOMICAL	19	3	1	RF1b	L	0	0	0	0
f67r1	f67	ASTRONOMICAL	19	3	1	RF1b	C	3	109	109	0
f67r1	f67	ASTRONOMICAL	19	3	1	RF1b	R	12	16	16	0
f67r2	f67	ASTRONOMICAL	74		1	ZL3b	P	35	126	122	4
f67r2	f67	ASTRONOMICAL	74		1	ZL3b	L	39	64	61	3
f67r2	f67	ASTRONOMICAL	74		1	ZL3b	C	0	0	0	0
f67r2	f67	ASTRONOMICAL	74		1	ZL3b	R	0	0	0	0
f67r2	f67	ASTRONOMICAL	74		1	IT2a	P	35	120	120	0
f67r2	f67	ASTRONOMICAL	74		1	IT2a	L	39	56	56	0
f67r2	f67	ASTRONOMICAL	74		1	IT2a	C	0	0	0	0
f67r2	f67	ASTRONOMICAL	74		1	IT2a	R	0	0	0	0
f67r2	f67	ASTRONOMICAL	74		1	RF1b	P	35	124	124	0
f67r2	f67	ASTRONOMICAL	74		1	RF1b	L	39	60	60	0
f67r2	f67	ASTRONOMICAL	74		1	RF1b	C	0	0	0	0
f67r2	f67	ASTRONOMICAL	74		1	RF1b	R	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	ZL3b	P	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	ZL3b	L	12	16	16	0
f67v1	f67	ASTRONOMICAL	29		0	ZL3b	C	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	ZL3b	R	17	57	55	2
f67v1	f67	ASTRONOMICAL	29		0	IT2a	P	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	IT2a	L	12	15	15	0
f67v1	f67	ASTRONOMICAL	29		0	IT2a	C	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	IT2a	R	17	56	56	0
f67v1	f67	ASTRONOMICAL	29		0	RF1b	P	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	RF1b	L	12	15	15	0
f67v1	f67	ASTRONOMICAL	29		0	RF1b	C	0	0	0	0
f67v1	f67	ASTRONOMICAL	29		0	RF1b	R	17	57	57	0
f67v2	f67	COSMOLOGICAL	22		0	ZL3b	P	8	34	31	3
f67v2	f67	COSMOLOGICAL	22		0	ZL3b	L	6	9	8	1
f67v2	f67	COSMOLOGICAL	22		0	ZL3b	C	0	0	0	0
f67v2	f67	COSMOLOGICAL	22		0	ZL3b	R	8	19	18	1
f67v2	f67	COSMOLOGICAL	22		0	IT2a	P	8	36	36	0
f67v2	f67	COSMOLOGICAL	22		0	IT2a	L	4	6	6	0
f67v2	f67	COSMOLOGICAL	22		0	IT2a	C	0	0	0	0
f67v2	f67	COSMOLOGICAL	22		0	IT2a	R	8	19	19	0
f67v2	f67	COSMOLOGICAL	22		0	RF1b	P	8	34	34	0
f67v2	f67	COSMOLOGICAL	22		0	RF1b	L	6	8	8	0
f67v2	f67	COSMOLOGICAL	22		0	RF1b	C	0	0	0	0
f67v2	f67	COSMOLOGICAL	22		0	RF1b	R	8	19	19	0
f68r1	f68	ASTRONOMICAL	37	1	1	ZL3b	P	7	31	31	0
f68r1	f68	ASTRONOMICAL	37	1	1	ZL3b	L	29	29	29	0
f68r1	f68	ASTRONOMICAL	37	1	1	ZL3b	C	1	5	4	1
f68r1	f68	ASTRONOMICAL	37	1	1	ZL3b	R	0	0	0	0
f68r1	f68	ASTRONOMICAL	37	1	1	IT2a	P	7	31	31	0
f68r1	f68	ASTRONOMICAL	37	1	1	IT2a	L	29	29	29	0
f68r1	f68	ASTRONOMICAL	37	1	1	IT2a	C	1	5	5	0
f68r1	f68	ASTRONOMICAL	37	1	1	IT2a	R	0	0	0	0
f68r1	f68	ASTRONOMICAL	37	1	1	RF1b	P	7	31	31	0
f68r1	f68	ASTRONOMICAL	37	1	1	RF1b	L	29	29	29	0
