page	physical_folio	public_sign	public_figure_count	public_star_holding_figure_count	public_label_count	explicit_near_figure_label_count	explicit_nonfigure_star_label_count	star_slot_prediction	figure_count_residual_labels_minus_figures	star_slot_residual_labels_minus_prediction	all_reading_ivtff_L_count	explicit_unlabelled_nonstar_figure
f70v2	f70	PISCES	29	29	30	29	1	30	1	0	30	0
f70v1	f70	ARIES	15	15	15		0	15	0	0	15	0
f71r	f71	ARIES	15	15	15		0	15	0	0	15	0
f71v	f71	TAURUS	15	15	15		0	15	0	0	15	0
f72r1	f72	TAURUS	15	15	15		0	15	0	0	15	0
f72r2	f72	GEMINI	30	29	29		0	29	-1	0	29	1
f72r3	f72	CANCER	30	30	30		0	30	0	0	30	0
f72v3	f72	LEO	30	30	30		0	30	0	0	30	0
f72v2	f72	VIRGO	30	30	30		0	30	0	0	30	0
f72v1	f72	LIBRA	30	30	30		0	30	0	0	30	0
f73r	f73	SCORPIUS	30	30	30		0	30	0	0	30	0
f73v	f73	SAGITTARIUS	30	30	30		0	30	0	0	30	0
