ensemble	class	role	folios	groups	noninitial_positions	observed_favored	null_mean_favored	favored_excess_rate	favored_upper_p	favored_positive_folios	observed_disfavored	null_mean_disfavored	disfavored_deficit_rate	disfavored_lower_p	disfavored_negative_folios
SECTION_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	ALL	7	960	3416	694	461.17970943718717	0.06815582276428947	0.0001220703125	7	204	1139.4583078989135	0.27384610886970534	0.0001220703125	7
SECTION_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	C	3	62	228	52	33.666219020876575	0.08041132008387467	0.0001220703125	3	7	71.30203882309853	0.2820264860662216	0.0001220703125	3
SECTION_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	L	7	426	1653	301	241.5116591380784	0.03598810699450793	0.0001220703125	7	112	516.208155292394	0.24453003949933094	0.0001220703125	7
SECTION_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	P	4	272	836	176	91.17482602856794	0.1014655191045838	0.0001220703125	4	53	295.2619948724209	0.28978707520624514	0.0001220703125	4
SECTION_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	R	4	200	699	165	94.82700524966427	0.10039055042966485	0.0001220703125	4	32	256.6861189109999	0.32143936897138753	0.0001220703125	4
SECTION_KIND_LENGTH	OTHER_DIAGNOSTIC	ALL	17	422	1441	228	141.8591136613356	0.0597785470774909	0.0001220703125	14	83	554.5172750579904	0.3272153192630052	0.0001220703125	17
SECTION_KIND_LENGTH	OTHER_DIAGNOSTIC	L	17	398	1366	207	129.8293248687584	0.05649390565976692	0.0001220703125	13	79	539.1690880234404	0.3368734172938802	0.0001220703125	16
SECTION_KIND_LENGTH	OTHER_DIAGNOSTIC	P	1	22	68	20	10.775851544377975	0.13564924199444153	0.0001220703125	1	4	12.67769503113173	0.12761316222252544	0.0003662109375	1
SECTION_KIND_LENGTH	OTHER_DIAGNOSTIC	R	1	2	7	1	1.253937248199243	-0.036276749742749005	0.759033203125	0	0	2.670492003418386	0.381498857631198	0.041259765625	1
FOLIO_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	ALL	7	960	3416	694	486.8959833964107	0.06062763952095705	0.0001220703125	7	204	1035.333414723477	0.24336458276448392	0.0001220703125	7
FOLIO_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	C	3	62	228	52	37.625808814552556	0.06304469818178704	0.0001220703125	3	7	59.899157612013184	0.23201384917549642	0.0001220703125	3
FOLIO_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	L	7	426	1653	301	249.0024417043096	0.031456478097816334	0.0001220703125	7	112	467.51947259186915	0.2150753010235143	0.0001220703125	7
FOLIO_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	P	4	272	836	176	99.23000854596508	0.0918301333182236	0.0001220703125	4	53	272.9644732022952	0.2631153985673388	0.0001220703125	4
FOLIO_KIND_LENGTH	PUBLIC_CIRCLE_BLOCK	R	4	200	699	165	101.03772433158345	0.09150540152849292	0.0001220703125	4	32	234.95031131729948	0.2903437930147346	0.0001220703125	4
FOLIO_KIND_LENGTH	OTHER_DIAGNOSTIC	ALL	17	422	1441	228	157.94725918691248	0.048613976969526386	0.0001220703125	13	83	443.27139543401296	0.250014847629433	0.0001220703125	14
FOLIO_KIND_LENGTH	OTHER_DIAGNOSTIC	L	17	398	1366	207	146.12904407276278	0.044561461147318605	0.0001220703125	12	79	430.6188499572702	0.25740765004192545	0.0001220703125	13
FOLIO_KIND_LENGTH	OTHER_DIAGNOSTIC	P	1	22	68	20	10.818215114149677	0.13502624832132828	0.000244140625	1	4	12.652545476742766	0.12724331583445245	0.0003662109375	1
FOLIO_KIND_LENGTH	OTHER_DIAGNOSTIC	R	1	2	7	1	1.0	0.0	1.0	0	0	0.0	0.0	1.0	0
