occurrence_order	record_order	segment_id	page	physical_folio	section	currier	hand	record_length	occupant_ordinal	family_surface	exact_sta_member_group	zl_basic_eva_lossy	it_basic_eva_lossy	rf_basic_eva_lossy	current_formal_expression	current_formal_shell
1	81	f3r.17|S01	f3r	3	H	A	1	5	3	AQJABA	A2 Q2 J1 A1 B1 A2	yteody	yteody	yteody	C:AQJABA{adj=FUUUU;fl=I;ec=U;o=0;c=0;p=AQ}	C|adj=FUUUU|fl=I|ec=U|o=0|c=0
2	91	f3v.7|S01	f3v	3	H	A	1	5	3	KAC	K1 A1 C1	chor	chor	chor	C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-}	C|adj=UU|fl=I|ec=C|o=2|c=2
3	305	f14r.6|S01	f14r	14	H	A	1	5	3	AQAC	A1 Q1 A1 C1	okor	okor	okor	C:AQAC{adj=FUU;fl=U;ec=U;o=2;c=0;p=AQ}	C|adj=FUU|fl=U|ec=U|o=2|c=0
4	402	f17v.9|S01	f17v	17	H	A	1	5	3	QKAB	Q1 K1 A1 B2	kchol	kchol	kchol	C:QKAB{adj=FUU;fl=I;ec=U;o=2;c=2;p=QK}	C|adj=FUU|fl=I|ec=U|o=2|c=2
5	608	f28r.1|S01	f28r	28	H	A	1	5	3	KATA	K1 A1 T1 A2	chocphy	chocphy	chocphy	C:KATA{adj=UUU;fl=I;ec=I;o=0;c=2;p=-}	C|adj=UUU|fl=I|ec=I|o=0|c=2
6	784	f35r.13|S01	f35r	35	H	A	1	5	3	DAQKAG	D1 A1 Q1 K1 A3 G1	qokchaiin	qokchaiin	qokchaiin	C:DAQKAG{adj=FFFUU;fl=I;ec=I;o=0;c=0;p=DAQK}	C|adj=FFFUU|fl=I|ec=I|o=0|c=0
7	1135	f49v.28|S01	f49v	49	H	A	1	5	3	QKAB	Q2 K1 A1 B2	tchol	tchol	tchol	C:QKAB{adj=FUU;fl=I;ec=U;o=2;c=2;p=QK}	C|adj=FUU|fl=I|ec=U|o=2|c=2
8	1274	f56v.8|S01	f56v	56	H	A	1	5	3	DAQKA	D1 A1 Q1 K1 A1	qokcho	qokcho	qokcho	C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK}	C|adj=FFFU|fl=F|ec=U|o=1|c=0
9	2799	f87r.10|S01	f87r	87	H	A	1	5	3	KJABAB	K1 J1 A1 B1 A3 B2	cheodal	cheodal	cheodal	C:KJABAB{adj=FUUUU;fl=I;ec=I;o=0;c=4;p=KJ}	C|adj=FUUUU|fl=I|ec=I|o=0|c=4
10	3203	f100r.27|S01	f100r	100	P	A	1	5	3	KA	K1 A1	cho	cho	cho	C:KA{adj=U;fl=I;ec=C;o=1;c=3;p=-}	C|adj=U|fl=I|ec=C|o=1|c=3
