cell_id	label_rows	prose_rows	total_rows
LRG006-C001	1	1	2
LRG006-C002	4	6	10
LRG006-C003	1	1	2
LRG006-C004	3	4	7
LRG006-C005	1	2	3
LRG006-C006	3	2	5
LRG006-C007	4	7	11
LRG006-C008	3	7	10
LRG006-C009	2	3	5
LRG006-C010	6	22	28
LRG006-C011	5	24	29
LRG006-C012	1	6	7
LRG006-C013	4	6	10
LRG006-C014	3	11	14
LRG006-C015	1	7	8
LRG006-C016	1	4	5
LRG006-C017	1	16	17
LRG006-C018	1	4	5
LRG006-C019	3	25	28
LRG006-C020	4	15	19
LRG006-C021	1	18	19
LRG006-C022	1	6	7
LRG006-C023	3	9	12
LRG006-C024	1	1	2
LRG006-C025	1	2	3
LRG006-C026	1	6	7
LRG006-C027	2	17	19
LRG006-C028	3	14	17
LRG006-C029	7	7	14
LRG006-C030	1	8	9
LRG006-C031	1	13	14
LRG006-C032	1	5	6
LRG006-C033	1	5	6
LRG006-C034	1	1	2
LRG006-C035	2	25	27
LRG006-C036	1	7	8
LRG006-C037	4	22	26
LRG006-C038	1	9	10
LRG006-C039	1	11	12
LRG006-C040	4	7	11
LRG006-C041	4	4	8
LRG006-C042	2	1	3
LRG006-C043	2	5	7
LRG006-C044	1	3	4
LRG006-C045	3	5	8
LRG006-C046	2	2	4
LRG006-C047	2	1	3
LRG006-C048	4	2	6
LRG006-C049	3	2	5
LRG006-C050	2	1	3
LRG006-C051	5	3	8
LRG006-C052	2	11	13
LRG006-C053	1	4	5
LRG006-C054	1	1	2
LRG006-C055	1	1	2
LRG006-C056	1	4	5
LRG006-C057	1	1	2
LRG006-C058	1	8	9
LRG006-C059	3	3	6
LRG006-C060	3	16	19
LRG006-C061	5	15	20
LRG006-C062	5	5	10
LRG006-C063	1	1	2
LRG006-C064	1	2	3
LRG006-C065	6	18	24
LRG006-C066	4	11	15
LRG006-C067	3	13	16
LRG006-C068	3	3	6
LRG006-C069	1	2	3
