source_section	source_object_class	source_object_guess	current_kind	current_subtype	clear_physical_location_count	clear_source_record_count	current_page_count	source_certainty_counts	source_physical_location_ids	source_record_ids
?	T	item?	L	0	15	15	1	HEDGED:15	f66r.l.1;f66r.l.2;f66r.l.3;f66r.l.4;f66r.l.5;f66r.l.6;f66r.l.7;f66r.l.8;f66r.l.9;f66r.l.10;f66r.l.11;f66r.l.12;f66r.l.13;f66r.l.14;f66r.l.15	STOLFI_BEST_0061;STOLFI_BEST_0063;STOLFI_BEST_0065;STOLFI_BEST_0067;STOLFI_BEST_0069;STOLFI_BEST_0071;STOLFI_BEST_0073;STOLFI_BEST_0075;STOLFI_BEST_0077;STOLFI_BEST_0079;STOLFI_BEST_0081;STOLFI_BEST_0083;STOLFI_BEST_0085;STOLFI_BEST_0087;STOLFI_BEST_0089
?	T	title?	L	x	1	1	1	HEDGED:1	f66r.w.1	STOLFI_BEST_0091
?	T	title?	P	c	2	2	2	HEDGED:2	f58v.t.1;f85r1.t.34	STOLFI_BEST_0058;STOLFI_BEST_0959
?	T	title?	P	r	1	1	1	HEDGED:1	f86v5.t.37	STOLFI_BEST_1045
astro	?	?	R	o	8	8	1	HEDGED:8	f68v1.x.1;f68v1.x.2;f68v1.x.3;f68v1.x.4;f68v1.x.5;f68v1.x.6;f68v1.x.7;f68v1.x.8	STOLFI_BEST_0326;STOLFI_BEST_0327;STOLFI_BEST_0328;STOLFI_BEST_0329;STOLFI_BEST_0330;STOLFI_BEST_0331;STOLFI_BEST_0332;STOLFI_BEST_0333
astro	A	?	L	0	6	6	1	HEDGED:6	f67v1.x.2;f67v1.x.5;f67v1.x.6;f67v1.x.7;f67v1.x.8;f67v1.x.9	STOLFI_BEST_0162;STOLFI_BEST_0165;STOLFI_BEST_0166;STOLFI_BEST_0167;STOLFI_BEST_0168;STOLFI_BEST_0169
astro	A	?	L	s	12	12	1	HEDGED:12	f67r2.x.1;f67r2.x.2;f67r2.x.3;f67r2.x.4;f67r2.x.5;f67r2.x.6;f67r2.x.7;f67r2.x.8;f67r2.x.9;f67r2.x.10;f67r2.x.11;f67r2.x.12	STOLFI_BEST_0130;STOLFI_BEST_0131;STOLFI_BEST_0132;STOLFI_BEST_0133;STOLFI_BEST_0134;STOLFI_BEST_0135;STOLFI_BEST_0136;STOLFI_BEST_0137;STOLFI_BEST_0138;STOLFI_BEST_0139;STOLFI_BEST_0140;STOLFI_BEST_0141
astro	A	?	R	i	12	12	1	HEDGED:12	f67r1.s.1;f67r1.s.2;f67r1.s.3;f67r1.s.4;f67r1.s.5;f67r1.s.6;f67r1.s.7;f67r1.s.8;f67r1.s.9;f67r1.s.10;f67r1.s.11;f67r1.s.12	STOLFI_BEST_0093;STOLFI_BEST_0095;STOLFI_BEST_0097;STOLFI_BEST_0099;STOLFI_BEST_0101;STOLFI_BEST_0103;STOLFI_BEST_0105;STOLFI_BEST_0107;STOLFI_BEST_0109;STOLFI_BEST_0111;STOLFI_BEST_0113;STOLFI_BEST_0115
astro	A	?	R	o	6	6	1	HEDGED:6	f68v2.r.1;f68v2.r.3;f68v2.r.6;f68v2.r.7;f68v2.r.9;f68v2.r.10	STOLFI_BEST_0294;STOLFI_BEST_0297;STOLFI_BEST_0301;STOLFI_BEST_0302;STOLFI_BEST_0305;STOLFI_BEST_0306
astro	A	planet?	L	0	7	7	1	HEDGED:7	f67r2.l.1;f67r2.l.2;f67r2.l.3;f67r2.l.4;f67r2.l.5;f67r2.l.6;f67r2.l.7	STOLFI_BEST_0116;STOLFI_BEST_0118;STOLFI_BEST_0120;STOLFI_BEST_0122;STOLFI_BEST_0124;STOLFI_BEST_0126;STOLFI_BEST_0128
astro	A	star	L	0	1	1	1	UNHEDGED:1	f67v1.x.10	STOLFI_BEST_0170
astro	A	star	L	a	1	1	1	UNHEDGED:1	f68r3.x.2	STOLFI_BEST_0251
astro	A	star	L	s	59	59	3	UNHEDGED:59	f68r1.s.1;f68r1.s.2;f68r1.s.3;f68r1.s.4;f68r1.s.5;f68r1.s.6;f68r1.s.7;f68r1.s.8;f68r1.s.9;f68r1.s.10;f68r1.s.11;f68r1.s.12;f68r1.s.13;f68r1.s.14;f68r1.s.15;f68r1.s.16;f68r1.s.17;f68r1.s.18;f68r1.s.19;f68r1.s.20;f68r1.s.21;f68r1.s.22;f68r1.s.23;f68r1.s.24;f68r1.s.25;f68r1.s.26;f68r1.s.27;f68r1.s.28;f68r1.s.29;f68r2.s.0;f68r2.s.1;f68r2.s.2;f68r2.s.4;f68r2.s.5;f68r2.s.6;f68r2.s.7;f68r2.s.8;f68r2.s.10;f68r2.s.11;f68r2.s.12;f68r2.s.13;f68r2.s.14;f68r2.s.15;f68r2.s.16;f68r2.s.17;f68r2.s.20;f68r2.s.21;f68r2.s.22;f68r2.s.23;f68r2.s.24;f68r3.x.1;f68r3.x.3;f68r3.x.5;f68r3.x.6;f68r3.x.8;f68r3.x.9;f68r3.x.10;f68r3.x.11;f68r3.x.12	STOLFI_BEST_0171;STOLFI_BEST_0172;STOLFI_BEST_0173;STOLFI_BEST_0174;STOLFI_BEST_0175;STOLFI_BEST_0176;STOLFI_BEST_0177;STOLFI_BEST_0178;STOLFI_BEST_0179;STOLFI_BEST_0180;STOLFI_BEST_0181;STOLFI_BEST_0182;STOLFI_BEST_0183;STOLFI_BEST_0184;STOLFI_BEST_0185;STOLFI_BEST_0186;STOLFI_BEST_0187;STOLFI_BEST_0188;STOLFI_BEST_0189;STOLFI_BEST_0190;STOLFI_BEST_0191;STOLFI_BEST_0192;STOLFI_BEST_0193;STOLFI_BEST_0194;STOLFI_BEST_0195;STOLFI_BEST_0196;STOLFI_BEST_0197;STOLFI_BEST_0198;STOLFI_BEST_0199;STOLFI_BEST_0201;STOLFI_BEST_0203;STOLFI_BEST_0205;STOLFI_BEST_0209;STOLFI_BEST_0211;STOLFI_BEST_0213;STOLFI_BEST_0215;STOLFI_BEST_0217;STOLFI_BEST_0221;STOLFI_BEST_0223;STOLFI_BEST_0225;STOLFI_BEST_0227;STOLFI_BEST_0229;STOLFI_BEST_0231;STOLFI_BEST_0233;STOLFI_BEST_0235;STOLFI_BEST_0241;STOLFI_BEST_0243;STOLFI_BEST_0245;STOLFI_BEST_0247;STOLFI_BEST_0249;STOLFI_BEST_0250;STOLFI_BEST_0252;STOLFI_BEST_0254;STOLFI_BEST_0255;STOLFI_BEST_0257;STOLFI_BEST_0258;STOLFI_BEST_0259;STOLFI_BEST_0260;STOLFI_BEST_0261
astro	A	star?	R	o	3	3	1	HEDGED:3	f68v2.r.5;f68v2.r.8;f68v2.r.11	STOLFI_BEST_0300;STOLFI_BEST_0304;STOLFI_BEST_0308
bio	B	duct?	L	t	10	10	4	HEDGED:10	f77r.x.2;f77r.x.3;f77r.x.4;f77r.x.5;f77r.x.6;f77r.x.7;f77v.l.4;f77v.l.5;f78r.x.3;f82r.x.11	STOLFI_BEST_0865;STOLFI_BEST_0866;STOLFI_BEST_0867;STOLFI_BEST_0868;STOLFI_BEST_0869;STOLFI_BEST_0870;STOLFI_BEST_0881;STOLFI_BEST_0883;STOLFI_BEST_0893;STOLFI_BEST_0921
bio	B	flow?	L	t	5	5	3	HEDGED:5	f82r.x.2;f82r.x.3;f83r.x.2;f83r.x.4;f84r.x.13	STOLFI_BEST_0912;STOLFI_BEST_0913;STOLFI_BEST_0939;STOLFI_BEST_0941;STOLFI_BEST_0958
bio	B	nymph?	L	n	51	71	8	HEDGED:71	f75v.l1.1;f75v.l1.2;f75v.l1.3;f75v.l1.4;f75v.l1.5;f75v.l1.6;f75v.l1.7;f75v.l1.8;f75v.l1.9;f75v.l1.10;f75v.l1.11;f75v.l1.12;f75v.l1.13;f75v.l1.14;f75v.l1.15;f75v.l1.16;f75v.l1.17;f75v.l1.18;f75v.l1.19;f75v.l1.20;f77r.x.1;f77r.x.8;f77r.x.9;f77v.l.6;f80r.x.1;f80r.x.6;f80r.x.7;f80r.x.8;f80r.x.9;f82r.x.4;f82r.x.5;f82r.x.6;f82r.x.7;f82r.x.8;f82r.x.9;f82r.x.13;f82v.x.2;f82v.x.3;f82v.x.8;f82v.x.13;f83v.x.8;f84r.x.2;f84r.x.3;f84r.x.4;f84r.x.5;f84r.x.7;f84r.x.8;f84r.x.9;f84r.x.10;f84r.x.11;f84r.x.12	STOLFI_BEST_0808;STOLFI_BEST_0809;STOLFI_BEST_0810;STOLFI_BEST_0811;STOLFI_BEST_0812;STOLFI_BEST_0813;STOLFI_BEST_0814;STOLFI_BEST_0815;STOLFI_BEST_0816;STOLFI_BEST_0817;STOLFI_BEST_0818;STOLFI_BEST_0819;STOLFI_BEST_0820;STOLFI_BEST_0821;STOLFI_BEST_0822;STOLFI_BEST_0823;STOLFI_BEST_0824;STOLFI_BEST_0825;STOLFI_BEST_0826;STOLFI_BEST_0827;STOLFI_BEST_0828;STOLFI_BEST_0829;STOLFI_BEST_0830;STOLFI_BEST_0831;STOLFI_BEST_0832;STOLFI_BEST_0833;STOLFI_BEST_0834;STOLFI_BEST_0835;STOLFI_BEST_0836;STOLFI_BEST_0837;STOLFI_BEST_0838;STOLFI_BEST_0839;STOLFI_BEST_0840;STOLFI_BEST_0841;STOLFI_BEST_0842;STOLFI_BEST_0843;STOLFI_BEST_0844;STOLFI_BEST_0845;STOLFI_BEST_0846;STOLFI_BEST_0847;STOLFI_BEST_0864;STOLFI_BEST_0871;STOLFI_BEST_0872;STOLFI_BEST_0885;STOLFI_BEST_0899;STOLFI_BEST_0904;STOLFI_BEST_0905;STOLFI_BEST_0906;STOLFI_BEST_0907;STOLFI_BEST_0914;STOLFI_BEST_0915;STOLFI_BEST_0916;STOLFI_BEST_0917;STOLFI_BEST_0918;STOLFI_BEST_0919;STOLFI_BEST_0923;STOLFI_BEST_0925;STOLFI_BEST_0926;STOLFI_BEST_0931;STOLFI_BEST_0936;STOLFI_BEST_0945;STOLFI_BEST_0947;STOLFI_BEST_0948;STOLFI_BEST_0949;STOLFI_BEST_0950;STOLFI_BEST_0952;STOLFI_BEST_0953;STOLFI_BEST_0954;STOLFI_BEST_0955;STOLFI_BEST_0956;STOLFI_BEST_0957
bio	B	nymph?	L	t	13	13	6	HEDGED:13	f75v.l2.1;f75v.l2.2;f75v.l2.3;f75v.l2.4;f77r.x.10;f77v.l.3;f77v.l.8;f82v.x.9;f83r.x.1;f83r.x.3;f83v.x.5;f83v.x.6;f83v.x.7	STOLFI_BEST_0850;STOLFI_BEST_0854;STOLFI_BEST_0858;STOLFI_BEST_0862;STOLFI_BEST_0873;STOLFI_BEST_0879;STOLFI_BEST_0889;STOLFI_BEST_0932;STOLFI_BEST_0938;STOLFI_BEST_0940;STOLFI_BEST_0942;STOLFI_BEST_0943;STOLFI_BEST_0944
bio	B	nymph?	P	b	7	7	1	HEDGED:7	f75r.l.1;f75r.l.2;f75r.l.3;f75r.l.4;f75r.l.5;f75r.l.6;f75r.l.7	STOLFI_BEST_0801;STOLFI_BEST_0802;STOLFI_BEST_0803;STOLFI_BEST_0804;STOLFI_BEST_0805;STOLFI_BEST_0806;STOLFI_BEST_0807
bio	B	organ?	L	t	8	8	3	HEDGED:8	f78r.x.1;f78r.x.2;f78r.x.4;f78r.x.5;f78r.x.6;f81v.x.1;f82v.x.1;f82v.x.14	STOLFI_BEST_0890;STOLFI_BEST_0891;STOLFI_BEST_0895;STOLFI_BEST_0897;STOLFI_BEST_0898;STOLFI_BEST_0908;STOLFI_BEST_0924;STOLFI_BEST_0937
bio	T	title?	P	r	1	1	1	HEDGED:1	f82r.t1.18	STOLFI_BEST_0910
