cell_id	A_rows	D_rows	other_rows	total_rows
LRG007-C001	1	0	9	10
LRG007-C002	1	0	7	8
LRG007-C003	4	1	2	7
LRG007-C004	2	1	4	7
LRG007-C005	5	1	1	7
LRG007-C006	3	0	2	5
LRG007-C007	1	0	18	19
LRG007-C008	6	1	12	19
LRG007-C009	7	2	4	13
LRG007-C010	3	6	4	13
LRG007-C011	4	0	21	25
LRG007-C012	9	1	2	12
LRG007-C013	7	3	2	12
LRG007-C014	0	0	15	15
LRG007-C015	4	2	9	15
LRG007-C016	2	4	3	9
LRG007-C017	1	0	9	10
LRG007-C018	7	1	4	12
LRG007-C019	13	0	13	26
LRG007-C020	5	7	54	66
LRG007-C021	20	7	43	70
LRG007-C022	16	36	23	75
LRG007-C023	7	26	3	36
LRG007-C024	19	0	12	31
LRG007-C025	3	14	59	76
LRG007-C026	22	8	40	70
LRG007-C027	24	35	13	72
LRG007-C028	13	21	5	39
LRG007-C029	3	3	52	58
LRG007-C030	15	5	64	84
LRG007-C031	24	18	34	76
LRG007-C032	10	28	6	44
LRG007-C033	2	4	7	13
LRG007-C034	0	8	54	62
LRG007-C035	6	2	52	60
LRG007-C036	5	41	16	62
LRG007-C037	1	41	5	47
LRG007-C038	0	3	3	6
LRG007-C039	1	9	59	69
LRG007-C040	11	5	54	70
LRG007-C041	7	45	26	78
LRG007-C042	4	20	5	29
LRG007-C043	20	0	5	25
LRG007-C044	5	2	35	42
LRG007-C045	15	2	38	55
LRG007-C046	16	16	12	44
LRG007-C047	4	21	5	30
LRG007-C048	0	4	1	5
LRG007-C049	2	0	5	7
LRG007-C050	33	0	8	41
LRG007-C051	5	14	43	62
LRG007-C052	16	0	47	63
LRG007-C053	25	14	12	51
LRG007-C054	11	18	5	34
LRG007-C055	2	0	2	4
LRG007-C056	6	6	46	58
LRG007-C057	24	7	34	65
LRG007-C058	14	34	14	62
LRG007-C059	5	9	10	24
LRG007-C060	7	6	41	54
LRG007-C061	41	8	29	78
LRG007-C062	36	36	13	85
LRG007-C063	7	27	6	40
LRG007-C064	2	5	2	9
LRG007-C065	4	2	38	44
LRG007-C066	25	5	51	81
LRG007-C067	15	42	9	66
LRG007-C068	5	7	76	88
LRG007-C069	26	10	44	80
LRG007-C070	21	44	18	83
LRG007-C071	1	4	3	8
LRG007-C072	6	6	28	40
LRG007-C073	18	0	34	52
LRG007-C074	15	15	6	36
LRG007-C075	7	10	2	19
LRG007-C076	1	4	41	46
LRG007-C077	18	2	26	46
LRG007-C078	6	8	14	28
LRG007-C079	1	2	24	27
LRG007-C080	9	4	26	39
LRG007-C081	1	28	20	49
LRG007-C082	2	17	10	29
LRG007-C083	0	2	5	7
LRG007-C084	6	4	49	59
LRG007-C085	17	7	39	63
LRG007-C086	14	48	17	79
LRG007-C087	7	21	5	33
LRG007-C088	2	6	7	15
LRG007-C089	8	0	3	11
LRG007-C090	0	0	56	56
LRG007-C091	10	7	46	63
LRG007-C092	8	22	30	60
LRG007-C093	6	26	13	45
LRG007-C094	0	7	8	15
LRG007-C095	6	1	1	8
LRG007-C096	3	7	32	42
LRG007-C097	5	31	12	48
LRG007-C098	5	16	6	27
LRG007-C099	1	8	3	12
LRG007-C100	7	1	65	73
LRG007-C101	21	3	49	73
LRG007-C102	22	18	7	47
LRG007-C103	9	26	0	35
LRG007-C104	0	3	3	6
LRG007-C105	2	2	54	58
LRG007-C106	25	3	50	78
LRG007-C107	39	25	10	74
LRG007-C108	9	21	3	33
LRG007-C109	1	3	3	7
LRG007-C110	1	0	18	19
LRG007-C111	7	0	15	22
LRG007-C112	4	7	6	17
LRG007-C113	5	0	3	8
LRG007-C114	0	0	16	16
LRG007-C115	5	3	18	26
LRG007-C116	3	6	13	22
LRG007-C117	5	4	7	16
LRG007-C118	0	0	18	18
LRG007-C119	2	5	10	17
LRG007-C120	0	2	5	7
LRG007-C121	3	0	3	6
LRG007-C122	1	1	24	26
LRG007-C123	10	3	8	21
LRG007-C124	4	4	14	22
LRG007-C125	1	1	1	3
LRG007-C126	0	0	12	12
LRG007-C127	3	0	40	43
LRG007-C128	16	1	16	33
LRG007-C129	15	11	7	33
LRG007-C130	5	4	6	15
LRG007-C131	10	10	5	25
LRG007-C132	10	7	4	21
