onset_triplet	sta_family	zl_eva	it_evat	rf_eva	all_codes_equal	all_surfaces_equal	bases	rows
A1/A1/A1	A	o	o	o	1	1	4	64
A1/A1/A3	A	o	o	a	0	0	1	1
A1/A1/Aa	A	o	o	@221;	0	0	3	4
A1/A3/A3	A	o	a	a	0	0	1	1
A1/A3/Aa	A	o	a	@221;	0	0	1	1
A2/A2/A2	A	y	y	y	1	1	1	19
A3/A1/A3	A	a	o	a	0	0	2	2
A3/A3/A3	A	a	a	a	1	1	3	194
A3/A3/Aa	A	a	a	@221;	0	0	1	1
B1/B1/B1	B	d	d	d	1	1	10	259
B1/B1/Ba	B	d	d	@152;	0	0	6	33
B2/B2/B2	B	l	l	l	1	1	18	268
C1/C1/C1	C	r	r	r	1	1	3	34
C1/C1/C2	C	r	r	s	0	0	1	1
C1/C1/Cd	C	r	r	@206;	0	0	1	1
C1/C2/C1	C	r	s	r	0	0	1	1
C2/C2/C2	C	s	s	s	1	1	3	42
K1/K1/K1	K	ch	ch	ch	1	1	5	138
K2/K2/K2	K	ee	ee	ee	1	1	4	23
P1/P1/P1	P	p	p	p	1	1	9	40
P2/P2/P1	P	f	f	p	0	0	1	1
P2/P2/P2	P	f	f	f	1	1	5	8
U1/U1/U1	U	ckh	ckh	ckh	1	1	5	39
U2/U2/U2	U	cth	cth	cth	1	1	5	31
Uo/U1/U1	U	{@246;kh}	ckh	ckh	0	0	1	1
