onset_triplet	onset_consensus	bases	rows	folios	none	da	raw_da_fraction	expected_da_fraction	residual_da_fraction	positive_bases	zero_bases	negative_bases
A1/A1/A1	1	4	64	13	58	6	3/32	175039/22770	-38419/22770	1	0	3
A1/A1/A3	0	1	1	1	1	0	0/1	1/18	-1/18	0	0	1
A1/A1/Aa	0	3	4	4	4	0	0/1	1009/1980	-1009/1980	0	0	3
A1/A3/A3	0	1	1	1	1	0	0/1	1/18	-1/18	0	0	1
A1/A3/Aa	0	1	1	1	1	0	0/1	1/9	-1/9	0	0	1
A2/A2/A2	1	1	19	6	13	6	6/19	11/2	1/2	1	0	0
A3/A1/A3	0	2	2	2	2	0	0/1	29/99	-29/99	0	0	2
A3/A3/A3	1	3	194	20	173	21	21/194	18901/1012	2351/1012	2	0	1
A3/A3/Aa	0	1	1	1	1	0	0/1	1/9	-1/9	0	0	1
B1/B1/B1	1	10	259	34	213	46	46/259	20384407/360360	-3807847/360360	2	0	8
B1/B1/Ba	0	6	33	19	26	7	7/33	1121/154	-43/154	3	0	3
B2/B2/B2	1	18	268	24	140	128	32/67	42217613/360360	3908467/360360	9	8	1
C1/C1/C1	1	3	34	13	18	16	8/17	43649/4620	30271/4620	3	0	0
C1/C1/C2	0	1	1	1	0	1	1/1	1/3	2/3	1	0	0
C1/C1/Cd	0	1	1	1	1	0	0/1	1/11	-1/11	0	0	1
C1/C2/C1	0	1	1	1	1	0	0/1	1/3	-1/3	0	0	1
C2/C2/C2	1	3	42	12	40	2	1/21	40631/4620	-31391/4620	0	0	3
K1/K1/K1	1	5	138	21	130	8	4/69	11275/504	-7243/504	0	1	4
K2/K2/K2	1	4	23	16	1	22	22/23	3845/504	7243/504	4	0	0
P1/P1/P1	1	9	40	12	18	22	11/20	1331/60	-11/60	2	4	3
P2/P2/P1	0	1	1	1	0	1	1/1	2/5	3/5	1	0	0
P2/P2/P2	1	5	8	7	4	4	1/2	53/12	-5/12	2	0	3
U1/U1/U1	1	5	39	16	16	23	23/39	3067/210	1763/210	5	0	0
U2/U2/U2	1	5	31	14	29	2	2/31	2099/210	-1679/210	0	0	5
Uo/U1/U1	0	1	1	1	1	0	0/1	2/5	-2/5	0	0	1
