record_order	segment_id	locus	page	section	currier	hand	code	kind	grammar_scope	segment_index	segment_count	physical_line_segment_position	starts_after_drawing	ends_before_drawing	group_count	symbol_count	family_expression	zl_sta_expression	it_sta_expression	rf_sta_expression	zl_basic_eva_lossy_expression	it_basic_eva_lossy_expression	rf_basic_eva_lossy_expression	member_exact_agreement_groups	member_exact_agreement_rate	lossy_eva_exact_agreement_groups	lossy_eva_exact_agreement_rate	internal_boundaries	unanimous_internal_boundaries	boundary_consensus_rate	favored_transitions	disfavored_transitions	unresolved_transitions	transition_opportunities	resolved_transition_rate	resolved_tendency_slots	tendency_opportunities	tendency_resolution_rate	opening_feature_groups	closing_feature_groups	favored_path_groups	formal_resolved_units	formal_opportunities	formal_resolution_rate	transcription_consensus_status	formal_expression	packet_eligible	packet_cell	packet_rank	packet_selected
1	f1r.3|S01	f1r.3	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	9	32	CAAG LJQA AC AQAG LAB UAACA UJC BACAG CA	C2 A2 A3 G3 | L1 J1 Q1 A2 | A1 C1 | A2 Q1 A3 G1 | L1 A1 B1 | U2 A1 A3 C1 A2 | U2 J1 C2 | B1 A3 C1 A3 G1 | C2 A2	C2 A2 A3 G3 | L1 J1 Q1 A2 | A1 C1 | A2 Q1 A3 G1 | L1 A1 B1 | U2 A1 A3 C1 A2 | U2 J1 C2 | B1 A3 C1 A3 G1 | C2 A3	C2 A2 A3 G3 | L1 J1 Q1 A2 | A1 C1 | A2 Q1 A3 G1 | L1 A1 B1 | U2 A1 A3 C1 A2 | U2 J1 C2 | B1 A3 C1 A3 G1 | C2 A2	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sa	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	8	0.888889	8	0.888889	8	8	1.000000	2	3	18	23	0.217391	2	18	0.111111	5	7	2	7	41	0.170732	READING_OR_BOUNDARY_VARIANT	F:CAAG{adj=UDU;fl=I;ec=I;o=2;c=0;p=-} | C:LJQA{adj=FUU;fl=I;ec=U;o=0;c=2;p=LJ} | C:AC{adj=U;fl=U;ec=U;o=2;c=2;p=-} | C:AQAG{adj=FUU;fl=U;ec=U;o=0;c=0;p=AQ} | C:LAB{adj=UU;fl=I;ec=U;o=1;c=2;p=-} | C:UAACA{adj=UDUU;fl=I;ec=I;o=0;c=3;p=-} | C:UJC{adj=UD;fl=I;ec=I;o=1;c=1;p=-} | C:BACAG{adj=UUUU;fl=I;ec=I;o=0;c=1;p=-} | L:CA{adj=U;fl=L;ec=E;o=2;c=2;p=-}	0	T|A	0	0
2	f1r.6|S01	f1r.6	f1r	T	A	1	=Pt	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	1	8	ABACAELA	A2 B1 A3 C1 A3 E1 L1 A2	A2 B1 A3 C1 A3 E1 L1 A2	A2 B1 A3 C1 A3 E1 L1 A2	ydaraishy	ydaraishy	ydaraishy	1	1.000000	1	1.000000	0	0	1.000000	0	0	7	7	0.000000	0	2	0.000000	1	1	0	0	9	0.000000	ALL_MEMBER_AND_BOUNDARY_STABLE	S:ABACAELA{adj=UUUUUUU;fl=I;ec=I;o=1;c=1;p=-}	0	T|A	0	0
3	f1r.8|S01	f1r.8	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	9	35	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	9	1.000000	9	1.000000	8	8	1.000000	5	2	19	26	0.269231	2	18	0.111111	6	5	3	9	44	0.204545	ALL_MEMBER_AND_BOUNDARY_STABLE	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	1	T|A	1	1
4	f1r.9|S01	f1r.9	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	4	13	BAG LAC TAB LABA	B1 A3 G1 | L1 A1 C2 | T2 A1 B2 | L1 A1 B1 A2	B1 A3 G1 | L1 A1 C2 | T2 A1 B2 | L1 A1 B1 A2	B1 A3 G1 | L1 A1 C2 | T2 A1 B2 | L1 A1 B1 A2	daiin shos cfhol shody	daiin shos cfhol shody	daiin shos cfhol shody	4	1.000000	4	1.000000	3	3	1.000000	0	0	9	9	0.000000	0	8	0.000000	2	2	0	0	17	0.000000	ALL_MEMBER_AND_BOUNDARY_STABLE	F:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:LAC{adj=UU;fl=I;ec=U;o=3;c=0;p=-} | C:TAB{adj=UU;fl=I;ec=I;o=0;c=2;p=-} | L:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-}	0	T|A	0	0
5	f1r.10|S01	f1r.10	f1r	T	A	1	=Pt	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	3	10	BAF AC QJABA	B1 A3 F1 | A1 C2 | Q2 J1 A1 B1 A2	B1 A3 F1 | A1 C2 | Q2 J1 A1 B1 A2	B1 A3 F1 | A1 C1 | Q2 J1 A1 B1 Ab	dain os teody	dain os teody	dain or teody	1	0.333333	2	0.666667	2	2	1.000000	0	0	7	7	0.000000	0	6	0.000000	3	2	0	0	13	0.000000	READING_OR_BOUNDARY_VARIANT	F:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:AC{adj=U;fl=U;ec=U;o=2;c=2;p=-} | L:QJABA{adj=UUUU;fl=I;ec=I;o=1;c=0;p=-}	0	T|A	0	0
6	f1r.18|S01	f1r.18	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	9	31	AQA LAB LJ QABLJA TJABA BAC AF BAF UABC	A2 Q2 A1 | L1 A1 B2 | L1 J1 | Q1 A1 B1 L1 J1 A2 | T1 J1 A3 B2 A2 | B1 A3 C1 | A3 F1 | B1 A3 F1 | U1 A2 B1 C2	A2 Q2 A1 | L1 A1 B2 | L1 J1 | Q1 A1 B1 L1 J1 A2 | T1 J1 A3 B2 A2 | B1 A3 C2 | A3 F1 | B1 A3 F1 | U1 A2 B1 C2	Ab Q2 A1 | L1 A1 B2 | L1 J1 | Q1 A1 B1 L1 J1 A2 | T1 J1 A3 B2 A2 | B1 A3 C1 | A3 F1 | B1 A3 F1 | U1 A2 B1 C2	yto shol she kodshey cphealy dar ain dain ckhyds	yto shol she kodshey cphealy das ain dain ckhyds	yto shol she kodshey cphealy dar ain dain ckhyds	7	0.777778	8	0.888889	8	7	0.875000	3	1	18	22	0.181818	1	18	0.055556	6	7	3	5	40	0.125000	READING_OR_BOUNDARY_VARIANT	F:AQA{adj=FU;fl=L;ec=U;o=0;c=1;p=AQ} | C:LAB{adj=UU;fl=I;ec=U;o=1;c=2;p=-} | C:LJ{adj=F;fl=I;ec=I;o=0;c=2;p=LJ} | C:QABLJA{adj=UUUFU;fl=I;ec=I;o=3;c=0;p=LJ} | C:TJABA{adj=UUUU;fl=I;ec=I;o=0;c=0;p=-} | C:BAC{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:AF{adj=U;fl=I;ec=U;o=2;c=2;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:UABC{adj=UUD;fl=I;ec=I;o=1;c=3;p=-}	0	T|A	0	0
7	f1r.20|S01	f1r.20	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	5	15	LAQ KAC KJA BAF UJA	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	shok chor chey dain ckhey	shok chor chey dain ckhey	shok chor chey dain ckhey	5	1.000000	5	1.000000	4	4	1.000000	2	0	8	10	0.200000	2	10	0.200000	5	4	2	4	20	0.200000	ALL_MEMBER_AND_BOUNDARY_STABLE	F:LAQ{adj=UF;fl=I;ec=I;o=1;c=0;p=AQ} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-}	1	T|A	2	1
8	f1r.21|S01	f1r.21	f1r	T	A	1	=Pt	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	2	7	AQAB BAH	A1 Q2 A1 B2 | B1 A3 H1	A1 Q2 A1 B2 | B1 A3 H1	A1 Q2 A1 B2 | B1 A3 H1	otol daiiin	otol daiiin	otol daiiin	2	1.000000	2	1.000000	1	1	1.000000	1	0	4	5	0.200000	1	4	0.250000	0	2	1	2	9	0.222222	ALL_MEMBER_AND_BOUNDARY_STABLE	F:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | L:BAH{adj=UU;fl=I;ec=I;o=0;c=3;p=-}	0	T|A	0	0
9	f1r.24|S01	f1r.24	f1r	T	A	1	+P0	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	10	33	KA ZA QAG LAAG AQAB BAG PAC UAB BAG UABBAC	K1 A1 | Z1 A1 | Q1 A3 G1 | L1 A1 A3 G1 | A1 Q1 A1 B2 | B1 A3 G1 | P2 A3 C1 | U2 A1 B2 | B1 A3 G1 | U2 A1 B2 B1 A3 C1	K1 A1 | Z1 A1 | Q1 A3 G1 | L1 A1 A3 G1 | A1 Q1 A1 B2 | B1 A3 G1 | P2 A3 C1 | U2 A1 B2 | B1 A3 G1 | U2 A1 B2 B1 A3 C1	K1 A1 | Z1 A1 | Q1 A3 G1 | L1 A1 A3 G1 | A1 Q1 A1 B2 | B1 A3 G1 | P1 A3 C1 | U2 A1 B2 | B1 A3 G1 | U2 A1 B2 B1 A3 C1	cho ?o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho ?o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho ?o kaiin shoaiin okol daiin par cthol daiin ctholdar	9	0.900000	9	0.900000	9	8	0.888889	1	2	20	23	0.130435	2	20	0.100000	5	7	1	5	43	0.116279	READING_OR_BOUNDARY_VARIANT	F:KA{adj=U;fl=I;ec=C;o=1;c=3;p=-} | C:ZA{adj=U;fl=I;ec=I;o=0;c=1;p=-} | C:QAG{adj=UU;fl=I;ec=U;o=2;c=0;p=-} | C:LAAG{adj=UDU;fl=I;ec=I;o=1;c=0;p=-} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:PAC{adj=UU;fl=I;ec=I;o=4;c=0;p=-} | C:UAB{adj=UU;fl=I;ec=U;o=0;c=4;p=-} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | L:UABBAC{adj=UUDUU;fl=I;ec=I;o=2;c=2;p=-}	0	T|A	0	0
10	f1r.28|S01	f1r.28	f1r	T	A	1	=Pt	P	CONFIRMED_PROSE	1	1	SINGLE	0	0	1	4	BKAG	B1 K1 A3 G1	B1 K1 A3 G1	B1 K1 A3 G1	dchaiin	dchaiin	dchaiin	1	1.000000	1	1.000000	0	0	1.000000	0	0	3	3	0.000000	0	2	0.000000	1	0	0	0	5	0.000000	ALL_MEMBER_AND_BOUNDARY_STABLE	S:BKAG{adj=UUU;fl=I;ec=I;o=1;c=0;p=-}	0	T|A	0	0
