source_group_id	edition	locus	page	collapsed_page	physical_folio	side	page_state	section	currier	hand	kind	grammar_scope	primary_sta_symbol_count	page_position_quartile	group_position_class
ZL3b|f39r.1|G001	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	FIRST
ZL3b|f39r.1|G002	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	0	MIDDLE
ZL3b|f39r.1|G003	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	0	MIDDLE
ZL3b|f39r.1|G004	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	MIDDLE
ZL3b|f39r.1|G007	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	0	MIDDLE
ZL3b|f39r.1|G008	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	0	MIDDLE
ZL3b|f39r.1|G010	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	0	MIDDLE
ZL3b|f39r.1|G013	ZL3b	f39r.1	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	0	LAST
ZL3b|f39r.10|G001	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	FIRST
ZL3b|f39r.10|G003	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.10|G004	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.10|G005	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE
ZL3b|f39r.10|G006	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	6	2	MIDDLE
ZL3b|f39r.10|G008	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE
ZL3b|f39r.10|G009	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.10|G010	ZL3b	f39r.10	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	LAST
ZL3b|f39r.11|G001	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	FIRST
ZL3b|f39r.11|G002	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.11|G003	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.11|G004	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	1	2	MIDDLE
ZL3b|f39r.11|G006	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.11|G007	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE
ZL3b|f39r.11|G008	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	2	MIDDLE
ZL3b|f39r.11|G009	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	8	2	MIDDLE
ZL3b|f39r.11|G011	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.11|G012	ZL3b	f39r.11	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	LAST
ZL3b|f39r.12|G002	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.12|G003	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	1	2	MIDDLE
ZL3b|f39r.12|G004	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.12|G005	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	2	MIDDLE
ZL3b|f39r.12|G006	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.12|G007	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.12|G008	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	MIDDLE
ZL3b|f39r.12|G010	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	2	2	MIDDLE
ZL3b|f39r.12|G011	ZL3b	f39r.12	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	3	2	LAST
ZL3b|f39r.13|G001	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	3	FIRST
ZL3b|f39r.13|G002	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	4	3	MIDDLE
ZL3b|f39r.13|G004	ZL3b	f39r.13	f39r	f39r	f39	r	0	H	B	2	P	CONFIRMED_PROSE	5	3	MIDDLE
