page_order	page	locus	line_number	code	relation	kind	subtype	section	language	hand	quire	folio_type	paragraph_start	paragraph_end	token_count	source_path
1	f1r	f1r.1	1	@P0	@	P	0	T	A	1	A	a	1	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.2	2	+P0	+	P	0	T	A	1	A	a	0	0	11	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.3	3	+P0	+	P	0	T	A	1	A	a	0	0	9	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.4	4	+P0	+	P	0	T	A	1	A	a	0	0	9	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.5	5	+P0	+	P	0	T	A	1	A	a	0	0	6	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.6	6	=Pt	=	P	t	T	A	1	A	a	0	1	1	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.7	7	*P0	*	P	0	T	A	1	A	a	1	0	8	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.8	8	+P0	+	P	0	T	A	1	A	a	0	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.9	9	+P0	+	P	0	T	A	1	A	a	0	0	4	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.10	10	=Pt	=	P	t	T	A	1	A	a	0	1	3	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.11	11	*P0	*	P	0	T	A	1	A	a	1	0	8	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.12	12	+P0	+	P	0	T	A	1	A	a	0	0	8	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.13	13	+P0	+	P	0	T	A	1	A	a	0	0	9	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.14	14	+P0	+	P	0	T	A	1	A	a	0	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.15	15	+P0	+	P	0	T	A	1	A	a	0	0	11	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.16	16	+P0	+	P	0	T	A	1	A	a	0	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.17	17	+P0	+	P	0	T	A	1	A	a	0	0	8	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.18	18	+P0	+	P	0	T	A	1	A	a	0	0	9	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.19	19	+P0	+	P	0	T	A	1	A	a	0	0	8	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.20	20	+P0	+	P	0	T	A	1	A	a	0	0	5	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.21	21	=Pt	=	P	t	T	A	1	A	a	0	1	2	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.22	22	*P0	*	P	0	T	A	1	A	a	1	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.23	23	+P0	+	P	0	T	A	1	A	a	0	0	10	transcription/voynich_zl3b_lines.tsv
1	f1r	f1r.24	24	+P0	+	P	0	T	A	1	A	a	0	0	10	transcription/voynich_zl3b_lines.tsv
