array_index	array_id	slot_index	slot_count	occupied	physical_folio	page	unit	locus	source_locus	normalized_code	unit_description	local_comment	local_relation_tags	unit_relation_tags	relation_scope	certainty	source_path
1	SCARR001|f67r1|D1	1	12	YES	f67	f67r1	D1	f67r1.8	f67r1.8	@Ri	Radial labels in circle sectors.	At 00:00. This sector is just clockwise of the decorated square marker in text ring 2, and follows a sector with a star on a pedestal.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	2	12	YES	f67	f67r1	D1	f67r1.9	f67r1.9	@Ri	Radial labels in circle sectors.	At 01:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	3	12	YES	f67	f67r1	D1	f67r1.10	f67r1.10	@Ri	Radial labels in circle sectors.	At 02:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	4	12	YES	f67	f67r1	D1	f67r1.11	f67r1.11	@Ri	Radial labels in circle sectors.	At 03:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	5	12	YES	f67	f67r1	D1	f67r1.12	f67r1.12	@Ri	Radial labels in circle sectors.	At 04:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	6	12	YES	f67	f67r1	D1	f67r1.13	f67r1.13	@Ri	Radial labels in circle sectors.	At 05:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	7	12	YES	f67	f67r1	D1	f67r1.14	f67r1.14	@Ri	Radial labels in circle sectors.	At 06.00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	8	12	YES	f67	f67r1	D1	f67r1.15	f67r1.15	@Ri	Radial labels in circle sectors.	At 07:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	9	12	YES	f67	f67r1	D1	f67r1.16	f67r1.16	@Ri	Radial labels in circle sectors.	At 08:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
1	SCARR001|f67r1|D1	10	12	YES	f67	f67r1	D1	f67r1.17	f67r1.17	@Ri	Radial labels in circle sectors.	At 09:00.	NONE	REL_ENCLOSURE	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
