source_record_id	page	physical_folio	ring	barrel_state	state_provenance	canvas_id	current_locus	strict_eligible	exclusion_reason
STOLFI_BEST_0339	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.6	1	
STOLFI_BEST_0342	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.7	1	
STOLFI_BEST_0345	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.8	1	
STOLFI_BEST_0348	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.9	1	
STOLFI_BEST_0351	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.10	1	
STOLFI_BEST_0354	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.11	1	
STOLFI_BEST_0357	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.12	1	
STOLFI_BEST_0360	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.13	1	
STOLFI_BEST_0363	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.14	1	
STOLFI_BEST_0366	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.15	1	
STOLFI_BEST_0369	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.16	0	NO_CONSENSUS
STOLFI_BEST_0372	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.17	1	
STOLFI_BEST_0375	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.18	1	
STOLFI_BEST_0378	f70v2	f70	OUTER	PRESENT	HUMAN_CATALOGUE_EXPLICIT		f70v2.19	1	
