pair_order	target_record_order	target_segment_id	target_page	target_section	target_currier	target_hand	target_group_count	target_family_expression	target_sta_expression	target_basic_eva_lossy	target_formal_expression	candidate_rank	candidate_pool_size	candidate_record_order	candidate_segment_id	candidate_page	candidate_section	candidate_currier	candidate_hand	same_section	candidate_family_expression	candidate_sta_expression	candidate_basic_eva_lossy	candidate_formal_expression	structure_distance	adjacency_distance	first_last_mismatches	edge_core_mismatches	opening_count_distance	closing_count_distance	family_distance	sta_member_distance	favored_path_distance	exact_structure_match
1	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	1	21	265	f10v.1|S01	f10v	H	A	1	0	PAG BAG LJA PKKA DAQA BAG UAC AQABA CAF	P1 A3 G1 | B1 A3 G1 | L1 J1 A1 | P1 K1 K2 A2 | D1 A1 Q2 A2 | B1 A3 G1 | U2 A1 C1 | A1 Q2 A2 B1 A2 | C2 A3 F1	paiin daiin sheo pcheey qoty daiin cthor otydy sain	F:PAG{adj=UU;fl=I;ec=I;o=2;c=0;p=-} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:LJA{adj=FU;fl=I;ec=C;o=1;c=1;p=LJ} | C:PKKA{adj=FUU;fl=I;ec=I;o=3;c=0;p=PK} | C:DAQA{adj=FFU;fl=L;ec=U;o=0;c=1;p=DAQ} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:UAC{adj=UU;fl=I;ec=U;o=2;c=2;p=-} | C:AQABA{adj=FUUU;fl=I;ec=U;o=0;c=0;p=AQ} | L:CAF{adj=UU;fl=F;ec=E;o=4;c=0;p=-}	37	11	4	5	8	9	28	33	12	0
2	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	2	21	471	f21r.2|S01	f21r	H	A	1	0	CAG KTA AQA LJAG DAQKAB AQJAC LKA UA BAG	C2 A3 G1 | K1 T1 A2 | A1 Q1 A2 | L1 J1 A3 G1 | D1 A1 Q2 K1 A1 B2 | A1 Q2 J1 A1 C2 | L1 K2 A2 | U2 A2 | B1 A3 G1	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin	F:CAG{adj=UU;fl=F;ec=U;o=2;c=0;p=-} | C:KTA{adj=UU;fl=I;ec=I;o=0;c=1;p=-} | C:AQA{adj=FU;fl=L;ec=U;o=0;c=1;p=AQ} | C:LJAG{adj=FUU;fl=I;ec=I;o=0;c=1;p=LJ} | C:DAQKAB{adj=FFFUU;fl=I;ec=U;o=0;c=2;p=DAQK} | C:AQJAC{adj=FUUU;fl=I;ec=U;o=2;c=0;p=AQ} | C:LKA{adj=UU;fl=I;ec=C;o=1;c=0;p=-} | C:UA{adj=U;fl=L;ec=U;o=0;c=4;p=-} | L:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-}	41	11	5	7	9	9	27	32	12	0
3	3	f1r.8|S01	f1r	T	A	1	9	ALJA LABA AQKAA AQKAB KAUA ACKA BAF KAC QAC	A2 L1 J1 A2 | L1 A1 B1 A2 | A1 Q1 K1 A1 A2 | A1 Q2 K1 A1 B2 | K1 A1 U2 A2 | A1 C2 K1 A2 | B1 A3 F1 | K1 A1 C1 | Q1 A1 C2	yshey shody okchoy otchol chocthy oschy dain chor kos	F:ALJA{adj=DFU;fl=I;ec=I;o=2;c=0;p=LJ} | C:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-} | C:AQKAA{adj=FFUD;fl=I;ec=I;o=0;c=0;p=AQK} | C:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:KAUA{adj=UUU;fl=I;ec=U;o=0;c=3;p=-} | C:ACKA{adj=UUU;fl=I;ec=I;o=1;c=1;p=-} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:QAC{adj=UU;fl=F;ec=U;o=4;c=0;p=-}	3	21	564	f25v.2|S01	f25v	H	A	1	0	BKAC UAC KAC BAG C AQKAG BAG UJA BAG	B1 K1 A1 C1 | U2 A1 C1 | K1 A1 C1 | B1 A3 G1 | C2 | A1 Q1 K2 A3 G1 | B1 A3 G1 | U1 J1 A2 | B1 A3 G1	dchor cthor chor daiin s okeeaiin daiin ckhey daiin	F:BKAC{adj=UUU;fl=I;ec=E;o=3;c=0;p=-} | C:UAC{adj=UU;fl=I;ec=U;o=2;c=2;p=-} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:C{adj=-;fl=U;ec=U;o=2;c=2;p=-} | C:AQKAG{adj=FFUU;fl=I;ec=I;o=0;c=0;p=AQK} | C:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-} | C:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-} | L:BAG{adj=UU;fl=U;ec=U;o=0;c=1;p=-}	42	13	3	3	14	9	26	30	11	0
22	7	f1r.20|S01	f1r	T	A	1	5	LAQ KAC KJA BAF UJA	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	shok chor chey dain ckhey	F:LAQ{adj=UF;fl=I;ec=I;o=1;c=0;p=AQ} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-}	1	114	544	f24r.14|S01	f24r	H	A	1	0	DAC KKA DAB KAC UAB	D1 A1 C1 | K1 K2 A2 | D1 A1 B1 | K1 A3 C1 | U2 A3 B2	qor cheey qod char cthal	F:DAC{adj=FU;fl=I;ec=I;o=2;c=0;p=DA} | C:KKA{adj=UU;fl=I;ec=C;o=1;c=2;p=-} | C:DAB{adj=FU;fl=U;ec=U;o=0;c=2;p=DA} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | L:UAB{adj=UU;fl=I;ec=U;o=0;c=4;p=-}	14	2	2	2	4	4	11	12	4	0
23	7	f1r.20|S01	f1r	T	A	1	5	LAQ KAC KJA BAF UJA	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	shok chor chey dain ckhey	F:LAQ{adj=UF;fl=I;ec=I;o=1;c=0;p=AQ} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-}	2	114	123	f5r.7|S01	f5r	H	A	1	0	DAQAKA QKA KJA QKA LABA	D1 A1 Q2 A1 K2 A2 | Q1 K2 A2 | K1 J1 A1 | Q1 K1 A2 | L1 A1 B1 A2	qotoeey keey cheo kchy shody	F:DAQAKA{adj=FFUDU;fl=I;ec=I;o=1;c=0;p=DAQ} | C:QKA{adj=FU;fl=I;ec=U;o=3;c=0;p=QK} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:QKA{adj=FU;fl=I;ec=U;o=3;c=0;p=QK} | L:LABA{adj=UUU;fl=I;ec=U;o=1;c=0;p=-}	15	7	1	1	2	4	12	15	5	0
24	7	f1r.20|S01	f1r	T	A	1	5	LAQ KAC KJA BAF UJA	L1 A1 Q1 | K1 A1 C1 | K1 J1 A2 | B1 A3 F1 | U1 J1 A2	shok chor chey dain ckhey	F:LAQ{adj=UF;fl=I;ec=I;o=1;c=0;p=AQ} | C:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | L:UJA{adj=UU;fl=I;ec=U;o=1;c=1;p=-}	3	114	1100	f49r.5|S01	f49r	H	A	1	0	KAC LJAC KJA QKA DAQAE	K1 A1 C1 | L1 J1 A1 C1 | K1 J1 A2 | Q2 K2 A2 | D1 A1 Q2 A3 E2	chor sheor chey teey qotan	F:KAC{adj=UU;fl=I;ec=C;o=2;c=2;p=-} | C:LJAC{adj=FUU;fl=I;ec=C;o=2;c=1;p=LJ} | C:KJA{adj=FU;fl=I;ec=C;o=1;c=2;p=KJ} | C:QKA{adj=FU;fl=I;ec=U;o=3;c=0;p=QK} | L:DAQAE{adj=FFUU;fl=I;ec=I;o=0;c=2;p=DAQ}	16	5	1	2	3	5	11	12	9	0
136	427	f18v.9|S01	f18v	H	A	1	6	AQKAC DAQKA DAQKA AQAB BAQA BA	A1 Q1 K1 A1 C1 | D1 A1 Q2 K1 A2 | D1 A1 Q1 K1 A2 | A2 Q2 A1 B2 | B1 A1 Q1 A2 | B1 A2	okchor qotchy qokchy ytol doky dy	F:AQKAC{adj=FFUU;fl=I;ec=U;o=2;c=0;p=AQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:BAQA{adj=UFU;fl=I;ec=I;o=0;c=2;p=AQ} | L:BA{adj=U;fl=L;ec=U;o=0;c=2;p=-}	1	80	532	f23v.8|S01	f23v	H	A	1	1	DAQAG BAF DAQAC AQAB B BAB	D1 A1 Q1 A3 G1 | B1 A3 F1 | D1 A1 Q1 A1 C1 | A1 Q1 A3 B2 | B4 | B1 A3 B3	qokaiin dain qokor okal g dam	F:DAQAG{adj=FFUU;fl=U;ec=U;o=0;c=0;p=DAQ} | C:BAF{adj=UU;fl=U;ec=U;o=2;c=1;p=-} | C:DAQAC{adj=FFUU;fl=U;ec=U;o=2;c=0;p=DAQ} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:B{adj=-;fl=I;ec=U;o=0;c=1;p=-} | L:BAB{adj=UU;fl=L;ec=U;o=0;c=3;p=-}	19	8	3	1	4	3	13	20	9	0
137	427	f18v.9|S01	f18v	H	A	1	6	AQKAC DAQKA DAQKA AQAB BAQA BA	A1 Q1 K1 A1 C1 | D1 A1 Q2 K1 A2 | D1 A1 Q1 K1 A2 | A2 Q2 A1 B2 | B1 A1 Q1 A2 | B1 A2	okchor qotchy qokchy ytol doky dy	F:AQKAC{adj=FFUU;fl=I;ec=U;o=2;c=0;p=AQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:BAQA{adj=UFU;fl=I;ec=I;o=0;c=2;p=AQ} | L:BA{adj=U;fl=L;ec=U;o=0;c=2;p=-}	2	80	1230	f54v.9|S01	f54v	H	A	1	1	ABAG DAUJA DABAB AQAB AQAB BA	A2 B1 A3 G1 | D1 A1 U1 J1 A2 | D1 A1 B1 A3 B2 | A2 Q2 A3 B3 | A1 Q1 A3 B2 | B1 A2	ydaiin qockhey qodal ytam okal dy	F:ABAG{adj=UUU;fl=I;ec=U;o=0;c=1;p=-} | C:DAUJA{adj=FUUU;fl=I;ec=I;o=1;c=0;p=DA} | C:DABAB{adj=FUUU;fl=I;ec=I;o=0;c=2;p=DA} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | L:BA{adj=U;fl=L;ec=U;o=0;c=2;p=-}	20	8	3	3	3	3	10	15	7	0
138	427	f18v.9|S01	f18v	H	A	1	6	AQKAC DAQKA DAQKA AQAB BAQA BA	A1 Q1 K1 A1 C1 | D1 A1 Q2 K1 A2 | D1 A1 Q1 K1 A2 | A2 Q2 A1 B2 | B1 A1 Q1 A2 | B1 A2	okchor qotchy qokchy ytol doky dy	F:AQKAC{adj=FFUU;fl=I;ec=U;o=2;c=0;p=AQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:DAQKA{adj=FFFU;fl=F;ec=U;o=1;c=0;p=DAQK} | C:AQAB{adj=FUU;fl=L;ec=U;o=0;c=2;p=AQ} | C:BAQA{adj=UFU;fl=I;ec=I;o=0;c=2;p=AQ} | L:BA{adj=U;fl=L;ec=U;o=0;c=2;p=-}	3	80	267	f10v.3|S01	f10v	H	A	1	1	BLA AQJA QKAB ABQA KAB BA	B1 L1 A1 | A2 Q2 J1 A2 | Q1 K1 A1 B2 | A1 B2 Q2 A2 | K1 A1 B2 | B1 A2	dsho ytey kchol olty chol dy	F:BLA{adj=UU;fl=I;ec=I;o=2;c=0;p=-} | C:AQJA{adj=FUU;fl=I;ec=U;o=1;c=0;p=AQ} | C:QKAB{adj=FUU;fl=I;ec=U;o=2;c=2;p=QK} | C:ABQA{adj=UUU;fl=I;ec=I;o=0;c=2;p=-} | C:KAB{adj=UU;fl=U;ec=C;o=0;c=4;p=-} | L:BA{adj=U;fl=L;ec=U;o=0;c=2;p=-}	20	8	4	3	1	4	14	18	11	0
216	502	f22v.3|S01	f22v	H	A	1	5	DAQA QKACB AQKA UA AQKAQA	D1 A1 Q1 A2 | Q1 K1 A1 C1 B2 | A1 Q2 K1 A2 | U2 A2 | A1 Q2 K1 A2 Q1 A2	qoky kchorl otchy cthy otchyky	F:DAQA{adj=FFU;fl=L;ec=U;o=0;c=1;p=DAQ} | C:QKACB{adj=FUUD;fl=I;ec=I;o=2;c=1;p=QK} | C:AQKA{adj=FFU;fl=F;ec=U;o=1;c=0;p=AQK} | C:UA{adj=U;fl=L;ec=U;o=0;c=4;p=-} | L:AQKAQA{adj=FFUFU;fl=I;ec=I;o=0;c=1;p=AQK}	1	114	393	f17r.11|S01	f17r	H	A	1	1	AQKAB UAC AQAG KAB BAH	A1 Q2 K1 A1 B2 | U2 A3 C1 | A1 Q1 A3 G1 | K1 A1 B2 | B1 A3 H1	otchol cthar okaiin chol daiiin	F:AQKAB{adj=FFUU;fl=I;ec=U;o=0;c=2;p=AQK} | C:UAC{adj=UU;fl=I;ec=U;o=2;c=2;p=-} | C:AQAG{adj=FUU;fl=U;ec=U;o=0;c=0;p=AQ} | C:KAB{adj=UU;fl=U;ec=C;o=0;c=4;p=-} | L:BAH{adj=UU;fl=I;ec=I;o=0;c=3;p=-}	18	8	3	2	1	4	15	21	8	0
