page	locus	source_locus	old_locus	unit	normalized_code	unit_description	local_comment	object_tags	context_class	local_relation_tags	unit_relation_tags	relation_scope	certainty	source_path
f2r	f2r.14	f2r.14	f2r.L1.1	L1	@Lp	Labels associated with plant.	East of plant.	PLANT;LABEL	OBJECT_BEARING	REL_PROXIMITY	REL_ARRAY_OR_GROUP	EXACT_LOCAL_COMMENT	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f2r	f2r.15	f2r.15	f2r.L2.1	L1	@Lp	Labels associated with plant.	Within leaf.	PLANT;LABEL	OBJECT_BEARING	REL_ENCLOSURE	REL_ARRAY_OR_GROUP	EXACT_LOCAL_COMMENT	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f3v	f3v.3	f3v.3	f3v.P1.3	P1	+P0	Text.	The final @'ai' is right next to the plant so it may have been @'ain' or @'aiin' etc.	PLANT	OBJECT_BEARING	REL_PROXIMITY		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f3v	f3v.5	f3v.5	f3v.P1.5	P1	+P0	Text.	The tail of the final @y is covered by the plant. Misread as @a by some. &�Ky; = a filled-in @o ligd to a platf gallows @K ligd to @y. May be &OKh; or just &CKh;.	PLANT	OBJECT_BEARING	REL_OVERLAP_OR_CONTACT		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f7v	f7v.7	f7v.7	f7v.P1.7	P1	+P0	Text.	The glyph after @'shotch' is partly covered by the plant. Could be @a, @y, @o, even @e. The next-to-last glyph in the first word was probably meant to be @i but looks like @e. The word is almost certainly @'okshodain'.	PLANT	OBJECT_BEARING	REL_OVERLAP_OR_CONTACT		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f9r	f9r.10	f9r.10	f9r.T1.10	T1	+Pc	Title, centered at bottom of text, between left margin and plant.		PLANT	OBJECT_BEARING		REL_PROXIMITY	UNIT_DESCRIPTION	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f9v	f9v.5	f9v.5	f9v.P1.5	P1	+P0	Text.	The gallows are taller and wide but otherwise normal. The @e of @'te' runs into the plant. Possibly one word with the @'ar' on the other side.	PLANT	OBJECT_BEARING	REL_OVERLAP_OR_CONTACT		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f11v	f11v.5	f11v.5	f11v.L1.1	L1	*L0	Label in far left margin, aligned with line <f11v.P1.5>.		LABEL	LABEL_ONLY			OBJECT_CONTEXT_ONLY	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f29r	f29r.5	f29r.5	f29r.P1.5	P1	+P0	Text.	The glyph after @d in the word before the plant looks like @a but may be @y. There is an @e-like stroke right next to the plant that does not seem to be part of it.	PLANT	OBJECT_BEARING	REL_PROXIMITY		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f39v	f39v.7	f39v.7	f39v.P1.7	P1	+P0	Text.	This parag and the next consist of two columns separated by the plant. Transcriptions below assume lines 1-7 of both columns are aligned to each other, each pair should be joined to make one text line. However, there is evidence suggesting that this was not the correct pairing.	PLANT	OBJECT_BEARING	REL_TEXT_WRAP_OR_INTERRUPTION;REL_PROXIMITY		EXACT_LOCAL_COMMENT	HEDGED	transcription/sources/Stolfi_text25e1-52.evt
f40v	f40v.19	f40v.19	f40v.T1.19	T1	+Pc	Title at bottom of text - centered, right-justified against plant.		PLANT	OBJECT_BEARING			OBJECT_CONTEXT_ONLY	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f42r	f42r.15	f42r.15	f42r.T2.15	T2	+Pr	Title 2 - right justified against plant.		PLANT	OBJECT_BEARING			OBJECT_CONTEXT_ONLY	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
f42r	f42r.23	f42r.23	f42r.T3.23	T3	+Pr	Title 3 - right justified against plant.		PLANT	OBJECT_BEARING			OBJECT_CONTEXT_ONLY	UNHEDGED	transcription/sources/Stolfi_text25e1-52.evt
