consensus_group_id	locus	page	section	currier	hand	code	kind	grammar_scope	strict_zero_alternative	consensus_group_index	consensus_group_count	start_symbol_1based	end_symbol_1based	symbol_count	family_surface	zl_sta_codes	it_sta_codes	rf_sta_codes	left_boundary_profile	right_boundary_profile
f100r.1|C001	f100r.1	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	9	9	KACACALAB	K1 A1 C2 A3 C1 A1 L1 A1 B2	K1 A1 C2 A3 C1 A1 L1 A1 B2	K1 A1 C2 A3 C1 A1 L1 A1 B2	LINE_START	LINE_END
f100r.10|C001	f100r.10	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	BAQAU	B1 A3 Q1 A1 U2	B1 A3 Q1 A1 U2	B1 A3 Q1 A1 U2	LINE_START	LINE_END
f100r.11|C001	f100r.11	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	CAPAB	C2 A1 P2 A3 B3	C2 A1 P2 A3 B2	C2 A1 P2 A3 B4	LINE_START	LINE_END
f100r.16|C001	f100r.16	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	AQKAC	A1 Q1 K2 A1 C2	A1 Q1 K2 A1 C2	A1 Q1 K2 A1 C2	LINE_START	LINE_END
f100r.17|C001	f100r.17	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	LAUJA	L1 A1 U1 J1 A2	L1 A1 U1 J1 A2	L1 A1 U1 J1 A2	LINE_START	LINE_END
f100r.18|C001	f100r.18	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	4	4	ACAB	A1 C1 A1 B2	A1 C1 A1 B2	A1 C1 A1 B2	LINE_START	LINE_END
f100r.19|C001	f100r.19	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	6	6	ABKJAB	A1 B2 K1 J1 A1 B3	A1 B2 K1 J1 A1 B3	A1 B2 K1 J1 A1 B3	LINE_START	LINE_END
f100r.2|C001	f100r.2	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	7	7	CAKACTA	C2 A1 K1 A1 C1 T2 A2	C2 A1 K1 A1 C1 T2 A2	C2 A1 K1 A1 C1 T2 A2	LINE_START	LINE_END
f100r.20|C001	f100r.20	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	AQJAB	A1 Q2 J1 A1 B2	A1 Q2 J1 A1 B2	A1 Q2 J1 A1 B2	LINE_START	LINE_END
f100r.21|C001	f100r.21	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	1	1	1	1	5	5	AQABC	A1 Q1 A1 B2 C2	A1 Q1 A1 B2 C2	A1 Q2 A1 B2 C2	LINE_START	LINE_END
f100r.22|C001	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	1	8	1	7	7	PABLABA	P2 A1 B2 L1 A1 B1 A2	P2 A1 B2 L1 A1 B1 A2	P2 A1 B2 L1 A1 B1 A2	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C002	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	2	8	8	13	6	KABBAG	K1 A1 B2 B1 A3 G1	K1 A1 B2 B1 A3 G1	K1 A1 B2 B1 A3 G1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C003	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	3	8	14	22	9	PKABAKJAB	P2 K1 A1 B1 A2 K1 J1 A1 B2	P2 K1 A1 B1 A2 K1 J1 A1 B2	P2 K1 A1 B1 A2 K1 J1 A1 B2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C004	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	4	8	23	25	3	TAB	T1 A1 B2	T1 A1 B2	T1 A1 B2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C005	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	5	8	26	30	5	DAQKC	D1 A1 Q2 K2 C2	D1 A1 Q2 K2 C2	D1 A1 Q2 K2 C2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C006	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	6	8	31	33	3	LJA	L1 J1 A2	L1 J1 A2	L1 J1 A2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C007	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	7	8	34	38	5	ACJCA	A3 C2 J1 C2 A1	A1 C1 J1 C2 A1	Aa C2 J1 C2 A1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.22|C008	f100r.22	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	1	8	8	39	42	4	ABTA	A3 B2 T2 A2	A3 B2 T2 A2	A3 B2 T2 A2	ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	LINE_END
f100r.24|C001	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	1	9	1	6	6	CAFKAC	C2 A3 F2 K1 A1 C1	C2 A3 F2 K1 A1 C1	C2 A3 F2 K1 A1 C1	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C002	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	2	9	7	10	4	LJAC	L1 J1 A1 C1	L1 J1 A1 C1	L1 J1 A1 C1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C003	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	3	9	11	16	6	DAUABA	D1 A1 U1 A1 B1 A2	D1 A1 U1 A1 B1 A2	D1 A1 U1 A1 B1 A2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C004	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	4	9	17	21	5	ABJAC	A1 B1 J1 A1 C1	A1 B1 J1 A1 C1	A1 B1 J1 A1 C1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C005	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	5	9	22	26	5	AQLKA	A2 Q1 L1 K2 A2	A2 Q1 L1 K2 A2	A2 Q1 L1 K2 A2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C006	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	6	9	27	34	8	KABLJABA	K1 A1 B2 L1 J1 A1 B1 A2	K1 A1 B2 L1 J1 A1 B1 A2	K1 A1 B2 L1 J1 A1 B1 A2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C007	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	7	9	35	37	3	CAE	C2 A3 E1	C2 A3 E1	C2 A3 E1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C008	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	8	9	38	41	4	KJAB	K1 J1 A1 B2	K1 J1 A1 B2	K1 J1 A1 B2	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
f100r.24|C009	f100r.24	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	9	9	42	44	3	CAG	C1 A3 G1	C1 A3 G1	C2 A3 G1	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	LINE_END
f100r.25|C001	f100r.25	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	1	1	10	1	4	4	LJAC	L1 J1 A1 C1	L1 J1 A1 C1	L1 J1 A1 C1	LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE
