cell_id	page	physical_folio	section	symbol_count	label_rows	prose_rows	total_rows	assignment_count
LRG001-C001	f100r	f100	P	3	2	10	12	66
LRG001-C002	f100r	f100	P	4	1	8	9	9
LRG001-C003	f100r	f100	P	5	10	10	20	184756
LRG001-C004	f100r	f100	P	6	2	8	10	45
LRG001-C005	f100r	f100	P	7	1	2	3	3
LRG001-C006	f100r	f100	P	9	1	1	2	2
LRG001-C007	f100v	f100	P	3	1	11	12	12
LRG001-C008	f100v	f100	P	4	2	8	10	45
LRG001-C009	f100v	f100	P	5	7	7	14	3432
LRG001-C010	f100v	f100	P	6	2	7	9	36
LRG001-C011	f100v	f100	P	7	2	2	4	6
LRG001-C012	f102v1	f102	P	5	1	11	12	12
LRG001-C013	f102v1	f102	P	6	3	9	12	220
LRG001-C014	f102v1	f102	P	7	3	3	6	20
LRG001-C015	f102v2	f102	P	3	1	10	11	11
LRG001-C016	f102v2	f102	P	4	6	12	18	18564
LRG001-C017	f102v2	f102	P	5	4	10	14	1001
LRG001-C018	f102v2	f102	P	6	1	3	4	4
LRG001-C019	f49v	f49	H	1	19	5	24	42504
LRG001-C020	f66r	f66	T	1	30	1	31	31
LRG001-C021	f66r	f66	T	2	1	11	12	12
LRG001-C022	f66r	f66	T	3	1	39	40	40
LRG001-C023	f66r	f66	T	4	5	46	51	2349060
LRG001-C024	f66r	f66	T	5	4	58	62	557845
LRG001-C025	f66r	f66	T	6	1	22	23	23
LRG001-C026	f75v	f75	B	2	1	31	32	32
LRG001-C027	f75v	f75	B	3	7	76	83	4151918628
LRG001-C028	f75v	f75	B	4	8	70	78	23446881315
LRG001-C029	f75v	f75	B	5	12	72	84	112992892764570
LRG001-C030	f75v	f75	B	6	2	39	41	820
LRG001-C031	f76r	f76	T	1	9	3	12	220
LRG001-C032	f77r	f77	B	4	2	60	62	1891
LRG001-C033	f77r	f77	B	5	5	64	69	11238513
LRG001-C034	f77r	f77	B	6	1	47	48	48
LRG001-C035	f77r	f77	B	7	2	6	8	28
LRG001-C036	f77v	f77	B	4	4	70	74	1150626
LRG001-C037	f77v	f77	B	5	1	78	79	79
LRG001-C038	f77v	f77	B	6	1	29	30	30
LRG001-C039	f77v	f77	B	7	2	8	10	45
LRG001-C040	f78r	f78	B	5	1	44	45	45
LRG001-C041	f78r	f78	B	6	1	30	31	31
LRG001-C042	f78r	f78	B	7	1	5	6	6
LRG001-C043	f78r	f78	B	8	1	1	2	2
