edition	locus	page	section	currier	hand	code	kind	grammar_scope	paragraph_state	line_carrier	word_count	surface	root_sequence	role_sequence	formal_interlinear	confirmed_edges	core34_covered_words	hybrid95_covered_words
IT2a	f100r.1	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	chosaroshol	Hos+o+H	FREE_R+BARE+FREE_L	chosaroshol=R:Hos+C05+C01[FREE_R+BARE+FREE_L]{H95:OPEN}		0	0
IT2a	f100r.10	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	dakocth	a+k+o+cth	BARE+BARE+BARE+BARE	dakocth=C23+C08+C05+C17[BARE+BARE+BARE+BARE]{H95:OPEN}		1	0
IT2a	f100r.11	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	sofal	o	FREE_L	sofal=C05[FREE_L]{H95:COMP}		1	1
IT2a	f100r.12	f100r	P	A	1	@P0	P	CONFIRMED_PROSE	OPEN		10	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	H+ol H+od o+cph+ckh Hod+ol cthd+ot+o H e+os H Hcths+o s	BOUND_E+BARE BOUND_E+BARE Q_BARE+BOUND_E+BARE BARE+BARE FREE_A+BARE+BARE BARE Q_BARE+BARE BOUND_E BARE+BARE BARE	pcheol=C01+C03[BOUND_E+BARE]{H95:COMP} | sheod=C01+C10[BOUND_E+BARE]{H95:COMP} | qocpheeckhy=C05+C34+C21[Q_BARE+BOUND_E+BARE]{H95:OPEN} | shodol=C22+C03[BARE+BARE]{H95:EXACT} | cthdaoto=R:cthd+C04+C05[FREE_A+BARE+BARE]{H95:OPEN} | ch=C01[BARE]{H95:COMP} | qeos=C11+C27[Q_BARE+BARE]{H95:COMP} | sheey=C01[BOUND_E]{H95:COMP} | chcthso=R:Hcths+C05[BARE+BARE]{H95:OPEN} | s=C18[BARE]{H95:COMP}		8	7
IT2a	f100r.13	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	CONT	d	9	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	H+or cth ok ot e+od or aii aii e+H	BOUND_E+BARE BOUND_E Q_BOUND_E BOUND_E BOUND_E+REL_I FREE_R BARE BARE BOUND_E+FREE_L	dsheor=C01+C07[BOUND_E+BARE]{H95:COMP} | cthey=C17[BOUND_E]{H95:COMP} | qokeey=C02[Q_BOUND_E]{H95:COMP} | oteey=C04[BOUND_E]{H95:COMP} | ykeeodain=C11+C10[BOUND_E+REL_I]{H95:COMP} | sorary=C07[FREE_R]{H95:COMP} | daiin=C06[BARE]{H95:EXACT} | daiin=C06[BARE]{H95:EXACT} | deeamshol=C11+C01[BOUND_E+FREE_L]{H95:COMP}	W2>W3:BOUND_E>Q_BOUND_E	9	9
IT2a	f100r.14	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	CONT		10	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	H Hk ot ok+od ot+ol+d ok+ol o r ot e+Ho	FREE_R BOUND_E Q_BOUND_E Q_BOUND_E+BARE Q_BOUND_E+BARE+BARE Q_BOUND_E+BARE BARE REL_I FREE_L BARE+BARE	shor=C01[FREE_R]{H95:COMP} | chkeey=C29[BOUND_E]{H95:EXACT} | qoteey=C04[Q_BOUND_E]{H95:COMP} | qokeody=C02+C10[Q_BOUND_E+BARE]{H95:COMP} | qoteold=C04+C03+C16[Q_BOUND_E+BARE+BARE]{H95:COMP} | qokeol=C02+C03[Q_BOUND_E+BARE]{H95:COMP} | so=C05[BARE]{H95:COMP} | raiin=C20[REL_I]{H95:COMP} | otal=C04[FREE_L]{H95:COMP} | ykecho=C11+C15[BARE+BARE]{H95:COMP}	W2>W3:BOUND_E>Q_BOUND_E	10	10
IT2a	f100r.15	f100r	P	A	1	+P0	P	CONFIRMED_PROSE	CONT	d	7	dcheor shol qokeeol chor chol qokeeody dorean	H+or H ok+ol H H ok+od or+e	BOUND_E+BARE FREE_L Q_BOUND_E+BARE FREE_R FREE_L Q_BOUND_E+BARE BARE+FREE_A	dcheor=C01+C07[BOUND_E+BARE]{H95:COMP} | shol=C01[FREE_L]{H95:COMP} | qokeeol=C02+C03[Q_BOUND_E+BARE]{H95:COMP} | chor=C01[FREE_R]{H95:COMP} | chol=C01[FREE_L]{H95:COMP} | qokeeody=C02+C10[Q_BOUND_E+BARE]{H95:COMP} | dorean=C07+C11[BARE+FREE_A]{H95:COMP}		7	7
IT2a	f100r.16	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	okeeos	ok+os	BOUND_E+BARE	okeeos=C02+C27[BOUND_E+BARE]{H95:COMP}		1	1
IT2a	f100r.17	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	shockhey	Ho+ckh	BARE+BOUND_E	shockhey=C15+C21[BARE+BOUND_E]{H95:COMP}		1	1
IT2a	f100r.18	f100r	P	A	1	@Lf	L	DIAGNOSTIC_NONPROSE	CONT		1	orol	or+ol	BARE+BARE	orol=C07+C03[BARE+BARE]{H95:COMP}		1	1
